condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,5024,0.6457626197814942,0.6237000226974487,0.6770921945571899,2896,2149,1614,3341,0.13574814796447754,-0.43830975890159607
clean_random_baseline,anchor,10,10016,0.5280410653114319,0.7537000179290771,0.8237593770027161,4313,732,1731,3224,0.2956603765487671,-0.2619209885597229
clean_random_baseline,anchor,15,15008,0.48856994867324827,0.7791000008583069,0.8625096082687378,3558,1487,722,4233,0.20590299367904663,-0.5362825989723206
clean_random_baseline,anchor,20,20000,0.4305092921257019,0.8187000155448914,0.8931607007980347,4295,750,1063,3892,0.31381332874298096,-0.5096208453178406
clean_random_baseline,anchor,25,25024,0.3908840174674988,0.8393999934196472,0.9127115607261658,4021,1024,582,4373,0.4511425197124481,-0.6970950365066528
clean_random_baseline,anchor,30,30016,0.40783925952911376,0.8235999941825867,0.9144802689552307,4644,401,1363,3592,0.5117952227592468,-0.8304553627967834
clean_random_baseline,anchor,35,35008,0.339937455034256,0.8636999726295471,0.9362955689430237,4366,679,684,4271,0.5872116088867188,-0.9390397071838379
clean_random_baseline,anchor,40,40000,0.33573897047042844,0.8644000291824341,0.9386136531829834,4585,460,896,4059,0.6879432201385498,-1.0133883953094482
clean_random_baseline,anchor,45,45024,0.30325589461326596,0.8758000135421753,0.9462511539459229,4346,699,543,4412,1.0046876668930054,-1.3015648126602173
clean_random_baseline,anchor,50,50016,0.3024412598133087,0.8781999945640564,0.9490553140640259,4593,452,766,4189,1.1530513763427734,-1.4012644290924072
clean_random_baseline,anchor,55,55008,0.34528751759529114,0.8496999740600586,0.9491012096405029,3798,1247,256,4699,1.3608559370040894,-1.4425547122955322
clean_random_baseline,anchor,60,60000,0.28202438249588013,0.8889999985694885,0.9557449221611023,4476,569,541,4414,1.591914176940918,-1.579420566558838
clean_random_baseline,anchor,65,65024,0.2835325170516968,0.8888000249862671,0.959101676940918,4378,667,445,4510,1.6016170978546143,-1.7378290891647339
clean_random_baseline,anchor,70,70016,0.268065728521347,0.894599974155426,0.9609842896461487,4546,499,555,4400,1.5512104034423828,-2.0017201900482178
clean_random_baseline,anchor,75,75008,0.2579629576206207,0.894599974155426,0.9627914428710938,4680,365,689,4266,1.6339645385742188,-2.2598421573638916
clean_random_baseline,anchor,80,80000,0.2626622750520706,0.8967000246047974,0.963435173034668,4439,606,427,4528,1.8227276802062988,-2.2155442237854004
clean_random_baseline,anchor,85,85024,0.28494467823505404,0.8776000142097473,0.9623761177062988,4856,189,1035,3920,1.9016978740692139,-2.1406664848327637
clean_random_baseline,anchor,90,90016,0.24468304738998414,0.9010999798774719,0.9668093919754028,4746,299,690,4265,1.8956102132797241,-2.2715964317321777
clean_random_baseline,counterexample_tail,95,95008,0.24353344132900237,0.9025999903678894,0.9679319858551025,4468,577,397,4558,2.0115342140197754,-2.2717089653015137
clean_random_baseline,anchor,100,100000,0.24736163442134856,0.9035000205039978,0.9686516523361206,4474,571,394,4561,1.989107370376587,-2.372638702392578
anchor_then_counterexample_tail,anchor,5,5024,0.6051609140396118,0.6784999966621399,0.7495147585868835,4286,759,2456,2499,0.10330036282539368,-0.22583529353141785
anchor_then_counterexample_tail,anchor,10,10016,0.5435376178741456,0.7384999990463257,0.8300960063934326,2962,2083,532,4423,0.45715129375457764,-0.4753592610359192
anchor_then_counterexample_tail,anchor,15,15008,0.4563602799415588,0.794700026512146,0.881232500076294,3626,1419,634,4321,0.5295617580413818,-0.7241600751876831
anchor_then_counterexample_tail,anchor,20,20000,0.3888997832298279,0.8349999785423279,0.9071639776229858,4154,891,759,4196,0.7228931188583374,-0.7662895321846008
anchor_then_counterexample_tail,anchor,25,25024,0.3800714629173279,0.8355000019073486,0.9145837426185608,4063,982,663,4292,1.1329712867736816,-1.0731639862060547
anchor_then_counterexample_tail,anchor,30,30016,0.3484270166873932,0.8490999937057495,0.9264488220214844,4224,821,688,4267,1.1779552698135376,-1.1336309909820557
anchor_then_counterexample_tail,anchor,35,35008,0.3557757459640503,0.8557999730110168,0.9326285719871521,4067,978,464,4491,1.4239288568496704,-1.2946350574493408
anchor_then_counterexample_tail,anchor,40,40000,0.32425167684555056,0.8672000169754028,0.9399271011352539,4247,798,530,4425,1.597705364227295,-1.508143424987793
anchor_then_counterexample_tail,anchor,45,45024,0.30357386541366577,0.8711000084877014,0.9441191554069519,4430,615,674,4281,1.8715405464172363,-1.571284294128418
anchor_then_counterexample_tail,anchor,50,50016,0.29578529260158537,0.8790000081062317,0.9496834874153137,4577,468,742,4213,1.8033549785614014,-1.8092436790466309
anchor_then_counterexample_tail,anchor,55,55008,0.2919162957668304,0.8822000026702881,0.9514095783233643,4280,765,413,4542,2.219482898712158,-1.9333165884017944
anchor_then_counterexample_tail,anchor,60,60000,0.28308321113586427,0.8884000182151794,0.9544972777366638,4393,652,464,4491,2.7005743980407715,-2.369724750518799
anchor_then_counterexample_tail,anchor,65,65024,0.2625244930744171,0.8919000029563904,0.9588525891304016,4582,463,618,4337,2.3996455669403076,-2.568021059036255
anchor_then_counterexample_tail,anchor,70,70016,0.26248785347938536,0.8921999931335449,0.9607062339782715,4646,399,679,4276,2.372089385986328,-2.6759133338928223
anchor_then_counterexample_tail,anchor,75,75008,0.25218135328292846,0.8952000141143799,0.9626801013946533,4631,414,634,4321,2.3338866233825684,-2.480241060256958
anchor_then_counterexample_tail,anchor,80,80000,0.24960378019809723,0.8967999815940857,0.9633595943450928,4441,604,428,4527,2.4052181243896484,-2.571291923522949
anchor_then_counterexample_tail,anchor,85,85024,0.24028476548194885,0.9009000062942505,0.9649296402931213,4546,499,492,4463,2.6866044998168945,-2.9055564403533936
anchor_then_counterexample_tail,counterexample_tail,90,90016,0.23983719049692154,0.9049999713897705,0.9665381908416748,4636,409,541,4414,2.695611000061035,-3.1095540523529053
anchor_then_counterexample_tail,counterexample_tail,95,95008,0.834661424255371,0.24330000579357147,0.16431789100170135,1404,3641,3926,1029,-0.46736377477645874,-0.13940881192684174
anchor_then_counterexample_tail,counterexample_tail,100,100000,1.917850485420227,0.16750000417232513,0.08330494910478592,1223,3822,4503,452,-2.046611785888672,0.9033786058425903
