condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,5024,0.6884010543823242,0.49559998512268066,0.7840434908866882,1,5044,0,4955,0.3145662844181061,0.01362009346485138
clean_random_baseline,anchor,10,10016,0.6764843770980835,0.5303999781608582,0.7942044138908386,387,4658,38,4917,0.36330533027648926,-0.19296687841415405
clean_random_baseline,anchor,15,15008,0.6681134267807007,0.6054999828338623,0.7989804744720459,1287,3758,187,4768,0.46432727575302124,-0.34704819321632385
clean_random_baseline,anchor,20,20000,0.6658893709182739,0.5281000137329102,0.8023620843887329,357,4688,31,4924,0.6927459239959717,-0.33687129616737366
clean_random_baseline,anchor,25,25024,0.6719679445266724,0.5011000037193298,0.802626371383667,62,4983,6,4949,0.9849236011505127,-0.28581535816192627
clean_random_baseline,anchor,30,30016,0.6545838455200196,0.5734000205993652,0.8059106469154358,4986,59,4207,748,0.3907288610935211,-1.1035685539245605
clean_random_baseline,anchor,35,35008,0.6443353748321533,0.6194999814033508,0.8085015416145325,4902,143,3662,1293,0.5812301635742188,-1.1607904434204102
clean_random_baseline,anchor,40,40000,0.6507229772567749,0.5673999786376953,0.810615062713623,4994,51,4275,680,0.5354664325714111,-1.4003467559814453
clean_random_baseline,anchor,45,45024,0.6283750314712524,0.7042999863624573,0.8124727606773376,4485,560,2397,2558,0.9350196123123169,-1.2204790115356445
clean_random_baseline,anchor,50,50016,0.6226495931625367,0.7353000044822693,0.8145743608474731,4003,1042,1605,3350,1.1636669635772705,-1.2428284883499146
clean_random_baseline,anchor,55,55008,0.6181982529640198,0.7387999892234802,0.8155202865600586,3762,1283,1329,3626,1.3319944143295288,-1.3156001567840576
clean_random_baseline,anchor,60,60000,0.6154455812454224,0.7031000256538391,0.8170433044433594,4546,499,2470,2485,1.28517746925354,-1.5808439254760742
clean_random_baseline,anchor,65,65024,0.6094580326080322,0.7397000193595886,0.8191053867340088,3967,1078,1525,3430,1.5239591598510742,-1.5401941537857056
clean_random_baseline,anchor,70,70016,0.6077458627700806,0.7361000180244446,0.8212762475013733,3315,1730,909,4046,1.7361960411071777,-1.5095019340515137
clean_random_baseline,anchor,75,75008,0.6021665787696838,0.7360000014305115,0.8224112391471863,4186,859,1781,3174,1.6871590614318848,-1.757506012916565
clean_random_baseline,anchor,80,80000,0.6008931631088257,0.7117999792098999,0.823932945728302,4524,521,2361,2594,1.6792850494384766,-1.9695050716400146
clean_random_baseline,anchor,85,85024,0.6013931049346923,0.6897000074386597,0.8254438042640686,4706,339,2764,2191,1.7230864763259888,-2.1335086822509766
clean_random_baseline,anchor,90,90016,0.5958606585502625,0.7064999938011169,0.8269269466400146,4599,446,2489,2466,1.8675601482391357,-2.1887192726135254
clean_random_baseline,counterexample_tail,95,95008,0.5983874917030334,0.7081999778747559,0.8287380337715149,2616,2429,489,4466,2.430054187774658,-1.818727731704712
clean_random_baseline,anchor,100,100000,0.6042965257644654,0.6642000079154968,0.8306807279586792,1956,3089,269,4686,2.646707534790039,-1.8350882530212402
anchor_then_counterexample_tail,anchor,5,5024,0.7091494325637817,0.5044999718666077,0.7840309739112854,5045,0,4955,0,-0.3428939878940582,-0.6020914912223816
anchor_then_counterexample_tail,anchor,10,10016,0.6745006037712097,0.5200999975204468,0.7890111207962036,283,4762,37,4918,0.4166852831840515,-0.08835454285144806
anchor_then_counterexample_tail,anchor,15,15008,0.6618534188270568,0.6791999936103821,0.7905091047286987,2444,2601,607,4348,0.481208860874176,-0.31082600355148315
anchor_then_counterexample_tail,anchor,20,20000,0.6690534876823425,0.5338000059127808,0.7951134443283081,5025,20,4642,313,0.16848863661289215,-0.8920595645904541
anchor_then_counterexample_tail,anchor,25,25024,0.6442913009643555,0.691100001335144,0.7980325818061829,4502,543,2546,2409,0.5910892486572266,-0.7202017903327942
anchor_then_counterexample_tail,anchor,30,30016,0.6386751002311707,0.7002999782562256,0.8021554946899414,2749,2296,701,4254,0.9282265305519104,-0.628882646560669
anchor_then_counterexample_tail,anchor,35,35008,0.6305110215187073,0.718999981880188,0.8030949831008911,3238,1807,1003,3952,0.9982154965400696,-0.8109432458877563
anchor_then_counterexample_tail,anchor,40,40000,0.6232912024497986,0.7300999760627747,0.8043069839477539,3595,1450,1249,3706,1.0800901651382446,-1.0044605731964111
anchor_then_counterexample_tail,anchor,45,45024,0.6171560500144958,0.7300000190734863,0.806338369846344,3988,1057,1643,3312,1.141793966293335,-1.2032297849655151
anchor_then_counterexample_tail,anchor,50,50016,0.6118631435394287,0.73089998960495,0.808320164680481,4004,1041,1650,3305,1.2777903079986572,-1.306195855140686
anchor_then_counterexample_tail,anchor,55,55008,0.6071050783157349,0.7240999937057495,0.8100559711456299,4169,876,1883,3072,1.359569787979126,-1.486631155014038
anchor_then_counterexample_tail,anchor,60,60000,0.6024652055740356,0.7376999855041504,0.811639666557312,3824,1221,1402,3553,1.5865384340286255,-1.5119121074676514
anchor_then_counterexample_tail,anchor,65,65024,0.6119698621749878,0.6503000259399414,0.81333988904953,4821,224,3273,1682,1.3764705657958984,-2.0070347785949707
anchor_then_counterexample_tail,anchor,70,70016,0.6030513528823852,0.6733999848365784,0.8153069615364075,4710,335,2931,2024,1.559662938117981,-2.0486385822296143
anchor_then_counterexample_tail,anchor,75,75008,0.5899298265457154,0.7409999966621399,0.8167874813079834,3850,1195,1395,3560,2.0059919357299805,-1.8245632648468018
anchor_then_counterexample_tail,anchor,80,80000,0.5863415905952454,0.7416999936103821,0.8185170888900757,3824,1221,1362,3593,2.141153335571289,-1.9193005561828613
anchor_then_counterexample_tail,anchor,85,85024,0.5911791877746582,0.6901999711990356,0.8203483819961548,4666,379,2719,2236,1.9449436664581299,-2.3352859020233154
anchor_then_counterexample_tail,counterexample_tail,90,90016,0.5791606490135193,0.7437999844551086,0.8216627240180969,3906,1139,1423,3532,2.344899892807007,-2.132719039916992
anchor_then_counterexample_tail,counterexample_tail,95,95008,0.5852601199150086,0.7505999803543091,0.8306158781051636,3548,1497,997,3958,2.4107112884521484,-2.0472733974456787
