condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,5024,0.6929804160118103,0.49549999833106995,0.7647703289985657,0,5045,0,4955,0.05380915105342865,0.030280523002147675
clean_random_baseline,anchor,10,10016,0.6931847687721252,0.49549999833106995,0.786520779132843,0,5045,0,4955,0.09757381677627563,0.06061993166804314
clean_random_baseline,anchor,15,15008,0.6919074207305909,0.49549999833106995,0.7904477119445801,0,5045,0,4955,0.06295423954725266,0.012807698920369148
clean_random_baseline,anchor,20,20000,0.6910614309310913,0.6783999800682068,0.7935212850570679,4587,458,2758,2197,0.028441715985536575,-0.032764267176389694
clean_random_baseline,anchor,25,25024,0.6906410481452941,0.5175999999046326,0.7929067611694336,248,4797,27,4928,0.05638982355594635,-0.017671389505267143
clean_random_baseline,anchor,30,30016,0.6899567333221436,0.5550000071525574,0.7938140034675598,5000,45,4405,550,0.023439181968569756,-0.06281360238790512
clean_random_baseline,anchor,35,35008,0.68945625,0.7103999853134155,0.794587254524231,4204,841,2055,2900,0.049494918435811996,-0.051782045513391495
clean_random_baseline,anchor,40,40000,0.6898224971771241,0.49570000171661377,0.7951012253761292,2,5043,0,4955,0.12664183974266052,0.013867314904928207
clean_random_baseline,anchor,45,45024,0.688415006160736,0.5473999977111816,0.7951499223709106,5008,37,4489,466,0.030609281733632088,-0.09371953457593918
clean_random_baseline,anchor,50,50016,0.6893392216682435,0.49559998512268066,0.7952070832252502,1,5044,0,4955,0.16271179914474487,0.02406192384660244
clean_random_baseline,anchor,55,55008,0.6873522659301757,0.6952999830245972,0.7943546772003174,4423,622,2425,2530,0.07256471365690231,-0.07977449893951416
clean_random_baseline,anchor,60,60000,0.6871450479507446,0.5512999892234802,0.7941838502883911,636,4409,78,4877,0.11980307847261429,-0.04530166834592819
clean_random_baseline,anchor,65,65024,0.6865096209526061,0.6302000284194946,0.7944132089614868,1635,3410,288,4667,0.11715734004974365,-0.05965470150113106
clean_random_baseline,anchor,70,70016,0.6858342161178589,0.5864999890327454,0.7946516871452332,4946,99,4036,919,0.06408403068780899,-0.12435629963874817
clean_random_baseline,anchor,75,75008,0.6853226453781128,0.7214000225067139,0.7942094802856445,3745,1300,1486,3469,0.10837949812412262,-0.09116070717573166
clean_random_baseline,anchor,80,80000,0.6848046530723572,0.7103999853134155,0.7940295934677124,4173,872,2024,2931,0.10619530081748962,-0.10514584183692932
clean_random_baseline,anchor,85,85024,0.6842966461181641,0.6924999952316284,0.7940506935119629,4459,586,2489,2466,0.10838156938552856,-0.11715732514858246
clean_random_baseline,anchor,90,90016,0.684031169128418,0.6578999757766724,0.7938599586486816,2042,3003,418,4537,0.1538800299167633,-0.08456572890281677
clean_random_baseline,counterexample_tail,95,95008,0.6837583282470703,0.5849000215530396,0.7942373156547546,1030,4015,136,4819,0.17861029505729675,-0.07326853275299072
clean_random_baseline,anchor,100,100000,0.6828361893653869,0.7175999879837036,0.7944732904434204,3966,1079,1745,3210,0.14139017462730408,-0.1258436143398285
anchor_then_counterexample_tail,anchor,5,5024,0.6934117757797241,0.5044999718666077,0.775965690612793,5045,0,4955,0,-0.08878787606954575,-0.11074040830135345
anchor_then_counterexample_tail,anchor,10,10016,0.6921542545318603,0.49549999833106995,0.7834358215332031,0,5045,0,4955,0.054548345506191254,0.02028891071677208
anchor_then_counterexample_tail,anchor,15,15008,0.6918281070709229,0.49549999833106995,0.7850027680397034,0,5045,0,4955,0.08258581161499023,0.03316383808851242
anchor_then_counterexample_tail,anchor,20,20000,0.6920652027130128,0.5044999718666077,0.7874351143836975,5045,0,4955,0,-0.0899525061249733,-0.15436671674251556
anchor_then_counterexample_tail,anchor,25,25024,0.691073069190979,0.5047000050544739,0.7885208129882812,5045,0,4953,2,-0.06985638290643692,-0.1477002203464508
anchor_then_counterexample_tail,anchor,30,30016,0.6894146224975586,0.6093000173568726,0.7902299761772156,1353,3692,215,4740,0.06601979583501816,-0.02497585117816925
anchor_then_counterexample_tail,anchor,35,35008,0.6886203186035156,0.6247000098228455,0.7893427610397339,4842,203,3550,1405,0.04057078808546066,-0.06403627246618271
