condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,5024,0.5853729846954345,0.689300000667572,0.7623927593231201,3455,1590,1517,3438,-2.653301239013672,-3.1740150451660156
clean_random_baseline,anchor,10,10016,0.562254361629486,0.7250999808311462,0.8004268407821655,3891,1154,1595,3360,-1.3683913946151733,-2.0541396141052246
clean_random_baseline,anchor,15,15008,0.5214948835372925,0.7432000041007996,0.8230459690093994,3847,1198,1370,3585,-1.0083918571472168,-6.970770359039307
clean_random_baseline,anchor,20,20000,0.5370931749343872,0.738099992275238,0.8459389209747314,2980,2065,554,4401,1.1806519031524658,-7.108359336853027
clean_random_baseline,anchor,25,25024,0.4942608974456787,0.7608000040054321,0.8590646982192993,3314,1731,661,4294,5.890178203582764,-13.748941421508789
clean_random_baseline,anchor,30,30016,0.4626767084121704,0.7879999876022339,0.8687704801559448,4115,930,1190,3765,4.0307297706604,-10.937902450561523
clean_random_baseline,anchor,35,35008,0.46125148620605466,0.7921000123023987,0.877303957939148,4327,718,1361,3594,8.304122924804688,-7.395585060119629
clean_random_baseline,anchor,40,40000,0.43033309030532835,0.8011999726295471,0.8841784000396729,4069,976,1012,3943,8.413772583007812,-17.732196807861328
clean_random_baseline,anchor,45,45024,0.4353440326690674,0.8039000034332275,0.8886971473693848,4015,1030,931,4024,2.623168706893921,-16.76287269592285
clean_random_baseline,anchor,50,50016,0.42034184255599977,0.8079000115394592,0.8932301998138428,4293,752,1169,3786,0.7461041212081909,-20.128372192382812
clean_random_baseline,anchor,55,55008,0.511852540397644,0.745199978351593,0.8948436975479126,2746,2299,249,4706,11.827606201171875,-21.66146469116211
clean_random_baseline,anchor,60,60000,0.41662469916343686,0.8123000264167786,0.9001326560974121,4461,584,1293,3662,7.767285346984863,-17.624191284179688
clean_random_baseline,anchor,65,65024,0.43841046733856204,0.7972000241279602,0.9015336036682129,3553,1492,536,4419,10.439434051513672,-9.084369659423828
clean_random_baseline,anchor,70,70016,0.4316958708763123,0.8019999861717224,0.9051784873008728,4655,390,1590,3365,27.275394439697266,-13.17320442199707
clean_random_baseline,anchor,75,75008,0.40070936427116394,0.8220000267028809,0.908376932144165,4513,532,1248,3707,15.409658432006836,-16.717084884643555
clean_random_baseline,anchor,80,80000,0.4004871755599976,0.8314999938011169,0.9112763404846191,4476,569,1116,3839,23.667631149291992,-19.336624145507812
clean_random_baseline,anchor,85,85024,0.42774312477111814,0.8337000012397766,0.9125374555587769,4163,882,781,4174,28.75564193725586,-2.844982147216797
clean_random_baseline,anchor,90,90016,0.37100909299850465,0.8353000283241272,0.9160319566726685,4230,815,832,4123,21.317214965820312,-26.010135650634766
clean_random_baseline,counterexample_tail,95,95008,0.3745552622795105,0.8392999768257141,0.9166010618209839,4212,833,774,4181,22.3746337890625,-19.899192810058594
clean_random_baseline,anchor,100,100000,0.3871184585571289,0.8366000056266785,0.9189811944961548,4109,936,698,4257,16.904586791992188,-11.238584518432617
anchor_then_counterexample_tail,anchor,5,5024,0.5865821913719177,0.6895999908447266,0.7609981298446655,3626,1419,1685,3270,-0.6276159286499023,-2.420422077178955
anchor_then_counterexample_tail,anchor,10,10016,0.5328338519096375,0.7368999719619751,0.8142174482345581,3740,1305,1326,3629,0.12444773316383362,-2.857325315475464
anchor_then_counterexample_tail,anchor,15,15008,0.4923256278038025,0.7645999789237976,0.8445699214935303,4043,1002,1352,3603,0.12497751414775848,-7.226799011230469
anchor_then_counterexample_tail,anchor,20,20000,0.48386550946235657,0.7674000263214111,0.8599007725715637,3528,1517,809,4146,6.347621917724609,-9.223918914794922
anchor_then_counterexample_tail,anchor,25,25024,0.4703534565448761,0.7867000102996826,0.8734548687934875,3791,1254,879,4076,17.273225784301758,-13.25910758972168
anchor_then_counterexample_tail,anchor,30,30016,0.45855959463119506,0.7990000247955322,0.882813036441803,4275,770,1240,3715,18.687271118164062,-18.540084838867188
anchor_then_counterexample_tail,anchor,35,35008,0.5167781762123108,0.7560999989509583,0.8878149390220642,2951,2094,345,4610,22.955549240112305,-19.392292022705078
anchor_then_counterexample_tail,anchor,40,40000,0.41728420457839965,0.8109999895095825,0.8972712755203247,3912,1133,757,4198,15.930492401123047,-18.225605010986328
anchor_then_counterexample_tail,anchor,45,45024,0.4091230365753174,0.8170999884605408,0.9010740518569946,3983,1062,767,4188,24.338464736938477,-27.803653717041016
anchor_then_counterexample_tail,anchor,50,50016,0.3982207544803619,0.82669997215271,0.9057155847549438,4417,628,1105,3850,24.07291603088379,-31.620460510253906
anchor_then_counterexample_tail,anchor,55,55008,0.42674029664993285,0.8073999881744385,0.9064924716949463,3649,1396,530,4425,29.470550537109375,-22.486169815063477
anchor_then_counterexample_tail,anchor,60,60000,0.3771772306919098,0.833899974822998,0.9125140309333801,4297,748,913,4042,24.83013153076172,-29.083053588867188
anchor_then_counterexample_tail,anchor,65,65024,0.38729590220451354,0.8263000249862671,0.9154831171035767,3890,1155,582,4373,33.054901123046875,-31.046287536621094
anchor_then_counterexample_tail,anchor,70,70016,0.40439313225746154,0.8392999768257141,0.9178533554077148,4128,917,690,4265,31.795686721801758,-50.92074966430664
anchor_then_counterexample_tail,anchor,75,75008,0.3631696144580841,0.8458999991416931,0.9218831062316895,4378,667,874,4081,47.1727294921875,-39.72078323364258
anchor_then_counterexample_tail,anchor,80,80000,0.3742709761619568,0.84170001745224,0.9232734441757202,4042,1003,580,4375,44.82420349121094,-42.69465637207031
anchor_then_counterexample_tail,anchor,85,85024,0.3541882123947144,0.8489000201225281,0.9264288544654846,4339,706,805,4150,33.68494415283203,-57.91331481933594
anchor_then_counterexample_tail,counterexample_tail,90,90016,0.3597170103549957,0.8495000004768372,0.9274693727493286,4165,880,625,4330,36.907615661621094,-57.737335205078125
anchor_then_counterexample_tail,counterexample_tail,95,95008,3.596039683151245,0.17739999294281006,0.08686301112174988,427,4618,3608,1347,-120.67475891113281,218.373046875
anchor_then_counterexample_tail,counterexample_tail,100,100000,3.827594813156128,0.16120000183582306,0.0835631713271141,756,4289,4099,856,-111.13317108154297,222.5684814453125
