condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,5024,0.6885714527130127,0.5457000136375427,0.5733823776245117,2254,2791,1752,3203,0.18267226219177246,0.0738409087061882
clean_random_baseline,anchor,10,10016,0.671379001235962,0.5778999924659729,0.6255403757095337,2137,2908,1313,3642,0.20131492614746094,0.2284027338027954
clean_random_baseline,anchor,15,15008,0.5907909990310669,0.6769000291824341,0.7510170936584473,3308,1737,1494,3461,0.216242253780365,0.024347975850105286
clean_random_baseline,anchor,20,20000,0.522067875957489,0.7422999739646912,0.824430525302887,4181,864,1713,3242,0.22649389505386353,-0.22983413934707642
clean_random_baseline,anchor,25,25024,0.48862575454711915,0.7649999856948853,0.8551324605941772,3552,1493,857,4098,0.2573539614677429,-0.2273682802915573
clean_random_baseline,anchor,30,30016,0.45026740741729737,0.7961000204086304,0.8772995471954346,4293,752,1287,3668,0.5635578036308289,-0.20570284128189087
clean_random_baseline,anchor,35,35008,0.42094616632461546,0.8127999901771545,0.8936750888824463,3912,1133,739,4216,0.7608770132064819,-0.21508735418319702
clean_random_baseline,anchor,40,40000,0.4461200654029846,0.786899983882904,0.901513934135437,4762,283,1848,3107,0.6031628847122192,-0.5151552557945251
clean_random_baseline,anchor,45,45024,0.38579008774757384,0.8253999948501587,0.9088543653488159,4100,945,801,4154,1.0484726428985596,-0.7593661546707153
clean_random_baseline,anchor,50,50016,0.3713990320682526,0.8345000147819519,0.914517879486084,4306,739,916,4039,1.2570127248764038,-0.7274483442306519
clean_random_baseline,anchor,55,55008,0.38211253209114077,0.8317000269889832,0.9203511476516724,3927,1118,565,4390,1.5139423608779907,-0.700576901435852
clean_random_baseline,anchor,60,60000,0.390698984003067,0.8240000009536743,0.9222051501274109,4718,327,1433,3522,1.5611809492111206,-0.957718551158905
clean_random_baseline,anchor,65,65024,0.37601152410507205,0.84579998254776,0.9279657602310181,4136,909,633,4322,1.873426079750061,-0.983215868473053
clean_random_baseline,anchor,70,70016,0.3523156271457672,0.8439000248908997,0.9307430982589722,4680,365,1196,3759,1.7713122367858887,-1.4063141345977783
clean_random_baseline,anchor,75,75008,0.35531107840538023,0.8388000130653381,0.93201744556427,4701,344,1268,3687,1.5631078481674194,-1.7047380208969116
