condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.6968476457595825,0.5049999952316284,0.5035285353660583,528,475,515,482,0.07677363604307175,0.10673826932907104
clean_random_baseline,counterexample_tail,10,1024,0.69382262134552,0.5199999809265137,0.5249757170677185,572,431,529,468,0.1595902144908905,0.06670200824737549
clean_random_baseline,anchor,15,1504,0.6896304311752319,0.5304999947547913,0.5452573895454407,548,455,484,513,0.1414036750793457,0.04928179085254669
clean_random_baseline,anchor,20,2016,0.6870682806968689,0.5360000133514404,0.5683780908584595,340,663,265,732,0.1290620118379593,0.06802752614021301
clean_random_baseline,anchor,25,2528,0.6843861885070801,0.546500027179718,0.57957923412323,381,622,285,712,0.1547858715057373,-0.0019784867763519287
clean_random_baseline,anchor,30,3008,0.6800333309173584,0.5534999966621399,0.5883142948150635,530,473,420,577,0.07424519211053848,-0.14421802759170532
clean_random_baseline,anchor,35,3520,0.6760914330482483,0.5615000128746033,0.6003963947296143,531,472,405,592,0.07700707763433456,-0.16759651899337769
clean_random_baseline,anchor,40,4000,0.6738844327926635,0.5690000057220459,0.6072944402694702,574,429,433,564,0.03505922853946686,-0.09400947391986847
clean_random_baseline,anchor,45,4512,0.6702309579849243,0.5860000252723694,0.6227080821990967,548,455,373,624,0.07062926888465881,-0.03459411859512329
clean_random_baseline,anchor,50,5024,0.662833872795105,0.6010000109672546,0.6493028402328491,492,511,287,710,0.0765727087855339,0.05256582796573639
clean_random_baseline,anchor,55,5504,0.6458026518821717,0.6179999709129333,0.6811721324920654,528,475,289,708,0.142228901386261,0.05816969275474548
clean_random_baseline,anchor,60,6016,0.5852459888458252,0.7124999761581421,0.7751100063323975,654,349,226,771,0.20021696388721466,0.05222614109516144
clean_random_baseline,anchor,65,6528,0.593555591583252,0.6765000224113464,0.7552967667579651,636,367,280,717,0.26318663358688354,-0.032093942165374756
clean_random_baseline,anchor,70,7008,0.5825012135505676,0.7020000219345093,0.7791570425033569,550,453,143,854,0.2509872019290924,-0.03340311348438263
clean_random_baseline,anchor,75,7520,0.5930475153923035,0.6850000023841858,0.7792909741401672,486,517,113,884,0.24784451723098755,-0.06350599229335785
clean_random_baseline,counterexample_tail,80,8000,0.6037319688796997,0.6775000095367432,0.7483677268028259,599,404,241,756,0.37013736367225647,-0.15086334943771362
clean_random_baseline,anchor,85,8512,0.5649445877075195,0.7129999995231628,0.7861925363540649,782,221,353,644,0.4941621422767639,-0.29074954986572266
clean_random_baseline,anchor,90,9024,0.537799735546112,0.7444999814033508,0.8187143802642822,636,367,144,853,0.4962114095687866,-0.28499269485473633
clean_random_baseline,anchor,95,9504,0.5254027290344239,0.7494999766349792,0.8232384324073792,791,212,289,708,0.5148113965988159,-0.2720429301261902
clean_random_baseline,anchor,100,10000,0.5190189146995544,0.7515000104904175,0.8429296016693115,866,137,360,637,0.4884675145149231,-0.2597513794898987
anchor_then_counterexample_tail,anchor,5,512,0.6987002639770508,0.4959999918937683,0.5012035369873047,593,410,598,399,-0.06955206394195557,0.14448854327201843
anchor_then_counterexample_tail,anchor,10,1024,0.6929363055229187,0.5149999856948853,0.5342727899551392,411,592,378,619,0.0014052167534828186,0.21063324809074402
anchor_then_counterexample_tail,anchor,15,1504,0.6880869436264038,0.5400000214576721,0.5588210225105286,439,564,356,641,0.07649154961109161,0.16998621821403503
anchor_then_counterexample_tail,anchor,20,2016,0.6822787380218506,0.5534999966621399,0.579065203666687,601,402,491,506,0.04865708202123642,0.043310150504112244
