condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.692404095172882,0.503000020980835,0.8454035520553589,1003,0,994,3,0.007030165288597345,-0.03773762285709381
clean_random_baseline,counterexample_tail,10,1024,0.6916894011497497,0.5040000081062317,0.8717232942581177,1003,0,992,5,0.018885161727666855,-0.05744485929608345
clean_random_baseline,anchor,15,1504,0.6909739885330201,0.5099999904632568,0.8781523704528809,1003,0,980,17,0.032277535647153854,-0.07124477624893188
clean_random_baseline,anchor,20,2016,0.6901970357894898,0.7434999942779541,0.8828879594802856,957,46,467,530,0.0666956678032875,-0.0699426531791687
clean_random_baseline,anchor,25,2528,0.6894293899536132,0.7490000128746033,0.8829324245452881,558,445,57,940,0.09113943576812744,-0.07048353552818298
clean_random_baseline,anchor,30,3008,0.6887434844970703,0.7710000276565552,0.8843379020690918,637,366,92,905,0.09930539131164551,-0.08045671135187149
clean_random_baseline,anchor,35,3520,0.688008752822876,0.7329999804496765,0.8865554332733154,512,491,43,954,0.1179923564195633,-0.08711229264736176
clean_random_baseline,anchor,40,4000,0.6873320388793945,0.765500009059906,0.8881789445877075,591,412,57,940,0.1292409747838974,-0.09625669568777084
clean_random_baseline,anchor,45,4512,0.6865971632003784,0.7459999918937683,0.887361466884613,537,466,42,955,0.1578153371810913,-0.09940043091773987
clean_random_baseline,anchor,50,5024,0.6858690872192382,0.6679999828338623,0.8882650136947632,358,645,19,978,0.17688912153244019,-0.10296325385570526
clean_random_baseline,anchor,55,5504,0.6852577610015869,0.5979999899864197,0.8891614675521851,202,801,3,994,0.20223155617713928,-0.10471214354038239
clean_random_baseline,anchor,60,6016,0.6845044255256653,0.593999981880188,0.8897175192832947,193,810,2,995,0.22953665256500244,-0.11987793445587158
clean_random_baseline,anchor,65,6528,0.6838404560089111,0.5849999785423279,0.8907409906387329,175,828,2,995,0.24858267605304718,-0.1389402449131012
clean_random_baseline,anchor,70,7008,0.6831879148483276,0.597000002861023,0.8901515007019043,200,803,3,994,0.2548143267631531,-0.15645229816436768
clean_random_baseline,anchor,75,7520,0.6824905314445495,0.6014999747276306,0.8906314969062805,210,793,4,993,0.2643168568611145,-0.1696752905845642
clean_random_baseline,counterexample_tail,80,8000,0.6816982660293579,0.6675000190734863,0.8901045322418213,355,648,17,980,0.2754010558128357,-0.19050808250904083
clean_random_baseline,anchor,85,8512,0.6808340787887573,0.7580000162124634,0.889773964881897,578,425,59,938,0.2796391248703003,-0.2158837616443634
clean_random_baseline,anchor,90,9024,0.6800358624458313,0.7994999885559082,0.8892220258712769,846,157,244,753,0.2728970944881439,-0.24463769793510437
clean_random_baseline,anchor,95,9504,0.6793595285415649,0.7455000281333923,0.8891534805297852,951,52,457,540,0.29214441776275635,-0.2655772864818573
clean_random_baseline,anchor,100,10000,0.6787275304794311,0.6784999966621399,0.889658510684967,982,21,622,375,0.29434478282928467,-0.287470281124115
anchor_then_counterexample_tail,anchor,5,512,0.692307460308075,0.5015000104904175,0.8340970277786255,1003,0,997,0,0.004208242986351252,-0.04527527093887329
anchor_then_counterexample_tail,anchor,10,1024,0.6914100952148438,0.5485000014305115,0.8583922386169434,1001,2,901,96,0.02706526592373848,-0.05757046490907669
anchor_then_counterexample_tail,anchor,15,1504,0.6906149444580079,0.7095000147819519,0.8663303256034851,948,55,526,471,0.04729144647717476,-0.07010138779878616
anchor_then_counterexample_tail,anchor,20,2016,0.6897847213745117,0.625,0.8716788291931152,993,10,740,257,0.06135645881295204,-0.09002856910228729
anchor_then_counterexample_tail,anchor,25,2528,0.6889774823188781,0.6704999804496765,0.875192403793335,983,20,639,358,0.08678722381591797,-0.09728220105171204
anchor_then_counterexample_tail,anchor,30,3008,0.6882009477615356,0.671999990940094,0.8769159317016602,983,20,636,361,0.10417385399341583,-0.1103413850069046
anchor_then_counterexample_tail,anchor,35,3520,0.687393780708313,0.7739999890327454,0.8768934011459351,903,100,352,645,0.11841157078742981,-0.1258450150489807
anchor_then_counterexample_tail,anchor,40,4000,0.6866639895439148,0.7670000195503235,0.8778558969497681,936,67,399,598,0.12309148907661438,-0.14422652125358582
anchor_then_counterexample_tail,anchor,45,4512,0.6858745441436768,0.7900000214576721,0.8788243532180786,790,213,207,790,0.13934868574142456,-0.1497725397348404
anchor_then_counterexample_tail,anchor,50,5024,0.6850956077575684,0.7415000200271606,0.8790434002876282,554,449,68,929,0.15686552226543427,-0.15259283781051636
anchor_then_counterexample_tail,anchor,55,5504,0.6843504638671875,0.7739999890327454,0.8790833950042725,660,343,109,888,0.1642242819070816,-0.1616431623697281
anchor_then_counterexample_tail,anchor,60,6016,0.6835351328849792,0.7889999747276306,0.8778934478759766,755,248,174,823,0.17118045687675476,-0.17412114143371582
anchor_then_counterexample_tail,anchor,65,6528,0.682776662826538,0.7870000004768372,0.8779729008674622,694,309,117,880,0.1854032278060913,-0.18376004695892334
anchor_then_counterexample_tail,anchor,70,7008,0.6821021656990052,0.7480000257492065,0.8785629272460938,568,435,69,928,0.19820086658000946,-0.18958857655525208
anchor_then_counterexample_tail,anchor,75,7520,0.6812127485275269,0.7875000238418579,0.8780509233474731,744,259,166,831,0.1978861391544342,-0.2122955620288849
anchor_then_counterexample_tail,anchor,80,8000,0.680399736404419,0.7595000267028809,0.8772419095039368,932,71,410,587,0.187859445810318,-0.23674699664115906
anchor_then_counterexample_tail,anchor,85,8512,0.6796251106262207,0.7760000228881836,0.877134382724762,904,99,349,648,0.20206576585769653,-0.2397586554288864
anchor_then_counterexample_tail,counterexample_tail,90,9024,0.6788027963638306,0.7749999761581421,0.8772504329681396,898,105,345,652,0.20830173790454865,-0.25133100152015686
anchor_then_counterexample_tail,counterexample_tail,95,9504,0.6785633444786072,0.7689999938011169,0.8806298971176147,929,74,388,609,0.20770114660263062,-0.26256000995635986
anchor_then_counterexample_tail,counterexample_tail,100,10000,0.6786876678466797,0.7835000157356262,0.8866999745368958,895,108,325,672,0.21306855976581573,-0.2636011242866516
