condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.6924041481018066,0.503000020980835,0.8454101085662842,1003,0,994,3,0.007030400447547436,-0.037733323872089386
clean_random_baseline,counterexample_tail,10,1024,0.6916896214485169,0.5040000081062317,0.8717223405838013,1003,0,992,5,0.01888282783329487,-0.05743343010544777
clean_random_baseline,anchor,15,1504,0.6909744539260865,0.5099999904632568,0.8781514167785645,1003,0,980,17,0.032271381467580795,-0.07122400403022766
clean_random_baseline,anchor,20,2016,0.6901979360580445,0.7434999942779541,0.8828884363174438,957,46,467,530,0.06668113172054291,-0.06991098821163177
clean_random_baseline,anchor,25,2528,0.6894308385849,0.7484999895095825,0.8829319477081299,557,446,57,940,0.09111133217811584,-0.07044155895709991
clean_random_baseline,anchor,30,3008,0.6887455224990845,0.7710000276565552,0.8843384981155396,636,367,91,906,0.0992622822523117,-0.08040425926446915
clean_random_baseline,anchor,35,3520,0.6880115351676941,0.7329999804496765,0.8865565061569214,512,491,43,954,0.11793124675750732,-0.08704705536365509
clean_random_baseline,anchor,40,4000,0.6873356323242188,0.765500009059906,0.8881709575653076,591,412,57,940,0.12916089594364166,-0.09617826342582703
clean_random_baseline,anchor,45,4512,0.6866017122268677,0.7459999918937683,0.8873574733734131,537,466,42,955,0.15771226584911346,-0.09930644929409027
clean_random_baseline,anchor,50,5024,0.6858747000694275,0.6679999828338623,0.8882650136947632,358,645,19,978,0.17675909399986267,-0.10285334289073944
clean_random_baseline,anchor,55,5504,0.6852644548416138,0.5975000262260437,0.8891650438308716,201,802,3,994,0.2020736038684845,-0.1045866310596466
clean_random_baseline,anchor,60,6016,0.6845123829841614,0.593999981880188,0.8897250294685364,193,810,2,995,0.22934490442276,-0.11973418295383453
clean_random_baseline,anchor,65,6528,0.6838497724533081,0.5849999785423279,0.8907439708709717,175,828,2,995,0.24835368990898132,-0.13877490162849426
clean_random_baseline,anchor,70,7008,0.683198618888855,0.5964999794960022,0.8901519775390625,199,804,3,994,0.2545487582683563,-0.15626360476016998
clean_random_baseline,anchor,75,7520,0.6825028038024903,0.6004999876022339,0.8906325101852417,208,795,4,993,0.26401177048683167,-0.16945886611938477
clean_random_baseline,counterexample_tail,80,8000,0.6817121796607971,0.6675000190734863,0.8901045322418213,355,648,17,980,0.27505767345428467,-0.19026294350624084
clean_random_baseline,anchor,85,8512,0.6808499007225036,0.7584999799728394,0.8897780179977417,579,424,59,938,0.27925366163253784,-0.2156049907207489
clean_random_baseline,anchor,90,9024,0.6800537996292114,0.7994999885559082,0.8892240524291992,846,157,244,753,0.2724699378013611,-0.24432051181793213
clean_random_baseline,anchor,95,9504,0.6793795042037963,0.7450000047683716,0.8891514539718628,951,52,458,539,0.29167628288269043,-0.26522016525268555
clean_random_baseline,anchor,100,10000,0.6787497096061706,0.6784999966621399,0.8896640539169312,982,21,622,375,0.29383039474487305,-0.28706687688827515
anchor_then_counterexample_tail,anchor,5,512,0.6923075151443482,0.5015000104904175,0.8340970277786255,1003,0,997,0,0.004208092577755451,-0.04527058079838753
anchor_then_counterexample_tail,anchor,10,1024,0.6914103660583496,0.5485000014305115,0.8583932518959045,1001,2,901,96,0.02706281840801239,-0.05755753070116043
anchor_then_counterexample_tail,anchor,15,1504,0.6906155290603637,0.7099999785423279,0.8663297891616821,948,55,525,472,0.047282978892326355,-0.07007955014705658
anchor_then_counterexample_tail,anchor,20,2016,0.689785753250122,0.625,0.8716808557510376,993,10,740,257,0.061338841915130615,-0.089994415640831
anchor_then_counterexample_tail,anchor,25,2528,0.6889791135787964,0.6704999804496765,0.8751983642578125,983,20,639,358,0.0867576003074646,-0.09723341464996338
anchor_then_counterexample_tail,anchor,30,3008,0.6882032427787781,0.671999990940094,0.8769168853759766,983,20,636,361,0.10412891209125519,-0.11027789860963821
anchor_then_counterexample_tail,anchor,35,3520,0.6873969163894653,0.7739999890327454,0.876896858215332,903,100,352,645,0.1183478981256485,-0.12576395273208618
anchor_then_counterexample_tail,anchor,40,4000,0.68666801404953,0.7670000195503235,0.8778624534606934,936,67,399,598,0.1230091080069542,-0.14412571489810944
anchor_then_counterexample_tail,anchor,45,4512,0.6858796577453613,0.7900000214576721,0.8788248896598816,790,213,207,790,0.13924440741539001,-0.14964932203292847
anchor_then_counterexample_tail,anchor,50,5024,0.6851019287109374,0.7415000200271606,0.8790448904037476,554,449,68,929,0.15673673152923584,-0.15244612097740173
anchor_then_counterexample_tail,anchor,55,5504,0.6843579893112183,0.7739999890327454,0.8790814876556396,660,343,109,888,0.16407082974910736,-0.16147342324256897
anchor_then_counterexample_tail,anchor,60,6016,0.6835440692901611,0.7885000109672546,0.8778934478759766,754,249,174,823,0.17100003361701965,-0.1739247739315033
anchor_then_counterexample_tail,anchor,65,6528,0.6827871513366699,0.7870000004768372,0.8779698610305786,694,309,117,880,0.18519461154937744,-0.1835349053144455
anchor_then_counterexample_tail,anchor,70,7008,0.6821141839027405,0.7475000023841858,0.878563404083252,567,436,69,928,0.19796337187290192,-0.1893356889486313
anchor_then_counterexample_tail,anchor,75,7520,0.6812265310287475,0.7875000238418579,0.878049910068512,744,259,166,831,0.19761687517166138,-0.2120106816291809
anchor_then_counterexample_tail,anchor,80,8000,0.680415301322937,0.7595000267028809,0.8772413730621338,932,71,410,587,0.1875615268945694,-0.23642820119857788
anchor_then_counterexample_tail,anchor,85,8512,0.6796426801681519,0.7760000228881836,0.8771294355392456,904,99,349,648,0.20173755288124084,-0.2394011914730072
anchor_then_counterexample_tail,counterexample_tail,90,9024,0.678822464466095,0.7749999761581421,0.8772438764572144,898,105,345,652,0.20794077217578888,-0.2509344816207886
anchor_then_counterexample_tail,counterexample_tail,95,9504,0.6785851240158081,0.7689999938011169,0.8806289434432983,929,74,388,609,0.2073090374469757,-0.2621249258518219
anchor_then_counterexample_tail,counterexample_tail,100,10000,0.6787117347717285,0.7835000157356262,0.8867219686508179,895,108,325,672,0.21264249086380005,-0.2631242275238037
