condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.6929269905090332,0.4984999895095825,0.752754807472229,0,1003,0,997,0.03853573650121689,0.018869837746024132
clean_random_baseline,counterexample_tail,10,1024,0.7036321277618408,0.5015000104904175,0.7890520691871643,1003,0,997,0,-0.2923668920993805,-0.33607691526412964
clean_random_baseline,anchor,15,1504,0.712310576915741,0.4984999895095825,0.7919061183929443,0,1003,0,997,0.4308428168296814,0.36343061923980713
clean_random_baseline,anchor,20,2016,0.6901288394927978,0.703000009059906,0.7959316372871399,575,428,166,831,0.045507464557886124,-0.05135016143321991
clean_random_baseline,anchor,25,2528,0.6896535787582397,0.4984999895095825,0.793717622756958,0,1003,0,997,0.12347806990146637,0.00257919542491436
clean_random_baseline,anchor,30,3008,0.6921351633071899,0.5015000104904175,0.7932051420211792,1003,0,997,0,-0.12648725509643555,-0.26540493965148926
clean_random_baseline,anchor,35,3520,0.6929828901290893,0.4984999895095825,0.794869601726532,0,1003,0,997,0.287732869386673,0.12784288823604584
clean_random_baseline,anchor,40,4000,0.6945900831222535,0.5015000104904175,0.7958216667175293,1003,0,997,0,-0.1900418996810913,-0.367093026638031
clean_random_baseline,anchor,45,4512,0.7007218074798583,0.4984999895095825,0.795427680015564,0,1003,0,997,0.4515155255794525,0.24784284830093384
clean_random_baseline,anchor,50,5024,0.6876379814147949,0.5040000081062317,0.7960596680641174,1003,0,992,5,-0.07596703618764877,-0.30094122886657715
clean_random_baseline,anchor,55,5504,0.6899570465087891,0.4984999895095825,0.7977166771888733,0,1003,0,997,0.3612067401409149,0.1146622747182846
clean_random_baseline,anchor,60,6016,0.6846436724662781,0.5095000267028809,0.798345148563385,1003,0,981,16,-0.026491694152355194,-0.3041066527366638
clean_random_baseline,anchor,65,6528,0.6902279739379883,0.4984999895095825,0.7998297214508057,0,1003,0,997,0.43079453706741333,0.1209680512547493
clean_random_baseline,anchor,70,7008,0.6805235662460327,0.5435000061988831,0.800098180770874,996,7,906,91,0.05863518267869949,-0.275613009929657
clean_random_baseline,anchor,75,7520,0.6839536137580872,0.4984999895095825,0.8014332056045532,0,1003,0,997,0.37348872423171997,0.017433419823646545
clean_random_baseline,counterexample_tail,80,8000,0.6840464639663696,0.5084999799728394,0.8020272254943848,1003,0,983,14,-0.05519573390483856,-0.43609970808029175
clean_random_baseline,anchor,85,8512,0.6822720136642456,0.5115000009536743,0.802719235420227,1003,0,977,20,-0.028341665863990784,-0.4354121685028076
clean_random_baseline,anchor,90,9024,0.6819109144210815,0.5120000243186951,0.8026737570762634,1003,0,976,21,-0.029820598661899567,-0.45808181166648865
clean_random_baseline,anchor,95,9504,0.6751086416244507,0.612500011920929,0.8026622533798218,974,29,746,251,0.17396055161952972,-0.3053560256958008
clean_random_baseline,anchor,100,10000,0.6741202011108398,0.6240000128746033,0.8030767440795898,968,35,717,280,0.20445400476455688,-0.3133279085159302
anchor_then_counterexample_tail,anchor,5,512,0.693927149772644,0.5015000104904175,0.7455471754074097,1003,0,997,0,-0.09998905658721924,-0.11436408758163452
anchor_then_counterexample_tail,anchor,10,1024,0.7191774520874024,0.4984999895095825,0.76349937915802,0,1003,0,997,0.47294142842292786,0.44435080885887146
anchor_then_counterexample_tail,anchor,15,1504,0.7070970993041992,0.5015000104904175,0.77378249168396,1003,0,997,0,-0.35170137882232666,-0.39885103702545166
anchor_then_counterexample_tail,anchor,20,2016,0.6899354286193847,0.4984999895095825,0.7786924839019775,0,1003,0,997,0.09656479954719543,0.024839429184794426
anchor_then_counterexample_tail,anchor,25,2528,0.6912464737892151,0.4984999895095825,0.7818800210952759,0,1003,0,997,0.19938898086547852,0.10207764059305191
anchor_then_counterexample_tail,anchor,30,3008,0.6940136814117431,0.5015000104904175,0.7849245667457581,1003,0,997,0,-0.16499441862106323,-0.3103789687156677
anchor_then_counterexample_tail,anchor,35,3520,0.6931950788497925,0.4984999895095825,0.7849300503730774,0,1003,0,997,0.3467351496219635,0.1589251458644867
