condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.693116201877594,0.5024999976158142,0.5521484613418579,1002,1,994,3,-0.0013604490086436272,-0.010873161256313324
clean_random_baseline,counterexample_tail,10,1024,0.69418630027771,0.5015000104904175,0.6238701343536377,1003,0,997,0,-0.09820379316806793,-0.10903053730726242
clean_random_baseline,anchor,15,1504,0.6930227932929993,0.5055000185966492,0.6644659638404846,23,980,9,988,0.004364208783954382,-0.008170207031071186
clean_random_baseline,anchor,20,2016,0.6936807165145874,0.4984999895095825,0.7073293328285217,0,1003,0,997,0.07347579300403595,0.05966585874557495
clean_random_baseline,anchor,25,2528,0.6932957391738892,0.4984999895095825,0.730288565158844,0,1003,0,997,0.054454393684864044,0.03979618847370148
clean_random_baseline,anchor,30,3008,0.6928341331481933,0.5044999718666077,0.7458412647247314,1003,0,991,6,-0.0026208204217255116,-0.01821983978152275
clean_random_baseline,anchor,35,3520,0.6931222805976868,0.4984999895095825,0.7559808492660522,0,1003,0,997,0.050727423280477524,0.034222595393657684
clean_random_baseline,anchor,40,4000,0.6927918853759766,0.4984999895095825,0.7639598846435547,0,1003,0,997,0.02342771366238594,0.005607078317552805
clean_random_baseline,anchor,45,4512,0.6934445114135742,0.4984999895095825,0.7673919200897217,0,1003,0,997,0.07927390933036804,0.06035419553518295
clean_random_baseline,anchor,50,5024,0.6933095874786377,0.4984999895095825,0.773221492767334,0,1003,0,997,0.07532602548599243,0.05563562363386154
clean_random_baseline,anchor,55,5504,0.6931909093856812,0.4984999895095825,0.7748609781265259,0,1003,0,997,0.07322708517313004,0.052093565464019775
clean_random_baseline,anchor,60,6016,0.6932160921096802,0.4984999895095825,0.7794829607009888,0,1003,0,997,0.0789690762758255,0.05586544796824455
clean_random_baseline,anchor,65,6528,0.6927521023750305,0.4984999895095825,0.7830455303192139,0,1003,0,997,0.053922317922115326,0.029363160952925682
clean_random_baseline,anchor,70,7008,0.6928408718109131,0.4984999895095825,0.7852640151977539,0,1003,0,997,0.06397544592618942,0.03849814087152481
clean_random_baseline,anchor,75,7520,0.6931526975631714,0.4984999895095825,0.7870326042175293,0,1003,0,997,0.08477999269962311,0.05811444669961929
