condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.6908091368675232,0.4975000023841858,0.6307511329650879,1,1002,3,994,0.2809644341468811,0.6743720769882202
clean_random_baseline,counterexample_tail,10,1024,0.6901559290885926,0.5105000138282776,0.6853741407394409,1002,1,978,19,-0.02291545271873474,0.30320674180984497
clean_random_baseline,anchor,15,1504,0.6536792392730713,0.612500011920929,0.7184244990348816,322,681,94,903,1.7582275867462158,1.344414234161377
clean_random_baseline,anchor,20,2016,0.6146718320846558,0.6775000095367432,0.738814651966095,751,252,393,604,2.9807868003845215,0.1540951132774353
clean_random_baseline,anchor,25,2528,0.6153528881072998,0.6499999761581421,0.7408391237258911,844,159,541,456,4.508480072021484,0.7979447245597839
clean_random_baseline,anchor,30,3008,0.6223015389442443,0.6460000276565552,0.7473767399787903,886,117,591,406,4.567071437835693,1.3514516353607178
clean_random_baseline,anchor,35,3520,0.6009459309577941,0.6765000224113464,0.7540697455406189,801,202,445,552,6.5482988357543945,1.0378353595733643
clean_random_baseline,anchor,40,4000,0.5987054705619812,0.6819999814033508,0.757226824760437,636,367,269,728,7.01629114151001,0.6246095895767212
clean_random_baseline,anchor,45,4512,0.6122067365646362,0.6675000190734863,0.7517657279968262,498,505,160,837,8.255411148071289,0.4796765148639679
clean_random_baseline,anchor,50,5024,0.6346444163322449,0.6439999938011169,0.7554928064346313,382,621,91,906,8.362537384033203,0.5586540699005127
clean_random_baseline,anchor,55,5504,0.6023044137954712,0.6675000190734863,0.7733579874038696,902,101,564,433,6.043412685394287,-0.26834937930107117
clean_random_baseline,anchor,60,6016,0.6198534965515137,0.6349999904632568,0.7868036031723022,946,57,673,324,7.0591816902160645,-0.5587434768676758
clean_random_baseline,anchor,65,6528,0.582707317352295,0.703000009059906,0.7885881066322327,834,169,425,572,8.415613174438477,-0.6899977326393127
clean_random_baseline,anchor,70,7008,0.612293619632721,0.6539999842643738,0.7866760492324829,392,611,81,916,10.010945320129395,-0.2243070900440216
clean_random_baseline,anchor,75,7520,0.6168868050575257,0.652999997138977,0.7873455882072449,393,610,84,913,10.6864652633667,0.6077098846435547
clean_random_baseline,counterexample_tail,80,8000,0.651504548072815,0.6054999828338623,0.793830156326294,249,754,35,962,10.934118270874023,1.2147852182388306
clean_random_baseline,anchor,85,8512,0.7352329006195069,0.5400000214576721,0.7901861071586609,996,7,913,84,6.321129322052002,-0.9314388632774353
clean_random_baseline,anchor,90,9024,0.5658515815734864,0.7114999890327454,0.8055992722511292,874,129,448,549,9.497160911560059,-0.27026933431625366
clean_random_baseline,anchor,95,9504,0.5433161120414733,0.7269999980926514,0.8091062307357788,691,312,234,763,10.910449028015137,0.5326168537139893
clean_random_baseline,anchor,100,10000,0.6073875741958619,0.656000018119812,0.8047822713851929,378,625,63,934,6.922718524932861,1.8678245544433594
anchor_then_counterexample_tail,anchor,5,512,0.6842683324813843,0.5674999952316284,0.6531728506088257,269,734,131,866,0.3273261487483978,0.5382661819458008
anchor_then_counterexample_tail,anchor,10,1024,0.6783012475967407,0.5164999961853027,0.6937262415885925,47,956,11,986,2.35453724861145,1.5746400356292725
anchor_then_counterexample_tail,anchor,15,1504,0.6386275997161865,0.6309999823570251,0.7100213766098022,452,551,187,810,4.328537464141846,2.60078501701355
anchor_then_counterexample_tail,anchor,20,2016,0.612754807472229,0.656499981880188,0.724150538444519,725,278,409,588,7.787328720092773,4.077031135559082
anchor_then_counterexample_tail,anchor,25,2528,0.6131719365119934,0.6704999804496765,0.7461367249488831,539,464,195,802,9.477288246154785,4.2487993240356445
anchor_then_counterexample_tail,anchor,30,3008,0.6691100788116455,0.6159999966621399,0.7543448209762573,296,707,61,936,11.845033645629883,3.690073013305664
anchor_then_counterexample_tail,anchor,35,3520,0.5875990643501282,0.6875,0.7624568939208984,630,373,252,745,11.517875671386719,3.4287397861480713
anchor_then_counterexample_tail,anchor,40,4000,0.6662334384918213,0.5985000133514404,0.7670848965644836,233,770,33,964,9.51981258392334,3.583855628967285
anchor_then_counterexample_tail,anchor,45,4512,0.5896536135673522,0.6909999847412109,0.7725844383239746,783,220,398,599,7.992203235626221,2.9386720657348633
anchor_then_counterexample_tail,anchor,50,5024,0.586981593132019,0.6850000023841858,0.7818920612335205,866,137,493,504,13.387109756469727,4.0277509689331055
anchor_then_counterexample_tail,anchor,55,5504,0.578715467453003,0.7014999985694885,0.7875440716743469,822,181,416,581,15.910463333129883,2.8188095092773438
anchor_then_counterexample_tail,anchor,60,6016,0.5595141763687134,0.703000009059906,0.7890350818634033,699,304,290,707,14.902243614196777,3.305114984512329
anchor_then_counterexample_tail,anchor,65,6528,0.5663414654731751,0.7045000195503235,0.7927521467208862,627,376,215,782,12.672128677368164,1.857168197631836
anchor_then_counterexample_tail,anchor,70,7008,0.5736798758506775,0.703499972820282,0.7955842018127441,581,422,171,826,11.802916526794434,0.8124580979347229
anchor_then_counterexample_tail,anchor,75,7520,0.5477918119430542,0.715499997138977,0.7996782064437866,729,274,295,702,13.09714412689209,1.512056589126587
anchor_then_counterexample_tail,anchor,80,8000,0.537779715538025,0.7250000238418579,0.8047102689743042,732,271,279,718,11.643902778625488,2.3333842754364014
anchor_then_counterexample_tail,anchor,85,8512,0.5363442678451538,0.7204999923706055,0.8079412579536438,680,323,236,761,11.974992752075195,1.76017427444458
anchor_then_counterexample_tail,counterexample_tail,90,9024,0.5269458951950073,0.7275000214576721,0.814789354801178,724,279,266,731,15.304120063781738,1.291670560836792
anchor_then_counterexample_tail,counterexample_tail,95,9504,0.7180434999465942,0.4555000066757202,0.33575502038002014,23,980,109,888,-0.7029765248298645,-0.8567672371864319
anchor_then_counterexample_tail,counterexample_tail,100,10000,1.2661689004898071,0.32600000500679016,0.19550076127052307,66,937,411,586,-12.583288192749023,-1.907012939453125
