condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.6925404024124145,0.515500009059906,0.518977165222168,694,309,660,337,-0.37595295906066895,0.08015812933444977
clean_random_baseline,counterexample_tail,10,1024,0.694065185546875,0.5055000185966492,0.5403323173522949,1002,1,988,9,-0.5250601172447205,-0.06176973879337311
clean_random_baseline,anchor,15,1504,0.6907748966217041,0.5304999947547913,0.5687460899353027,257,746,193,804,-0.2223905622959137,0.1766693890094757
clean_random_baseline,anchor,20,2016,0.6907283291816712,0.4984999895095825,0.5982939004898071,15,988,15,982,-0.05449533462524414,0.2884618937969208
clean_random_baseline,anchor,25,2528,0.6888431720733642,0.5195000171661377,0.618656575679779,110,893,68,929,-0.066648930311203,0.2837662696838379
clean_random_baseline,anchor,30,3008,0.6873956127166748,0.5914999842643738,0.6373637318611145,806,197,620,377,-0.10984091460704803,0.21283292770385742
clean_random_baseline,anchor,35,3520,0.6868351545333863,0.5285000205039978,0.6501463651657104,111,892,51,946,0.08599239587783813,0.34784314036369324
clean_random_baseline,anchor,40,4000,0.6853057513237,0.6075000166893005,0.6613239645957947,476,527,258,739,0.06367027759552002,0.30786368250846863
clean_random_baseline,anchor,45,4512,0.6855669794082642,0.5090000033378601,0.6696635484695435,31,972,10,987,0.25857970118522644,0.4853222370147705
clean_random_baseline,anchor,50,5024,0.6837635364532471,0.5230000019073486,0.679262101650238,81,922,32,965,0.29679882526397705,0.5007193088531494
clean_random_baseline,anchor,55,5504,0.6817363204956055,0.5615000128746033,0.6852171421051025,200,803,74,923,0.3514517843723297,0.5322951078414917
clean_random_baseline,anchor,60,6016,0.6803523988723755,0.5575000047683716,0.6918697357177734,183,820,65,932,0.4296727180480957,0.5359401106834412
clean_random_baseline,anchor,65,6528,0.6780642309188842,0.6269999742507935,0.6980698108673096,463,540,206,791,0.462272047996521,0.5472740530967712
clean_random_baseline,anchor,70,7008,0.6771105604171753,0.6054999828338623,0.7020493149757385,329,674,115,882,0.5777954459190369,0.6326781511306763
clean_random_baseline,anchor,75,7520,0.6759809036254882,0.5764999985694885,0.705163300037384,226,777,70,927,0.7079442739486694,0.7338836789131165
clean_random_baseline,counterexample_tail,80,8000,0.6735268740653991,0.6240000128746033,0.7094718813896179,391,612,140,857,0.8161203265190125,0.777841329574585
clean_random_baseline,anchor,85,8512,0.6719777073860168,0.609000027179718,0.7169458866119385,929,74,708,289,0.7142856121063232,0.6098260283470154
clean_random_baseline,anchor,90,9024,0.6711832647323608,0.5929999947547913,0.7183104753494263,950,53,761,236,0.7275784015655518,0.6081470251083374
clean_random_baseline,anchor,95,9504,0.6691107511520386,0.6000000238418579,0.721516489982605,945,58,742,255,0.8773956894874573,0.7166248559951782
clean_random_baseline,anchor,100,10000,0.6645668926239013,0.6424999833106995,0.7211394906044006,818,185,530,467,1.0748906135559082,0.8860102891921997
anchor_then_counterexample_tail,anchor,5,512,0.6925236577987671,0.5180000066757202,0.5290678143501282,951,52,912,85,-0.3946826457977295,0.022930502891540527
anchor_then_counterexample_tail,anchor,10,1024,0.6919824719429016,0.5,0.5668191313743591,17,986,14,983,-0.051988184452056885,0.2787397801876068
anchor_then_counterexample_tail,anchor,15,1504,0.6895640802383423,0.5619999766349792,0.589016318321228,429,574,302,695,-0.09794816374778748,0.1866144984960556
anchor_then_counterexample_tail,anchor,20,2016,0.6891146087646485,0.5329999923706055,0.6082154512405396,970,33,901,96,-0.15204444527626038,0.09504573047161102
anchor_then_counterexample_tail,anchor,25,2528,0.687198513507843,0.5640000104904175,0.6251731514930725,338,665,207,790,0.09661263227462769,0.2655482292175293
anchor_then_counterexample_tail,anchor,30,3008,0.6856359586715698,0.6035000085830688,0.6429587602615356,616,387,406,591,0.16978970170021057,0.24958278238773346
anchor_then_counterexample_tail,anchor,35,3520,0.685009153842926,0.5385000109672546,0.6544408798217773,153,850,73,924,0.31091466546058655,0.38197922706604004
anchor_then_counterexample_tail,anchor,40,4000,0.6842747211456299,0.5289999842643738,0.6621354818344116,101,902,40,957,0.42384928464889526,0.4414544999599457
anchor_then_counterexample_tail,anchor,45,4512,0.6815069150924683,0.5889999866485596,0.6708484888076782,350,653,169,828,0.5377644300460815,0.43603789806365967
anchor_then_counterexample_tail,anchor,50,5024,0.6795945310592652,0.6019999980926514,0.6823751330375671,354,649,147,850,0.6231129169464111,0.4890340566635132
anchor_then_counterexample_tail,anchor,55,5504,0.6771557068824768,0.6259999871253967,0.6876686811447144,597,406,342,655,0.660413920879364,0.4821271002292633
anchor_then_counterexample_tail,anchor,60,6016,0.6751210637092591,0.625,0.691142737865448,571,432,318,679,0.7804809212684631,0.5662040710449219
anchor_then_counterexample_tail,anchor,65,6528,0.6749067001342773,0.5625,0.6953831911087036,194,809,66,931,0.9929839372634888,0.7331414818763733
anchor_then_counterexample_tail,anchor,70,7008,0.6701140794754028,0.6324999928474426,0.7010453343391418,604,399,336,661,0.9711050987243652,0.6817481517791748
anchor_then_counterexample_tail,anchor,75,7520,0.6694570617675781,0.6069999933242798,0.7057368755340576,922,81,705,292,0.931686520576477,0.6241915225982666
anchor_then_counterexample_tail,anchor,80,8000,0.6660190391540527,0.628000020980835,0.7097663879394531,881,122,622,375,1.0807408094406128,0.7951116561889648
anchor_then_counterexample_tail,anchor,85,8512,0.6626421556472778,0.640500009059906,0.7097078561782837,501,502,217,780,1.404327392578125,1.0732231140136719
anchor_then_counterexample_tail,counterexample_tail,90,9024,0.6588238897323608,0.6474999785423279,0.7161334753036499,811,192,513,484,1.3849595785140991,1.037172555923462
anchor_then_counterexample_tail,counterexample_tail,95,9504,0.6619993476867676,0.6549999713897705,0.7212294936180115,722,281,409,588,1.200456142425537,1.015101671218872
anchor_then_counterexample_tail,counterexample_tail,100,10000,0.6665131740570068,0.6604999899864197,0.7258695363998413,750,253,426,571,0.9746836423873901,0.8628254532814026
