condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.7245570878982543,0.5120000243186951,0.5114756226539612,481,522,454,543,-0.05890887975692749,-0.9038832187652588
clean_random_baseline,counterexample_tail,10,1024,0.7279291996955871,0.5220000147819519,0.5177886486053467,740,263,693,304,-0.07599008083343506,-0.9144935011863708
clean_random_baseline,anchor,15,1504,0.7301756310462951,0.49149999022483826,0.5182706713676453,197,806,211,786,0.16999059915542603,-0.632331132888794
clean_random_baseline,anchor,20,2016,0.7077887659072876,0.5230000019073486,0.5273982286453247,500,503,451,546,0.052554428577423096,-0.6835060119628906
clean_random_baseline,anchor,25,2528,0.7041378774642945,0.5304999947547913,0.5335817933082581,488,515,424,573,0.1618098020553589,-0.5766711831092834
clean_random_baseline,anchor,30,3008,0.7073283462524415,0.5364999771118164,0.542158842086792,745,258,669,328,0.10036337375640869,-0.6714634895324707
clean_random_baseline,anchor,35,3520,0.6969299516677856,0.5354999899864197,0.549644947052002,546,457,472,525,0.24308693408966064,-0.5612094402313232
clean_random_baseline,anchor,40,4000,0.6942488069534302,0.546999990940094,0.5562880039215088,653,350,556,441,0.20841389894485474,-0.49510788917541504
clean_random_baseline,anchor,45,4512,0.6910633692741394,0.5444999933242798,0.5675771236419678,431,572,339,658,0.2577841281890869,-0.36098816990852356
clean_random_baseline,anchor,50,5024,0.6843288116455079,0.5534999966621399,0.5779452323913574,545,458,435,562,0.2259722352027893,-0.33494579792022705
clean_random_baseline,anchor,55,5504,0.6864579343795776,0.5649999976158142,0.5816701650619507,772,231,639,358,0.22607767581939697,-0.352983295917511
clean_random_baseline,anchor,60,6016,0.6820469188690186,0.5559999942779541,0.5839172601699829,479,524,364,633,0.33125853538513184,-0.18721137940883636
clean_random_baseline,anchor,65,6528,0.6803921756744384,0.5509999990463257,0.5946313738822937,408,595,303,694,0.4058241844177246,-0.12141094356775284
