condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.724565498828888,0.5120000243186951,0.5114806294441223,475,528,448,549,-0.05877953767776489,-0.9028767347335815
clean_random_baseline,counterexample_tail,10,1024,0.7283151082992554,0.5220000147819519,0.5169576406478882,744,259,697,300,-0.08095115423202515,-0.9172641634941101
clean_random_baseline,anchor,15,1504,0.7321049814224243,0.49300000071525574,0.5170426368713379,187,816,198,799,0.1648382544517517,-0.6333277225494385
clean_random_baseline,anchor,20,2016,0.7088911814689636,0.5170000195503235,0.5252807140350342,506,497,469,528,0.036443471908569336,-0.6896751523017883
clean_random_baseline,anchor,25,2528,0.7049545669555664,0.5285000205039978,0.5327677726745605,480,523,420,577,0.1346520185470581,-0.584080696105957
clean_random_baseline,anchor,30,3008,0.7073959469795227,0.5350000262260437,0.539854884147644,726,277,653,344,0.03768795728683472,-0.7057775259017944
clean_random_baseline,anchor,35,3520,0.6970372881889343,0.5364999771118164,0.5486959218978882,540,463,464,533,0.16903764009475708,-0.5820662975311279
clean_random_baseline,anchor,40,4000,0.6929452691078186,0.5485000014305115,0.5552769899368286,599,404,499,498,0.16311967372894287,-0.5002580285072327
clean_random_baseline,anchor,45,4512,0.6905094518661499,0.5419999957084656,0.5678331255912781,417,586,330,667,0.19434529542922974,-0.39465785026550293
clean_random_baseline,anchor,50,5024,0.6851933174133301,0.5519999861717224,0.573600172996521,592,411,485,512,0.1698339581489563,-0.3642163872718811
clean_random_baseline,anchor,55,5504,0.6833201608657837,0.5504999756813049,0.5785502195358276,639,364,535,462,0.2195228934288025,-0.3368242681026459
clean_random_baseline,anchor,60,6016,0.6810248680114747,0.5600000023841858,0.5839238166809082,532,471,409,588,0.28139644861221313,-0.20980997383594513
clean_random_baseline,anchor,65,6528,0.6786354789733887,0.5615000128746033,0.5941452980041504,462,541,336,661,0.3570603132247925,-0.15807411074638367
clean_random_baseline,anchor,70,7008,0.6781627979278565,0.5605000257492065,0.5963653326034546,460,543,336,661,0.35540467500686646,-0.17777547240257263
clean_random_baseline,anchor,75,7520,0.6764943699836731,0.5609999895095825,0.5960753560066223,560,443,435,562,0.24780505895614624,-0.2419452667236328
clean_random_baseline,counterexample_tail,80,8000,0.67541490650177,0.5615000128746033,0.6026239395141602,480,523,354,643,0.3237483501434326,-0.23637297749519348
clean_random_baseline,anchor,85,8512,0.6888722219467163,0.5764999985694885,0.6064804792404175,895,108,739,258,0.1903255581855774,-0.4737427532672882
clean_random_baseline,anchor,90,9024,0.6761800994873047,0.5845000147819519,0.6129004955291748,789,214,617,380,0.31378990411758423,-0.4047273099422455
clean_random_baseline,anchor,95,9504,0.6661152954101562,0.6010000109672546,0.632915735244751,736,267,531,466,0.41071853041648865,-0.293653666973114
clean_random_baseline,anchor,100,10000,0.6634112615585327,0.5960000157356262,0.6412147879600525,490,513,295,702,0.542604923248291,-0.22575095295906067
anchor_then_counterexample_tail,anchor,5,512,0.7217350478172302,0.5130000114440918,0.5063215494155884,555,448,526,471,0.01856309175491333,-0.7032502889633179
anchor_then_counterexample_tail,anchor,10,1024,0.7179119415283203,0.5019999742507935,0.5199877023696899,323,680,316,681,0.16011911630630493,-0.49356895685195923
