condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.843954833984375,0.5145000219345093,0.5126866102218628,524,479,492,505,1.205934762954712,0.9115387201309204
clean_random_baseline,counterexample_tail,10,1024,0.9971612482070923,0.5099999904632568,0.5343937873840332,903,100,880,117,-0.8654428720474243,-2.4903621673583984
clean_random_baseline,anchor,15,1504,1.0343573260307313,0.512499988079071,0.5101770758628845,216,787,188,809,3.0051655769348145,1.036874532699585
clean_random_baseline,anchor,20,2016,1.0583939971923828,0.5189999938011169,0.5254402160644531,770,233,729,268,1.261014461517334,2.482295513153076
clean_random_baseline,anchor,25,2528,0.9566028289794922,0.5170000195503235,0.5124745965003967,399,604,362,635,2.1673266887664795,1.4313127994537354
clean_random_baseline,anchor,30,3008,0.9829616208076477,0.4984999895095825,0.4909239113330841,717,286,717,280,-1.5635420083999634,-4.469512939453125
clean_random_baseline,anchor,35,3520,1.1281534271240234,0.5105000138282776,0.5020459890365601,236,767,212,785,2.609550714492798,-0.17491808533668518
clean_random_baseline,anchor,40,4000,0.9673471593856812,0.5134999752044678,0.5130351185798645,452,551,422,575,1.6008610725402832,3.4262874126434326
clean_random_baseline,anchor,45,4512,1.0830247106552124,0.49950000643730164,0.5044910311698914,210,793,208,789,0.451641708612442,4.760398864746094
clean_random_baseline,anchor,50,5024,0.934317575454712,0.5224999785423279,0.5247167348861694,465,538,417,580,0.032455503940582275,-0.45907849073410034
clean_random_baseline,anchor,55,5504,0.8782573757171631,0.5270000100135803,0.5316197872161865,690,313,633,364,0.572678804397583,-0.9026226997375488
clean_random_baseline,anchor,60,6016,1.435180048942566,0.5109999775886536,0.5023810267448425,74,929,49,948,2.59482479095459,4.114211082458496
clean_random_baseline,anchor,65,6528,1.1301512899398805,0.5195000171661377,0.528272271156311,918,85,876,121,-1.0545644760131836,-0.5490251779556274
clean_random_baseline,anchor,70,7008,1.4192108583450318,0.49950000643730164,0.5245851874351501,919,84,917,80,-1.178574562072754,-3.559490203857422
clean_random_baseline,anchor,75,7520,1.0566175193786622,0.49000000953674316,0.5151381492614746,534,469,551,446,-0.11646533012390137,-3.1065802574157715
clean_random_baseline,counterexample_tail,80,8000,1.2733230333328247,0.5009999871253967,0.5075305700302124,189,814,184,813,3.501577854156494,-1.4457645416259766
clean_random_baseline,anchor,85,8512,1.0782772035598756,0.5055000185966492,0.5371743440628052,817,186,803,194,2.526477098464966,-2.221125602722168
clean_random_baseline,anchor,90,9024,0.9713417224884033,0.5019999742507935,0.4999699592590332,628,375,621,376,2.48197865486145,1.0528440475463867
clean_random_baseline,anchor,95,9504,0.9768211221694947,0.5019999742507935,0.501118004322052,399,604,392,605,0.4217272996902466,3.737079620361328
clean_random_baseline,anchor,100,10000,0.872774552822113,0.5184999704360962,0.5130141377449036,460,543,420,577,2.540081024169922,0.6844012141227722
anchor_then_counterexample_tail,anchor,5,512,0.9065703253746032,0.5009999871253967,0.49965745210647583,830,173,825,172,-0.28577858209609985,0.7630614638328552
anchor_then_counterexample_tail,anchor,10,1024,1.0174154272079468,0.5214999914169312,0.538105845451355,895,108,849,148,-0.9146680235862732,-2.212599515914917
anchor_then_counterexample_tail,anchor,15,1504,1.0567051410675048,0.5174999833106995,0.5218976736068726,218,785,180,817,3.2294132709503174,1.1930756568908691
anchor_then_counterexample_tail,anchor,20,2016,1.121141248703003,0.5099999904632568,0.5153226256370544,840,163,817,180,-0.8122259378433228,0.5516151189804077
anchor_then_counterexample_tail,anchor,25,2528,0.9440633261203766,0.5295000076293945,0.5151321887969971,458,545,396,601,-1.572378396987915,1.4518314599990845
anchor_then_counterexample_tail,anchor,30,3008,1.0935213413238525,0.5055000185966492,0.5014845132827759,182,821,168,829,2.5152957439422607,2.7406935691833496
anchor_then_counterexample_tail,anchor,35,3520,1.239664484977722,0.5090000033378601,0.5237747430801392,157,846,136,861,4.52794885635376,2.244086742401123
anchor_then_counterexample_tail,anchor,40,4000,1.1086351356506348,0.5180000066757202,0.523151695728302,429,574,390,607,4.933813095092773,1.0226619243621826
anchor_then_counterexample_tail,anchor,45,4512,0.9027768774032593,0.5139999985694885,0.5053095817565918,603,400,572,425,0.03507339954376221,0.2294042557477951
