condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.7147834000587463,0.5149999856948853,0.5141446590423584,610,393,577,420,0.23015546798706055,-0.6371347904205322
clean_random_baseline,counterexample_tail,10,1024,0.7437539491653442,0.5019999742507935,0.525897741317749,927,76,920,77,-0.08187097311019897,-0.9420852661132812
clean_random_baseline,anchor,15,1504,0.7208017330169678,0.5139999985694885,0.5338647961616516,947,56,916,81,-0.13468992710113525,-0.507111668586731
clean_random_baseline,anchor,20,2016,0.6962724819183349,0.5400000214576721,0.5439188480377197,764,239,681,316,0.09558361768722534,-0.19531293213367462
clean_random_baseline,anchor,25,2528,0.696223274230957,0.5249999761581421,0.5303877592086792,471,532,418,579,0.4945557117462158,0.04668740555644035
clean_random_baseline,anchor,30,3008,0.6969153308868408,0.5394999980926514,0.5375938415527344,675,328,593,404,0.29128068685531616,-0.3565828204154968
clean_random_baseline,anchor,35,3520,0.704801682472229,0.5270000100135803,0.536362886428833,204,799,147,850,0.8034594058990479,0.25101277232170105
clean_random_baseline,anchor,40,4000,0.6930357742309571,0.5274999737739563,0.539142370223999,534,469,476,521,0.2292444109916687,0.12972122430801392
clean_random_baseline,anchor,45,4512,0.7236034784317017,0.5040000081062317,0.5390568971633911,48,955,37,960,0.666698157787323,0.5121065378189087
clean_random_baseline,anchor,50,5024,0.7143179998397827,0.5120000243186951,0.5498899221420288,78,925,51,946,0.6169233918190002,0.5676319599151611
clean_random_baseline,anchor,55,5504,0.6920122785568237,0.5364999771118164,0.5527949333190918,697,306,621,376,0.2846418023109436,0.06454060226678848
clean_random_baseline,anchor,60,6016,0.7076329746246338,0.5180000066757202,0.5429294109344482,143,860,104,893,0.49742069840431213,0.5436108112335205
clean_random_baseline,anchor,65,6528,0.7058919219970703,0.5214999914169312,0.5523539781570435,892,111,846,151,0.122222900390625,-0.11263051629066467
clean_random_baseline,anchor,70,7008,0.69585151720047,0.5285000205039978,0.5434648990631104,591,412,531,466,0.22884714603424072,0.041087523102760315
clean_random_baseline,anchor,75,7520,0.704492395401001,0.527999997138977,0.5405858755111694,276,727,217,780,0.4617732763290405,0.010060284286737442
clean_random_baseline,counterexample_tail,80,8000,0.7124179039001465,0.5090000033378601,0.5393798351287842,181,822,160,837,0.6356288194656372,0.08420874178409576
clean_random_baseline,anchor,85,8512,0.6986612229347229,0.531000018119812,0.5564500093460083,795,208,730,267,0.3927087187767029,-0.4464198350906372
clean_random_baseline,anchor,90,9024,0.694603196144104,0.5304999947547913,0.5446234345436096,472,531,408,589,0.8051370978355408,0.07513729482889175
clean_random_baseline,anchor,95,9504,0.7048831591606141,0.5270000100135803,0.5509129762649536,806,197,749,248,0.4079561233520508,-0.17242075502872467
clean_random_baseline,anchor,100,10000,0.6996979084014893,0.5304999947547913,0.5396888256072998,398,605,334,663,1.0953397750854492,0.2786671221256256
anchor_then_counterexample_tail,anchor,5,512,0.7239103097915649,0.48750001192092896,0.502590537071228,249,754,271,726,0.22107481956481934,-0.2082396149635315
anchor_then_counterexample_tail,anchor,10,1024,0.7121801285743713,0.48899999260902405,0.515342652797699,257,746,276,721,0.25215381383895874,-0.19304800033569336
anchor_then_counterexample_tail,anchor,15,1504,0.6990980486869812,0.5289999842643738,0.5240746736526489,576,427,515,482,0.3363878130912781,-0.2361236810684204
anchor_then_counterexample_tail,anchor,20,2016,0.7020750961303711,0.5270000100135803,0.5269047617912292,719,284,662,335,0.19406116008758545,-0.2098451852798462
anchor_then_counterexample_tail,anchor,25,2528,0.6952939515113831,0.5329999923706055,0.5400018095970154,593,410,524,473,0.2416662573814392,0.04289800673723221
anchor_then_counterexample_tail,anchor,30,3008,0.7052671546936036,0.5149999856948853,0.5167906284332275,332,671,299,698,0.7206346988677979,0.419381320476532
anchor_then_counterexample_tail,anchor,35,3520,0.7298510975837708,0.5149999856948853,0.5276617407798767,103,900,70,927,1.0643017292022705,0.705803632736206
anchor_then_counterexample_tail,anchor,40,4000,0.7020914602279663,0.5105000138282776,0.5233767032623291,311,692,287,710,0.80149245262146,0.5953563451766968
