condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,5024,0.6590311343193054,0.5726000070571899,0.7569996118545532,4949,96,4178,777,-1.6490576267242432,-1.7112360000610352
clean_random_baseline,anchor,10,10016,0.5760582260131836,0.727400004863739,0.8039644360542297,3622,1423,1303,3652,-1.0695381164550781,-1.4554650783538818
clean_random_baseline,anchor,15,15008,0.516729698753357,0.7544000148773193,0.8397106528282166,3599,1446,1010,3945,2.7316980361938477,-8.832450866699219
clean_random_baseline,anchor,20,20000,0.5014892705917359,0.7847999930381775,0.863562822341919,3934,1111,1041,3914,7.014795303344727,-11.782297134399414
clean_random_baseline,anchor,25,25024,0.5462158400535584,0.7378000020980835,0.8689067363739014,2843,2202,420,4535,21.50045394897461,-13.694639205932617
clean_random_baseline,anchor,30,30016,0.43794358644485476,0.8050000071525574,0.8842534422874451,4250,795,1155,3800,20.08913803100586,-23.966121673583984
clean_random_baseline,anchor,35,35008,0.46264934644699096,0.8011999726295471,0.8846791982650757,3858,1187,801,4154,38.33441162109375,-25.77545166015625
clean_random_baseline,anchor,40,40000,0.4387200032234192,0.79830002784729,0.89276123046875,4636,409,1608,3347,25.32811737060547,-37.617828369140625
clean_random_baseline,anchor,45,45024,0.44203054733276365,0.8144000172615051,0.8990013003349304,4030,1015,841,4114,16.047853469848633,-33.60338592529297
clean_random_baseline,anchor,50,50016,0.3975025782108307,0.8223000168800354,0.9041427373886108,4300,745,1032,3923,54.70286560058594,-45.40309143066406
clean_random_baseline,anchor,55,55008,0.3903309982776642,0.8256999850273132,0.9117387533187866,4476,569,1174,3781,53.48136520385742,-49.59349060058594
clean_random_baseline,anchor,60,60000,0.43014341354370117,0.7903000116348267,0.9099812507629395,4813,232,1865,3090,64.81905364990234,-51.33967590332031
clean_random_baseline,anchor,65,65024,0.42156687865257264,0.8093000054359436,0.9137609004974365,3586,1459,448,4507,98.09878540039062,-44.132896423339844
clean_random_baseline,anchor,70,70016,0.4753135704994202,0.8046000003814697,0.8948286771774292,3761,1284,670,4285,8.076923370361328,-50.82160949707031
clean_random_baseline,anchor,75,75008,0.3970437523365021,0.8222000002861023,0.9183192253112793,4679,366,1412,3543,74.42251586914062,-49.45058822631836
clean_random_baseline,anchor,80,80000,0.36537023401260377,0.8378000259399414,0.9260855317115784,4637,408,1214,3741,83.58259582519531,-69.68814086914062
clean_random_baseline,anchor,85,85024,0.3967977397441864,0.8398000001907349,0.9239638447761536,4081,964,638,4317,96.19111633300781,-59.835453033447266
clean_random_baseline,anchor,90,90016,0.34721560616493224,0.8485000133514404,0.9281901717185974,4394,651,864,4091,94.42170715332031,-89.5556640625
clean_random_baseline,counterexample_tail,95,95008,0.37237305636405943,0.8356000185012817,0.9272218942642212,3879,1166,478,4477,82.5108871459961,-108.31410217285156
clean_random_baseline,anchor,100,100000,0.3555948443412781,0.8489000201225281,0.928361177444458,4240,805,706,4249,74.51095581054688,-98.82228088378906
anchor_then_counterexample_tail,anchor,5,5024,0.6666703458786011,0.5983999967575073,0.7481170892715454,4860,185,3831,1124,0.30553507804870605,-2.220409631729126
anchor_then_counterexample_tail,anchor,10,10016,0.5600729187965393,0.7064999938011169,0.8090869188308716,4479,566,2369,2586,1.4138139486312866,-2.7486042976379395
anchor_then_counterexample_tail,anchor,15,15008,0.5774880652427673,0.7325000166893005,0.8306726813316345,4470,575,2100,2855,-0.6248054504394531,-15.976356506347656
anchor_then_counterexample_tail,anchor,20,20000,0.5046117167472839,0.7519999742507935,0.8675774335861206,3128,1917,563,4392,18.046825408935547,-12.606623649597168
anchor_then_counterexample_tail,anchor,25,25024,0.4571896151065826,0.8022000193595886,0.8831431865692139,4028,1017,961,3994,52.54642868041992,-28.728342056274414
anchor_then_counterexample_tail,anchor,30,30016,0.4434026347160339,0.8105999827384949,0.8897368907928467,4037,1008,886,4069,66.55976867675781,-26.384979248046875
anchor_then_counterexample_tail,anchor,35,35008,0.413113018655777,0.8151000142097473,0.8971620202064514,4351,694,1155,3800,71.32749938964844,-46.20173263549805
anchor_then_counterexample_tail,anchor,40,40000,0.4022495379924774,0.823199987411499,0.9048126935958862,4202,843,925,4030,86.24015808105469,-42.8570556640625
anchor_then_counterexample_tail,anchor,45,45024,0.3929548280239105,0.8271999955177307,0.9090358018875122,4307,738,990,3965,97.28173065185547,-45.40912628173828
anchor_then_counterexample_tail,anchor,50,50016,0.38239791278839114,0.8352000117301941,0.9154446125030518,4496,549,1099,3856,109.60069274902344,-51.35944747924805
anchor_then_counterexample_tail,anchor,55,55008,0.3921215039730072,0.8343999981880188,0.9127650856971741,4311,734,922,4033,119.35108947753906,-38.57115936279297
anchor_then_counterexample_tail,anchor,60,60000,0.38384356470108033,0.8334000110626221,0.9193675518035889,3959,1086,580,4375,124.39013671875,-67.39834594726562
anchor_then_counterexample_tail,anchor,65,65024,0.4158062198638916,0.8180000185966492,0.9213860034942627,3622,1423,397,4558,163.72959899902344,-61.163970947265625
anchor_then_counterexample_tail,anchor,70,70016,0.38362786474227906,0.8324000239372253,0.918242335319519,3972,1073,603,4352,115.1589126586914,-98.43756103515625
anchor_then_counterexample_tail,anchor,75,75008,0.3494897102355957,0.8513000011444092,0.9280876517295837,4384,661,826,4129,160.08474731445312,-126.5176010131836
