condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,5024,0.691435964012146,0.4993000030517578,0.6244128942489624,105,4940,67,4888,0.2450200468301773,0.11827732622623444
clean_random_baseline,anchor,10,10016,0.6899144345283509,0.4966000020503998,0.6591988801956177,35,5010,24,4931,0.3576767146587372,0.14572371542453766
clean_random_baseline,anchor,15,15008,0.6851191378593445,0.5479000210762024,0.6789827346801758,814,4231,290,4665,0.4059489369392395,0.07918055355548859
clean_random_baseline,anchor,20,20000,0.6766279937744141,0.6378999948501587,0.6984014511108398,3940,1105,2516,2439,0.3591907024383545,-0.09991086274385452
clean_random_baseline,anchor,25,25024,0.6601868925094605,0.6485000252723694,0.7141947150230408,2766,2279,1236,3719,0.6387909650802612,-0.25677067041397095
clean_random_baseline,anchor,30,30016,0.6372487939834595,0.670199990272522,0.7301396727561951,3482,1563,1735,3220,0.57435142993927,-0.8023536801338196
clean_random_baseline,anchor,35,35008,0.6169846502304077,0.6765999794006348,0.7436370849609375,3100,1945,1289,3666,0.8034507036209106,-1.4924250841140747
clean_random_baseline,anchor,40,40000,0.6046480979919434,0.6744999885559082,0.755565881729126,4159,886,2369,2586,0.4984317123889923,-2.2010622024536133
clean_random_baseline,anchor,45,45024,0.5937301889419556,0.6912000179290771,0.7649317383766174,4000,1045,2043,2912,0.21489217877388,-2.796337366104126
clean_random_baseline,anchor,50,50016,0.6171075655937195,0.6474000215530396,0.7692223787307739,2061,2984,542,4413,1.4306068420410156,-2.8310203552246094
clean_random_baseline,anchor,55,55008,0.5812839164733886,0.7049000263214111,0.7781319618225098,3320,1725,1226,3729,1.0294699668884277,-3.0511608123779297
clean_random_baseline,anchor,60,60000,0.5842871333122254,0.6868000030517578,0.7841197848320007,4407,638,2494,2461,0.47934138774871826,-3.3850975036621094
clean_random_baseline,anchor,65,65024,0.5808777097702026,0.6967999935150146,0.7887025475502014,2886,2159,873,4082,1.6409852504730225,-2.958646774291992
clean_random_baseline,anchor,70,70016,0.5711915172576905,0.7053999900817871,0.7960799932479858,4368,677,2269,2686,2.189882755279541,-3.589132308959961
clean_random_baseline,anchor,75,75008,0.5574906832695007,0.7275999784469604,0.800263524055481,3572,1473,1251,3704,2.079279899597168,-3.686575412750244
clean_random_baseline,anchor,80,80000,0.5611830487251281,0.7069000005722046,0.8064367771148682,4448,597,2334,2621,1.3219056129455566,-5.067466735839844
