condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,5024,0.6867859644889831,0.5479999780654907,0.5799887776374817,2107,2938,1582,3373,-0.1229260265827179,-0.6370006799697876
clean_random_baseline,anchor,10,10016,0.5761444849014282,0.7134000062942505,0.7694673538208008,3709,1336,1530,3425,0.718266487121582,-0.32509931921958923
clean_random_baseline,anchor,15,15008,0.6845455945968628,0.5803999900817871,0.6422746181488037,1787,3258,938,4017,0.5169988870620728,-0.16684862971305847
clean_random_baseline,anchor,20,20000,0.5820716298103332,0.6988999843597412,0.7636047601699829,3494,1551,1460,3495,0.10395926237106323,-0.03009796142578125
clean_random_baseline,anchor,25,25024,0.567188966846466,0.7092999815940857,0.7772966027259827,3545,1500,1407,3548,1.0445622205734253,-0.6869343519210815
clean_random_baseline,anchor,30,30016,0.4884820161819458,0.7694000005722046,0.8487928509712219,3729,1316,990,3965,0.835726797580719,-0.9122579097747803
clean_random_baseline,anchor,35,35008,0.49869280681610106,0.7620999813079834,0.8453657627105713,3389,1656,723,4232,-0.3369371294975281,-1.4214202165603638
clean_random_baseline,anchor,40,40000,0.4817260132789612,0.7688000202178955,0.8813278675079346,4724,321,1991,2964,0.24119932949543,-0.7531166076660156
clean_random_baseline,anchor,45,45024,0.4082302661895752,0.8147000074386597,0.8966100215911865,3966,1079,774,4181,1.6457009315490723,-1.202122688293457
clean_random_baseline,anchor,50,50016,0.4233567918777466,0.8059999942779541,0.8863418698310852,4104,941,999,3956,2.394155502319336,-0.3310994505882263
clean_random_baseline,anchor,55,55008,0.49123833494186403,0.7620000243186951,0.9030091762542725,2928,2117,263,4692,1.714921236038208,-0.18651026487350464
clean_random_baseline,anchor,60,60000,0.41309080286026,0.8133999705314636,0.8966191411018372,4306,739,1127,3828,2.831564426422119,-1.0813649892807007
clean_random_baseline,anchor,65,65024,0.3903451900005341,0.8227999806404114,0.906867265701294,4149,896,876,4079,1.782205581665039,-1.389432668685913
clean_random_baseline,anchor,70,70016,0.37317844834327696,0.8278999924659729,0.9135206937789917,4230,815,906,4049,1.4727771282196045,-1.8537664413452148
clean_random_baseline,anchor,75,75008,0.39782745852470397,0.8270000219345093,0.9188214540481567,4658,387,1343,3612,1.2678685188293457,-2.6064696311950684
clean_random_baseline,anchor,80,80000,0.40336901111602785,0.824999988079071,0.915237545967102,3781,1264,486,4469,1.8017210960388184,-0.9984771013259888
clean_random_baseline,anchor,85,85024,0.421180855512619,0.8058000206947327,0.9090784788131714,4701,344,1598,3357,1.8275551795959473,-2.0696210861206055
clean_random_baseline,anchor,90,90016,0.38167433848381044,0.8273000121116638,0.9201982617378235,4652,393,1334,3621,2.316920757293701,-1.981205701828003
clean_random_baseline,counterexample_tail,95,95008,0.3554385591030121,0.8391000032424927,0.9243848323822021,4129,916,693,4262,2.3254032135009766,-1.9714734554290771
clean_random_baseline,anchor,100,100000,0.3801918524265289,0.8300999999046326,0.9156687259674072,4233,812,887,4068,1.82798171043396,-1.549627423286438
anchor_then_counterexample_tail,anchor,5,5024,0.7364839464187622,0.5550000071525574,0.6286855340003967,4638,407,4043,912,0.19576987624168396,-0.2524695098400116
anchor_then_counterexample_tail,anchor,10,10016,0.6495784022331238,0.6687999963760376,0.7602953910827637,2186,2859,453,4502,0.7307233810424805,-0.1287994086742401
anchor_then_counterexample_tail,anchor,15,15008,0.5824019415855408,0.7053999900817871,0.7806485891342163,3889,1156,1790,3165,-0.9271315336227417,-1.9625428915023804
anchor_then_counterexample_tail,anchor,20,20000,0.5590218130111695,0.7110999822616577,0.8009708523750305,2972,2073,816,4139,0.6188281774520874,-0.3379623591899872
anchor_then_counterexample_tail,anchor,25,25024,0.4678412463188171,0.7907999753952026,0.860783576965332,3927,1118,974,3981,0.7273766994476318,-1.8795311450958252
anchor_then_counterexample_tail,anchor,30,30016,0.46413198590278626,0.798799991607666,0.8736371994018555,3748,1297,715,4240,1.6850488185882568,-2.2576448917388916
anchor_then_counterexample_tail,anchor,35,35008,0.47107154054641726,0.7912999987602234,0.8908538818359375,3471,1574,513,4442,2.1395888328552246,-1.3871188163757324
anchor_then_counterexample_tail,anchor,40,40000,0.4099820210933685,0.8147000074386597,0.8953933715820312,4159,886,967,3988,0.9138902425765991,-2.5585641860961914
anchor_then_counterexample_tail,anchor,45,45024,0.4075885405063629,0.8170999884605408,0.900691032409668,4443,602,1227,3728,1.7460882663726807,-3.348440647125244
anchor_then_counterexample_tail,anchor,50,50016,0.5243298943519592,0.7870000004768372,0.8887045383453369,4656,389,1741,3214,2.5915277004241943,-3.54848313331604
anchor_then_counterexample_tail,anchor,55,55008,0.43455423226356504,0.8062999844551086,0.8926607370376587,3861,1184,753,4202,2.179295539855957,-1.3748345375061035
