condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,5024,0.5898101790428162,0.6696000099182129,0.7797994017601013,4414,631,2673,2282,-0.7451622486114502,-0.2466806173324585
clean_random_baseline,anchor,10,10016,0.4639669683456421,0.7803999781608582,0.8734766244888306,3570,1475,721,4234,-1.1512128114700317,-2.219036817550659
clean_random_baseline,anchor,15,15008,0.4038609236240387,0.817300021648407,0.9055578708648682,3915,1130,697,4258,0.4068880081176758,-3.1870641708374023
clean_random_baseline,anchor,20,20000,0.39090785584449766,0.8216999769210815,0.9195605516433716,4619,426,1357,3598,1.5359842777252197,-3.367727518081665
clean_random_baseline,anchor,25,25024,0.3504976707458496,0.8482999801635742,0.9276697635650635,4136,909,608,4347,2.337284564971924,-4.004117965698242
clean_random_baseline,anchor,30,30016,0.33928221940994263,0.8532000184059143,0.9329654574394226,4421,624,844,4111,2.546980857849121,-3.2949132919311523
clean_random_baseline,anchor,35,35008,0.34657885828018187,0.8518000245094299,0.9355562925338745,4005,1040,442,4513,2.5177531242370605,-3.702101469039917
clean_random_baseline,anchor,40,40000,0.3309489043235779,0.8549000024795532,0.9413741827011108,4678,367,1084,3871,2.542719841003418,-4.345385551452637
clean_random_baseline,anchor,45,45024,0.30575037069320676,0.8702999949455261,0.9446883201599121,4417,628,669,4286,3.554131269454956,-4.437783718109131
clean_random_baseline,anchor,50,50016,0.30757981929779055,0.8698999881744385,0.9475474953651428,4560,485,816,4139,2.1647555828094482,-4.093482494354248
clean_random_baseline,anchor,55,55008,0.30456409254074096,0.8730000257492065,0.948723554611206,4230,815,455,4500,2.271876573562622,-4.322509765625
clean_random_baseline,anchor,60,60000,0.3120824231624603,0.8797000050544739,0.9512636661529541,4571,474,729,4226,2.046384572982788,-4.204246997833252
clean_random_baseline,anchor,65,65024,0.29517261843681336,0.8770999908447266,0.953201174736023,4228,817,412,4543,2.621945381164551,-4.201221942901611
clean_random_baseline,anchor,70,70016,0.28395303468704225,0.8809999823570251,0.9546829462051392,4597,448,742,4213,3.2622222900390625,-4.483412742614746
clean_random_baseline,anchor,75,75008,0.30313298847675324,0.8712999820709229,0.9545149803161621,4718,327,960,3995,2.990140914916992,-4.318511962890625
clean_random_baseline,anchor,80,80000,0.2924598259449005,0.8765000104904175,0.9580029249191284,4750,295,940,4015,2.332552671432495,-4.487417697906494
clean_random_baseline,anchor,85,85024,0.28805838193893435,0.8894000053405762,0.958440899848938,4580,465,641,4314,3.030790328979492,-4.258702278137207
clean_random_baseline,anchor,90,90016,0.26035896208286285,0.8921999931335449,0.9591510891914368,4478,567,511,4444,4.0907301902771,-4.89807653427124
clean_random_baseline,counterexample_tail,95,95008,0.2718270522594452,0.8924000263214111,0.9599863886833191,4411,634,442,4513,3.3927061557769775,-4.5479536056518555
clean_random_baseline,anchor,100,100000,0.26166945128440855,0.8938999772071838,0.9609588980674744,4520,525,536,4419,2.341374397277832,-4.513322830200195
anchor_then_counterexample_tail,anchor,5,5024,0.5547740252494812,0.7059999704360962,0.8018621206283569,4130,915,2025,2930,-0.7219235897064209,-0.7676335573196411
anchor_then_counterexample_tail,anchor,10,10016,0.4186211755275726,0.8091999888420105,0.891551673412323,4060,985,923,4032,-0.25185567140579224,-3.4526610374450684
anchor_then_counterexample_tail,anchor,15,15008,0.39290516080856325,0.8234000205993652,0.9066331386566162,4353,692,1074,3881,0.02610418200492859,-3.921576976776123
anchor_then_counterexample_tail,anchor,20,20000,0.3771366176366806,0.8343999981880188,0.9207655191421509,3966,1079,577,4378,4.026066780090332,-4.259415626525879
anchor_then_counterexample_tail,anchor,25,25024,0.3491936815261841,0.8446999788284302,0.9305027723312378,4013,1032,521,4434,2.6796250343322754,-5.050559997558594
anchor_then_counterexample_tail,anchor,30,30016,0.34607801961898804,0.8522999882698059,0.9368162155151367,4028,1017,460,4495,4.474480628967285,-4.918854713439941
anchor_then_counterexample_tail,anchor,35,35008,0.3509848818063736,0.8454999923706055,0.9398912191390991,3854,1191,354,4601,2.797581672668457,-5.230533599853516
anchor_then_counterexample_tail,anchor,40,40000,0.3039593933343887,0.8700000047683716,0.9440615177154541,4480,565,735,4220,0.21748334169387817,-4.740480422973633
anchor_then_counterexample_tail,anchor,45,45024,0.29844339618682864,0.8726999759674072,0.9462134838104248,4483,562,711,4244,1.2472060918807983,-5.01365327835083
anchor_then_counterexample_tail,anchor,50,50016,0.321230829167366,0.8727999925613403,0.9469531178474426,4466,579,693,4262,1.2112336158752441,-5.56992769241333
anchor_then_counterexample_tail,anchor,55,55008,0.2967765294313431,0.873199999332428,0.947297990322113,4324,721,547,4408,2.0772478580474854,-5.359091758728027
anchor_then_counterexample_tail,anchor,60,60000,0.3198002819061279,0.8567000031471252,0.9514706134796143,3877,1168,265,4690,2.8520607948303223,-5.475318908691406
anchor_then_counterexample_tail,anchor,65,65024,0.28747082872390745,0.8759999871253967,0.9520952701568604,4247,798,442,4513,2.515860080718994,-5.584022521972656
anchor_then_counterexample_tail,anchor,70,70016,0.29031825745105744,0.8809999823570251,0.9534991979598999,4354,691,499,4456,1.4619026184082031,-5.258692264556885
anchor_then_counterexample_tail,anchor,75,75008,0.28793608541488647,0.8769000172615051,0.9543611407279968,4618,427,804,4151,1.4186122417449951,-5.272054195404053
anchor_then_counterexample_tail,anchor,80,80000,0.32764568333625793,0.8711000084877014,0.9564990401268005,4758,287,1002,3953,1.0612610578536987,-5.451541900634766
anchor_then_counterexample_tail,anchor,85,85024,0.2776927644968033,0.8784000277519226,0.9576650857925415,4183,862,354,4601,2.0828282833099365,-5.636072635650635
anchor_then_counterexample_tail,counterexample_tail,90,90016,0.26963318815231324,0.8867999911308289,0.958509087562561,4624,421,711,4244,1.3738139867782593,-5.4622368812561035
anchor_then_counterexample_tail,counterexample_tail,95,95008,0.7191518630981445,0.14730000495910645,0.06505995243787766,993,4052,4475,480,0.0041081905364990234,0.12128176540136337
anchor_then_counterexample_tail,counterexample_tail,100,100000,2.6475092098236086,0.1712000072002411,0.07408556342124939,1290,3755,4533,422,-3.714707374572754,4.009840965270996
