condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.6796511449813842,0.547,0.6614309528785759,957,46,860,137,-0.04910654202103615,-0.15515577793121338
clean_random_baseline,counterexample_tail,10,1024,0.6740983448028565,0.549,0.7172434551910967,984,19,883,114,0.00611492246389389,-0.1996949315071106
clean_random_baseline,anchor,15,1504,0.6355649242401123,0.6615,0.7499397494577451,478,525,152,845,0.14489158987998962,-0.1619916558265686
clean_random_baseline,anchor,20,2016,0.6104555501937866,0.702,0.7765979893819045,751,252,344,653,0.17395931482315063,-0.2298402488231659
clean_random_baseline,anchor,25,2528,0.5923962621688843,0.718,0.7945571510143591,809,194,370,627,0.21673698723316193,-0.2289496809244156
clean_random_baseline,anchor,30,3008,0.5844371042251587,0.6945,0.8059102531922788,891,112,499,498,0.22972789406776428,-0.2703770399093628
clean_random_baseline,anchor,35,3520,0.5559178948402405,0.7305,0.8169768527916752,786,217,322,675,0.35500234365463257,-0.32057374715805054
clean_random_baseline,anchor,40,4000,0.5557378797531128,0.714,0.8258344325098926,569,434,138,859,0.4336451292037964,-0.35011979937553406
clean_random_baseline,anchor,45,4512,0.5687508745193481,0.6845,0.8334645011805106,447,556,75,922,0.5457428097724915,-0.36082759499549866
clean_random_baseline,anchor,50,5024,0.5722335529327393,0.6805,0.8424205817852362,420,583,56,941,0.6237549781799316,-0.4163799583911896
clean_random_baseline,anchor,55,5504,0.5079758758544922,0.769,0.8534456810111292,727,276,186,811,0.668877363204956,-0.5376125574111938
clean_random_baseline,anchor,60,6016,0.5014765629768372,0.766,0.8617307555768001,684,319,149,848,0.8099564909934998,-0.6047419309616089
clean_random_baseline,anchor,65,6528,0.4815102698802948,0.784,0.8702768324914925,764,239,193,804,0.9158910512924194,-0.6712327599525452
clean_random_baseline,anchor,70,7008,0.47452010345458984,0.794,0.8732448592037328,792,211,201,796,0.9888738393783569,-0.6634405851364136
clean_random_baseline,anchor,75,7520,0.467694845199585,0.7965,0.8775478979310813,777,226,181,816,1.032651662826538,-0.6709688901901245
clean_random_baseline,counterexample_tail,80,8000,0.5616892318725586,0.6935,0.8796019164172477,423,580,33,964,1.221690058708191,-0.6553894877433777
clean_random_baseline,anchor,85,8512,0.47179292821884156,0.7715,0.8843139588256295,647,356,101,896,1.2397801876068115,-0.7441716194152832
clean_random_baseline,anchor,90,9024,0.44960507392883303,0.793,0.8879939919459275,729,274,140,857,1.2791391611099243,-0.7941805720329285
clean_random_baseline,anchor,95,9504,0.43235755920410157,0.805,0.8930480374323368,837,166,224,773,1.424497365951538,-0.8177032470703125
clean_random_baseline,anchor,100,10000,0.4432202191352844,0.797,0.8965030685276169,701,302,104,893,1.6222851276397705,-0.7679340243339539
anchor_then_counterexample_tail,anchor,5,512,0.6719788537025452,0.5755,0.669210022890206,919,84,765,232,0.03175809234380722,-0.14435788989067078
anchor_then_counterexample_tail,anchor,10,1024,0.6396558437347412,0.6635,0.721961497653479,631,372,301,696,0.16488796472549438,-0.12989720702171326
anchor_then_counterexample_tail,anchor,15,1504,0.6182043218612671,0.6805,0.7508827579448216,638,365,274,723,0.23001956939697266,-0.16902588307857513
anchor_then_counterexample_tail,anchor,20,2016,0.6005386190414429,0.69,0.7703099327893951,833,170,450,547,0.2901034355163574,-0.2117413580417633
anchor_then_counterexample_tail,anchor,25,2528,0.581387574672699,0.7105,0.7889721007489067,634,369,210,787,0.3968599736690521,-0.22982148826122284
anchor_then_counterexample_tail,anchor,30,3008,0.6113998994827271,0.638,0.8036332326990943,343,660,64,933,0.5692005157470703,-0.24181623756885529
anchor_then_counterexample_tail,anchor,35,3520,0.540296498298645,0.7265,0.8160353443180989,804,199,348,649,0.5988692045211792,-0.35095101594924927
anchor_then_counterexample_tail,anchor,40,4000,0.6018150420188904,0.659,0.8263124368119313,371,632,50,947,0.7573781609535217,-0.3251250982284546
anchor_then_counterexample_tail,anchor,45,4512,0.5254235143661499,0.738,0.8358285224567021,632,371,153,844,0.8413482904434204,-0.3905015289783478
anchor_then_counterexample_tail,anchor,50,5024,0.4998303737640381,0.7505,0.8403105627950652,762,241,258,739,0.9279297590255737,-0.455578476190567
anchor_then_counterexample_tail,anchor,55,5504,0.5001147842407226,0.7555,0.8442875985883873,693,310,179,818,1.0538606643676758,-0.5018562078475952
anchor_then_counterexample_tail,anchor,60,6016,0.5063305215835572,0.749,0.8489586406277656,636,367,135,862,1.1397143602371216,-0.525522768497467
anchor_then_counterexample_tail,anchor,65,6528,0.48942957735061643,0.7645,0.8574287168584518,675,328,143,854,1.2389426231384277,-0.5590113401412964
anchor_then_counterexample_tail,anchor,70,7008,0.4639287972450256,0.78,0.8660117941061469,775,228,212,785,1.2672226428985596,-0.6623148918151855
anchor_then_counterexample_tail,anchor,75,7520,0.4718038611412048,0.7675,0.8721668495016455,904,99,366,631,1.3240059614181519,-0.7764203548431396
anchor_then_counterexample_tail,anchor,80,8000,0.4619779200553894,0.7765,0.8764518880669926,896,107,340,657,1.4016578197479248,-0.7734367847442627
anchor_then_counterexample_tail,anchor,85,8512,0.43730633091926574,0.791,0.8812849315643841,814,189,229,768,1.5307645797729492,-0.7778236865997314
anchor_then_counterexample_tail,counterexample_tail,90,9024,0.4338115060329437,0.799,0.8861869756827813,874,129,273,724,1.5909180641174316,-0.8553034067153931
anchor_then_counterexample_tail,counterexample_tail,95,9504,0.4388604118824005,0.81,0.8926100334903013,815,188,192,805,1.3923110961914062,-0.8355741500854492
anchor_then_counterexample_tail,counterexample_tail,100,10000,0.5121443564891816,0.758,0.841568574117167,708,295,189,808,1.123390793800354,-0.8783034086227417
