condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.6797094306945801,0.547,0.6614174527570749,957,46,860,137,-0.04906071722507477,-0.1552094966173172
clean_random_baseline,counterexample_tail,10,1024,0.6741742973327637,0.5495,0.7171469543225888,984,19,882,115,0.006323561072349548,-0.19943660497665405
clean_random_baseline,anchor,15,1504,0.6357179260253907,0.6595,0.7497797480177322,472,531,150,847,0.14516210556030273,-0.16236066818237305
clean_random_baseline,anchor,20,2016,0.6105551500320434,0.702,0.776555989003901,754,249,347,650,0.17277394235134125,-0.23179562389850616
clean_random_baseline,anchor,25,2528,0.5928544220924378,0.7125,0.7939421454793093,803,200,375,622,0.21257689595222473,-0.2294594943523407
clean_random_baseline,anchor,30,3008,0.5846977844238281,0.693,0.8056397507577568,890,113,501,496,0.2245468944311142,-0.27635687589645386
clean_random_baseline,anchor,35,3520,0.5563411879539489,0.7315,0.8169658526926742,781,222,315,682,0.350521981716156,-0.3266875445842743
clean_random_baseline,anchor,40,4000,0.5549141368865966,0.7175,0.8264484380359423,581,422,143,854,0.42325109243392944,-0.3505210280418396
clean_random_baseline,anchor,45,4512,0.5680217847824097,0.6835,0.8339455055095497,448,555,78,919,0.5405523777008057,-0.35484564304351807
clean_random_baseline,anchor,50,5024,0.5722605600357056,0.681,0.8423595812362311,420,583,55,942,0.6324732303619385,-0.39522188901901245
clean_random_baseline,anchor,55,5504,0.5088003101348877,0.768,0.8530406773660962,726,277,187,810,0.6838991045951843,-0.5153704881668091
clean_random_baseline,anchor,60,6016,0.5032096118927002,0.764,0.8611157500417502,672,331,141,856,0.8212447166442871,-0.5855593085289001
clean_random_baseline,anchor,65,6528,0.48226806783676146,0.786,0.8705048345435109,759,244,184,813,0.902216911315918,-0.6472652554512024
clean_random_baseline,anchor,70,7008,0.4751720776557922,0.791,0.8742638683748154,770,233,185,812,0.9706853628158569,-0.6361462473869324
clean_random_baseline,anchor,75,7520,0.46842224383354186,0.7945,0.8783269049421445,765,238,173,824,1.023705005645752,-0.6383845210075378
clean_random_baseline,counterexample_tail,80,8000,0.5628055682182312,0.6945,0.8792859135732223,423,580,31,966,1.2139030694961548,-0.6094179153442383
clean_random_baseline,anchor,85,8512,0.4719981603622437,0.7785,0.8845169606526458,656,347,96,901,1.2385988235473633,-0.6999651789665222
clean_random_baseline,anchor,90,9024,0.45117117881774904,0.799,0.8878579907219164,731,272,130,867,1.2987079620361328,-0.7566490173339844
clean_random_baseline,anchor,95,9504,0.4335709888935089,0.802,0.8926710340393064,830,173,223,774,1.4496433734893799,-0.7957991361618042
clean_random_baseline,anchor,100,10000,0.4428023452758789,0.7965,0.8959410634695713,703,300,107,890,1.6321542263031006,-0.7546911239624023
