condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,1.2830439624786376,0.5015,0.6173490561415053,1003,0,997,0,-0.28560584783554077,-0.22575494647026062
clean_random_baseline,counterexample_tail,10,1024,1.874420910835266,0.4985,0.4894014046126415,0,1003,0,997,0.263692706823349,0.20181991159915924
clean_random_baseline,anchor,15,1504,3.0045942611694336,0.5015,0.5856157705419349,1003,0,997,0,-0.5328694581985474,-0.4300585091114044
clean_random_baseline,anchor,20,2016,1.5206832313537597,0.4985,0.5139491255421299,0,1003,0,997,0.2503117322921753,0.13531996309757233
clean_random_baseline,anchor,25,2528,1.0608861222267152,0.4985,0.5630260672346051,0,1003,0,997,0.21541465818881989,0.06742650270462036
clean_random_baseline,anchor,30,3008,1.0829668045043945,0.502,0.6509198582787246,1003,0,996,1,-0.060798078775405884,-0.10621942579746246
clean_random_baseline,anchor,35,3520,0.6567298059463501,0.589,0.7470912238210143,974,29,793,204,0.10732246190309525,-0.008626626804471016
clean_random_baseline,anchor,40,4000,0.7593442592620849,0.5225,0.7276025484229358,1000,3,952,45,0.11432425677776337,-0.03189127519726753
clean_random_baseline,anchor,45,4512,0.6221976442337036,0.654,0.7728899560096041,951,52,640,357,0.21165674924850464,0.003019731491804123
clean_random_baseline,anchor,50,5024,1.0037148571014405,0.5,0.748050732456592,3,1000,0,997,0.4302111864089966,0.10419031977653503
clean_random_baseline,anchor,55,5504,0.5766765351295471,0.715,0.7925351328161954,789,214,356,641,0.37972673773765564,0.01805291324853897
clean_random_baseline,anchor,60,6016,1.020302351951599,0.5,0.7765149886348978,3,1000,0,997,0.6335240602493286,0.07383239269256592
clean_random_baseline,anchor,65,6528,0.5742167949676513,0.6975,0.8123733113598022,532,471,134,863,0.511789083480835,-0.029149021953344345
clean_random_baseline,anchor,70,7008,0.699742389202118,0.5965,0.8067972611753507,988,15,792,205,0.3274931311607361,-0.18692950904369354
clean_random_baseline,anchor,75,7520,0.5440653357505798,0.7265,0.8307734769612927,907,96,451,546,0.4169681668281555,-0.22954776883125305
clean_random_baseline,counterexample_tail,80,8000,0.5524221215248107,0.7025,0.841443572992157,506,497,98,899,0.5844101905822754,-0.20266497135162354
clean_random_baseline,anchor,85,8512,0.5999649190902709,0.648,0.8479696317266855,336,667,37,960,0.6910810470581055,-0.1941988468170166
clean_random_baseline,anchor,90,9024,0.5101781616210938,0.7465,0.8567407106663959,625,378,129,868,0.8035526275634766,-0.24520176649093628
clean_random_baseline,anchor,95,9504,0.7236813364028931,0.606,0.8438955950603554,990,13,775,222,0.7162038683891296,-0.36782002449035645
clean_random_baseline,anchor,100,10000,0.6412024192810059,0.651,0.8518556667010004,985,18,680,317,0.6982661485671997,-0.32085323333740234
anchor_then_counterexample_tail,anchor,5,512,3.9154411544799803,0.5015,0.5868872819855379,1003,0,997,0,-0.6610255241394043,-0.6671866178512573
anchor_then_counterexample_tail,anchor,10,1024,3.7597293243408205,0.4985,0.47327275945483516,0,1003,0,997,0.7668254375457764,0.5339354276657104
anchor_then_counterexample_tail,anchor,15,1504,2.1012720422744753,0.4985,0.511283601552414,0,1003,0,997,0.5206798315048218,0.2554955780506134
anchor_then_counterexample_tail,anchor,20,2016,0.6997040557861328,0.502,0.711061399552596,11,992,4,993,0.22940292954444885,0.08238688111305237
anchor_then_counterexample_tail,anchor,25,2528,0.9469607310295105,0.499,0.6738945650510855,1,1002,0,997,0.35168665647506714,0.14211682975292206
anchor_then_counterexample_tail,anchor,30,3008,1.072168897151947,0.499,0.7016343147088324,1,1002,0,997,0.4944736659526825,0.15229932963848114
anchor_then_counterexample_tail,anchor,35,3520,0.6232837762832641,0.626,0.7696789271103439,353,650,98,899,0.4217248260974884,0.06483283638954163
anchor_then_counterexample_tail,anchor,40,4000,0.6264180240631103,0.641,0.7624168617517558,960,43,675,322,0.3280176818370819,0.05016731470823288
anchor_then_counterexample_tail,anchor,45,4512,0.8701444292068481,0.562,0.7512857615718542,996,7,869,128,0.3581656217575073,0.021056488156318665
anchor_then_counterexample_tail,anchor,50,5024,0.8907087445259094,0.5105,0.7803590232312091,25,978,1,996,0.774725079536438,0.21625719964504242
anchor_then_counterexample_tail,anchor,55,5504,0.9244212803840637,0.513,0.7852160669446024,32,971,3,994,0.8018426895141602,0.18593840301036835
anchor_then_counterexample_tail,anchor,60,6016,0.5841610140800476,0.6935,0.802285220566985,507,496,117,880,0.9195541143417358,0.07516317814588547
anchor_then_counterexample_tail,anchor,65,6528,1.0394448084831238,0.508,0.8158963430670876,22,981,3,994,0.9733706712722778,0.13110849261283875
anchor_then_counterexample_tail,anchor,70,7008,1.2670471096038818,0.546,0.7935871422842805,999,4,904,93,0.42536360025405884,-0.21699103713035583
anchor_then_counterexample_tail,anchor,75,7520,0.5259778628349304,0.7355,0.8334865013785124,900,103,426,571,0.8203486800193787,-0.08245538920164108
anchor_then_counterexample_tail,anchor,80,8000,0.6630556321144104,0.63,0.8383735453619083,294,709,31,966,1.0556923151016235,0.013380290940403938
anchor_then_counterexample_tail,anchor,85,8512,0.690567910194397,0.658,0.8399185592670333,985,18,666,331,0.8119312524795532,-0.10770871490240097
anchor_then_counterexample_tail,counterexample_tail,90,9024,0.5844989190101624,0.712,0.8504166537498837,965,38,538,459,0.9038981199264526,-0.15487074851989746
anchor_then_counterexample_tail,counterexample_tail,95,9504,0.9664550967216492,0.5205,0.7858120723086508,1000,3,956,41,0.4858763813972473,-0.2454463243484497
anchor_then_counterexample_tail,counterexample_tail,100,10000,1.2946158905029297,0.5005,0.6201330811977308,11,992,7,990,0.6828255653381348,-0.09530539810657501
