condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.6918190941810608,0.5065,0.6306201755815802,1001,2,985,12,0.1721048653125763,-0.0006452649831771851
clean_random_baseline,counterexample_tail,10,1024,0.6903618755340576,0.506,0.6918552266970402,1002,1,987,10,0.18738296627998352,-0.0230751633644104
clean_random_baseline,anchor,15,1504,0.6861889252662658,0.684,0.7371876346887122,733,270,362,635,0.5246448516845703,0.1158422976732254
clean_random_baseline,anchor,20,2016,0.6852732977867126,0.5,0.7584418259764337,4,999,1,996,1.3238760232925415,0.3988233506679535
clean_random_baseline,anchor,25,2528,0.6670666198730468,0.684,0.7721519493675444,550,453,179,818,1.6553523540496826,0.2796093821525574
clean_random_baseline,anchor,30,3008,0.6477189412117005,0.668,0.7770819937379436,905,98,566,431,2.3724327087402344,0.27247941493988037
clean_random_baseline,anchor,35,3520,0.6188475561141967,0.6745,0.7899366094294848,480,523,128,869,4.724053859710693,0.6629974246025085
clean_random_baseline,anchor,40,4000,0.5877908544540406,0.727,0.8040682366141295,836,167,379,618,5.5906219482421875,-0.23152247071266174
clean_random_baseline,anchor,45,4512,0.5657325181961059,0.72,0.8134483210348893,616,387,173,824,8.002301216125488,-0.08048722892999649
clean_random_baseline,anchor,50,5024,0.537286262512207,0.737,0.8257434316908852,663,340,186,811,10.432632446289062,-1.1067836284637451
clean_random_baseline,anchor,55,5504,0.5216835398674011,0.752,0.8390515514639632,874,129,367,630,11.045791625976562,-2.803441047668457
clean_random_baseline,anchor,60,6016,0.5005431442260743,0.7775,0.8493536441827978,774,229,216,781,13.455671310424805,-3.6322107315063477
clean_random_baseline,anchor,65,6528,0.49226182651519773,0.7755,0.8579597216374948,737,266,183,814,15.091672897338867,-4.225549221038818
clean_random_baseline,anchor,70,7008,0.4863731932640076,0.776,0.8619687577188195,722,281,167,830,16.56991195678711,-4.449075698852539
clean_random_baseline,anchor,75,7520,0.47449562430381775,0.7885,0.8652917876260886,768,235,188,809,17.837932586669922,-4.792119026184082
clean_random_baseline,counterexample_tail,80,8000,0.4819328031539917,0.773,0.8697588278294505,674,329,125,872,20.479429244995117,-5.032403945922852
clean_random_baseline,anchor,85,8512,0.48543718552589415,0.7645,0.8720008480076322,916,87,384,613,18.56140899658203,-6.414549827575684
clean_random_baseline,anchor,90,9024,0.4530370736122131,0.797,0.8760593845344609,825,178,228,769,18.92847442626953,-6.579164028167725
clean_random_baseline,anchor,95,9504,0.4463701663017273,0.8085,0.879816918352265,795,208,175,822,20.50511360168457,-6.801053524017334
clean_random_baseline,anchor,100,10000,0.44169461154937745,0.804,0.8828849459645137,837,166,226,771,19.920970916748047,-6.958003997802734
anchor_then_counterexample_tail,anchor,5,512,0.6919809541702271,0.502,0.6488573397160574,1002,1,995,2,0.13833343982696533,-0.020636767148971558
anchor_then_counterexample_tail,anchor,10,1024,0.6887547726631165,0.4985,0.7189184702662323,2,1001,2,995,0.801841139793396,0.3241695761680603
anchor_then_counterexample_tail,anchor,15,1504,0.6825555057525635,0.535,0.7384341459073132,89,914,16,981,1.0908434391021729,0.3577628433704376
anchor_then_counterexample_tail,anchor,20,2016,0.6720307579040528,0.587,0.7405336648029832,961,42,784,213,1.5187994241714478,0.19778046011924744
anchor_then_counterexample_tail,anchor,25,2528,0.6523074660301208,0.603,0.7582653243879194,256,747,47,950,3.7008209228515625,0.8545184135437012
anchor_then_counterexample_tail,anchor,30,3008,0.6178938031196595,0.681,0.7806100254902294,888,115,523,474,5.025725364685059,0.3290666341781616
anchor_then_counterexample_tail,anchor,35,3520,0.584282865524292,0.7115,0.7942071478643308,654,349,228,769,8.153441429138184,0.8338391184806824
anchor_then_counterexample_tail,anchor,40,4000,0.5664841752052308,0.722,0.8057832520492685,676,327,229,768,9.871368408203125,0.6270446181297302
anchor_then_counterexample_tail,anchor,45,4512,0.545754301071167,0.73,0.8138743248689237,764,239,301,696,12.510091781616211,0.015733882784843445
anchor_then_counterexample_tail,anchor,50,5024,0.5248753881454468,0.742,0.8255304297738679,708,295,221,776,16.474571228027344,-0.5021013617515564
anchor_then_counterexample_tail,anchor,55,5504,0.5057341384887696,0.755,0.8372125349128141,735,268,222,775,19.44561004638672,-1.5947198867797852
anchor_then_counterexample_tail,anchor,60,6016,0.49956302547454834,0.7555,0.8455406098654888,697,306,183,814,22.279888153076172,-2.03141450881958
anchor_then_counterexample_tail,anchor,65,6528,0.4924573345184326,0.757,0.8523056707510368,695,308,178,819,23.517858505249023,-3.710993528366089
anchor_then_counterexample_tail,anchor,70,7008,0.47444619512557984,0.779,0.8583027247245225,800,203,239,758,23.42332649230957,-5.034804344177246
anchor_then_counterexample_tail,anchor,75,7520,0.46739312887191775,0.7815,0.8637347736129625,843,160,277,720,25.706756591796875,-5.354063034057617
anchor_then_counterexample_tail,anchor,80,8000,0.46753454875946043,0.7775,0.8687028183253651,877,126,319,678,26.61003303527832,-5.081653594970703
anchor_then_counterexample_tail,anchor,85,8512,0.45614510345458986,0.777,0.8722898506086554,737,266,180,817,30.204570770263672,-4.551611423492432
anchor_then_counterexample_tail,counterexample_tail,90,9024,0.44347674798965453,0.796,0.8772488952400572,814,189,219,778,30.908523559570312,-5.374073028564453
anchor_then_counterexample_tail,counterexample_tail,95,9504,0.4627374918460846,0.805,0.8831499483495351,830,173,217,780,20.52796173095703,-4.129659175872803
anchor_then_counterexample_tail,counterexample_tail,100,10000,0.5380761051177978,0.7585,0.8632782695044254,900,103,380,617,12.137874603271484,-3.4456121921539307
