condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.6918202524185181,0.5065,0.6306121755095796,1001,2,985,12,0.1719820499420166,-0.0008218139410018921
clean_random_baseline,counterexample_tail,10,1024,0.6903663883209229,0.506,0.691764225878033,1002,1,987,10,0.1866377294063568,-0.023468710482120514
clean_random_baseline,anchor,15,1504,0.6862100038528443,0.6825,0.7370421333792004,735,268,367,630,0.5222446322441101,0.11471233516931534
clean_random_baseline,anchor,20,2016,0.685283712387085,0.5,0.7584503260529344,4,999,1,996,1.319495439529419,0.3970125615596771
clean_random_baseline,anchor,25,2528,0.6671665601730347,0.6835,0.7721639494755453,547,456,177,820,1.6505708694458008,0.2792775630950928
clean_random_baseline,anchor,30,3008,0.6478689432144165,0.666,0.7771329941969478,906,97,571,426,2.358895778656006,0.2715301811695099
clean_random_baseline,anchor,35,3520,0.6190560932159423,0.6725,0.7900281102529922,476,527,128,869,4.706967830657959,0.6623085737228394
clean_random_baseline,anchor,40,4000,0.5880020713806152,0.7275,0.8041967377706398,838,165,380,617,5.567461967468262,-0.23172253370285034
clean_random_baseline,anchor,45,4512,0.5659167857170105,0.719,0.8135493219438975,614,389,173,824,7.978596210479736,-0.07362380623817444
clean_random_baseline,anchor,50,5024,0.5372821187973023,0.737,0.8257624318618868,664,339,187,810,10.399825096130371,-1.1022754907608032
clean_random_baseline,anchor,55,5504,0.521697003364563,0.752,0.8391055519499675,874,129,367,630,11.020644187927246,-2.7908010482788086
clean_random_baseline,anchor,60,6016,0.5006196789741516,0.777,0.8493806444257999,772,231,215,782,13.436067581176758,-3.620673656463623
clean_random_baseline,anchor,65,6528,0.4922211275100708,0.7755,0.8580037220334984,737,266,183,814,15.066978454589844,-4.217202186584473
clean_random_baseline,anchor,70,7008,0.4863221468925476,0.776,0.8620617585558271,722,281,167,830,16.54642105102539,-4.442501544952393
clean_random_baseline,anchor,75,7520,0.47441741156578066,0.788,0.8653787884090958,768,235,189,808,17.814136505126953,-4.777721405029297
clean_random_baseline,counterexample_tail,80,8000,0.48181918716430666,0.773,0.8698388285494569,674,329,125,872,20.455442428588867,-5.018115043640137
clean_random_baseline,anchor,85,8512,0.48534689283370974,0.7645,0.8720618485566369,916,87,384,613,18.53365707397461,-6.389074325561523
clean_random_baseline,anchor,90,9024,0.4529536774158478,0.797,0.8761388852499673,825,178,228,769,18.891706466674805,-6.549796104431152
clean_random_baseline,anchor,95,9504,0.4462567007541656,0.809,0.8799499195492759,796,207,175,822,20.46169662475586,-6.775700092315674
clean_random_baseline,anchor,100,10000,0.44158902144432066,0.804,0.8829909469185223,837,166,226,771,19.87371063232422,-6.928982257843018
anchor_then_counterexample_tail,anchor,5,512,0.6919822225570679,0.502,0.6488503396530569,1002,1,995,2,0.13799405097961426,-0.020731121301651
anchor_then_counterexample_tail,anchor,10,1024,0.6887578482627869,0.4985,0.7189209702887325,2,1001,2,995,0.8007981777191162,0.3236529231071472
anchor_then_counterexample_tail,anchor,15,1504,0.6825788059234619,0.535,0.7384596461368151,89,914,16,981,1.0889050960540771,0.3570765554904938
anchor_then_counterexample_tail,anchor,20,2016,0.6720600919723511,0.5875,0.7406331656984912,961,42,783,214,1.5147782564163208,0.19851797819137573
anchor_then_counterexample_tail,anchor,25,2528,0.6523325490951538,0.603,0.7583388250494254,256,747,47,950,3.692049503326416,0.8509781360626221
anchor_then_counterexample_tail,anchor,30,3008,0.617915524482727,0.6815,0.7806780261022349,888,115,522,475,5.0222930908203125,0.32683590054512024
anchor_then_counterexample_tail,anchor,35,3520,0.584261173248291,0.7115,0.7942321480893328,654,349,228,769,8.145491600036621,0.829825758934021
anchor_then_counterexample_tail,anchor,40,4000,0.5664973039627075,0.722,0.8058492526432739,676,327,229,768,9.867895126342773,0.6252511739730835
anchor_then_counterexample_tail,anchor,45,4512,0.5457581515312195,0.7305,0.8139693257239315,764,239,300,697,12.4996919631958,0.012012630701065063
anchor_then_counterexample_tail,anchor,50,5024,0.5248652076721192,0.7415,0.8256054304488741,707,296,221,776,16.46053695678711,-0.5086770057678223
anchor_then_counterexample_tail,anchor,55,5504,0.5056782603263855,0.755,0.8372695354258186,735,268,222,775,19.43667221069336,-1.6049777269363403
anchor_then_counterexample_tail,anchor,60,6016,0.4995109157562256,0.7555,0.845580610225492,697,306,183,814,22.27648162841797,-2.0379080772399902
