condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.6938135814666748,0.4985,0.5702991326921942,0,1003,0,997,0.40121161937713623,0.21059361100196838
clean_random_baseline,counterexample_tail,10,1024,0.7121317343711853,0.5015,0.628233154098387,1003,0,997,0,-0.19556817412376404,-0.3508240878582001
clean_random_baseline,anchor,15,1504,0.7237846870422363,0.4985,0.6853786684080158,0,1003,0,997,0.9429987668991089,0.7037763595581055
clean_random_baseline,anchor,20,2016,0.6882171792984009,0.5245,0.7051668465016185,991,12,939,58,0.4248013496398926,-0.010232187807559967
clean_random_baseline,anchor,25,2528,0.6807826943397522,0.5785,0.7234330108970981,212,791,52,945,1.068376064300537,0.26540565490722656
clean_random_baseline,anchor,30,3008,0.6657482137680054,0.5825,0.724765522889706,947,56,779,218,1.9104335308074951,0.46831515431404114
clean_random_baseline,anchor,35,3520,0.6321629686355591,0.6505,0.7316095844862603,518,485,214,783,5.0832414627075195,1.3865172863006592
clean_random_baseline,anchor,40,4000,0.6921216158866882,0.5385,0.74308668778019,100,903,20,977,6.801700592041016,1.2765682935714722
clean_random_baseline,anchor,45,4512,0.6944000635147095,0.5225,0.7464097176874591,58,945,10,987,5.887639045715332,0.5355767011642456
clean_random_baseline,anchor,50,5024,0.6613373141288758,0.556,0.7543382890446015,148,855,33,964,6.555181503295898,0.1720266491174698
clean_random_baseline,anchor,55,5504,0.6569178123474121,0.572,0.7754759792838137,992,11,845,152,4.169187068939209,-1.0952832698822021
clean_random_baseline,anchor,60,6016,0.6204943804740906,0.6275,0.7850850657655919,959,44,701,296,7.572000980377197,-1.8759182691574097
clean_random_baseline,anchor,65,6528,0.5874229135513306,0.683,0.790283112548013,888,115,519,478,11.828237533569336,-2.6372714042663574
clean_random_baseline,anchor,70,7008,0.5880082907676697,0.703,0.789815108335975,564,439,155,842,15.958565711975098,-1.9352436065673828
clean_random_baseline,anchor,75,7520,0.6174408240318299,0.6515,0.791567124104117,366,637,60,937,18.705081939697266,-1.5442878007888794
clean_random_baseline,counterexample_tail,80,8000,0.7437180943489075,0.5355,0.7930851377662399,84,919,10,987,23.689743041992188,-0.6927540302276611
clean_random_baseline,anchor,85,8512,0.7489239563941955,0.5105,0.7714554430989878,1002,1,978,19,7.495579719543457,-1.881779670715332
clean_random_baseline,anchor,90,9024,0.6255285978317261,0.6975,0.7670239032151289,756,247,358,639,8.450965881347656,-1.227586030960083
clean_random_baseline,anchor,95,9504,0.5958224449157715,0.681,0.7874240868167814,515,488,150,847,13.673992156982422,-1.3595257997512817
clean_random_baseline,anchor,100,10000,0.6087567944526673,0.641,0.804137237235135,346,657,61,936,16.997661590576172,-0.7843124866485596
