condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.6920278306007386,0.5225,0.5288472596253366,327,676,279,718,0.018561698496341705,0.3364953398704529
clean_random_baseline,counterexample_tail,10,1024,0.6895069274902343,0.537,0.5449369044321399,512,491,435,562,0.045243795961141586,0.2914673984050751
clean_random_baseline,anchor,15,1504,0.6868960466384888,0.548,0.5640235762121859,529,474,430,567,0.03462393209338188,0.27790412306785583
clean_random_baseline,anchor,20,2016,0.6849261288642883,0.5475,0.5844282598543387,335,668,237,760,0.047282129526138306,0.28630387783050537
clean_random_baseline,anchor,25,2528,0.683315203666687,0.5555,0.5938603447431028,332,671,218,779,0.08070702850818634,0.2553078234195709
clean_random_baseline,anchor,30,3008,0.6792062492370605,0.564,0.6020794187147684,480,523,349,648,0.05393600836396217,0.18148592114448547
clean_random_baseline,anchor,35,3520,0.6743667106628418,0.5805,0.6211585904273138,516,487,352,645,0.06549599766731262,0.1775529384613037
clean_random_baseline,anchor,40,4000,0.6677702226638794,0.6045,0.6399107591968327,646,357,434,563,0.05592883750796318,0.20082992315292358
clean_random_baseline,anchor,45,4512,0.6390048713684082,0.6465,0.7029953269579426,593,410,297,700,0.10730647295713425,0.23402905464172363
clean_random_baseline,anchor,50,5024,0.6272314491271973,0.6605,0.7368786319076871,487,516,163,834,0.15691761672496796,0.2679483890533447
clean_random_baseline,anchor,55,5504,0.5935075926780701,0.7,0.7619198572787155,713,290,310,687,0.2135060727596283,0.23348833620548248
clean_random_baseline,anchor,60,6016,0.5912786259651184,0.687,0.7586838281544535,857,146,480,517,0.23854368925094604,0.207051619887352
clean_random_baseline,anchor,65,6528,0.5941791954040527,0.6835,0.7682999146992323,600,403,230,767,0.2754545509815216,0.20591720938682556
clean_random_baseline,anchor,70,7008,0.5626971406936645,0.731,0.8058552526972743,645,358,180,817,0.27434468269348145,0.19217449426651
clean_random_baseline,anchor,75,7520,0.5650522170066834,0.719,0.7948101532913796,720,283,279,718,0.26021337509155273,0.17284397780895233
clean_random_baseline,counterexample_tail,80,8000,0.6683393068313599,0.6195,0.7377816400347603,288,715,46,951,0.3407212197780609,0.16326114535331726
clean_random_baseline,anchor,85,8512,0.6209974889755249,0.6955,0.7822215399938599,895,108,501,496,0.33462393283843994,0.08833806216716766
clean_random_baseline,anchor,90,9024,0.530210789680481,0.749,0.8168183513651622,754,249,253,744,0.33948880434036255,0.09206636250019073
clean_random_baseline,anchor,95,9504,0.5633368105888367,0.7245,0.7827370446334018,834,169,382,615,0.3331548869609833,0.1152304857969284
clean_random_baseline,anchor,100,10000,0.5915946612358093,0.718,0.7860520744686703,899,104,460,537,0.27984869480133057,0.1319965124130249
anchor_then_counterexample_tail,anchor,5,512,0.6919143838882447,0.521,0.5312122809105282,437,566,392,605,-0.03541111946105957,0.37011489272117615
anchor_then_counterexample_tail,anchor,10,1024,0.6884311246871948,0.546,0.5611680505124547,393,610,298,699,-0.006555851548910141,0.38186848163604736
anchor_then_counterexample_tail,anchor,15,1504,0.6846215171813965,0.5575,0.5824872423851815,441,562,323,674,0.03675733506679535,0.3622068464756012
anchor_then_counterexample_tail,anchor,20,2016,0.6803907346725464,0.571,0.5968433715903443,625,378,480,517,0.021953187882900238,0.2991293966770172
anchor_then_counterexample_tail,anchor,25,2528,0.6751377763748169,0.586,0.6136220225982034,633,370,458,539,0.023108460009098053,0.2832247018814087
anchor_then_counterexample_tail,anchor,30,3008,0.665895607471466,0.599,0.6406772660953949,662,341,461,536,0.0846952274441719,0.294697105884552
anchor_then_counterexample_tail,anchor,35,3520,0.6452898602485657,0.6285,0.6823471411242702,587,416,327,670,0.15328358113765717,0.358059287071228
anchor_then_counterexample_tail,anchor,40,4000,0.6774555926322937,0.5875,0.6900227102043919,257,746,79,918,0.26114583015441895,0.3648659586906433
anchor_then_counterexample_tail,anchor,45,4512,0.6069411396980285,0.678,0.7437036933332399,789,214,430,567,0.30476534366607666,0.3051760196685791
anchor_then_counterexample_tail,anchor,50,5024,0.6118681921958923,0.669,0.7432226890042011,508,495,167,830,0.450679749250412,0.33659419417381287
anchor_then_counterexample_tail,anchor,55,5504,0.6192387013435364,0.6615,0.7188034692312231,607,396,281,716,0.4824264943599701,0.217781662940979
