condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.6920286798477173,0.5225,0.5288342595083356,327,676,279,718,0.018600888550281525,0.3364035487174988
clean_random_baseline,counterexample_tail,10,1024,0.6895074291229248,0.5365,0.5449399044591401,512,491,436,561,0.045299921184778214,0.29130107164382935
clean_random_baseline,anchor,15,1504,0.6869001560211182,0.548,0.5640050760456844,529,474,430,567,0.03472230210900307,0.2776787579059601
clean_random_baseline,anchor,20,2016,0.6849365162849427,0.5475,0.5843912595213356,335,668,237,760,0.04743549972772598,0.28603801131248474
clean_random_baseline,anchor,25,2528,0.6833290519714356,0.5555,0.5938433445901014,331,672,217,780,0.08087148517370224,0.2550343871116638
clean_random_baseline,anchor,30,3008,0.679226300239563,0.5645,0.6020554184987665,480,523,348,649,0.054158009588718414,0.18127326667308807
clean_random_baseline,anchor,35,3520,0.6743931655883789,0.5805,0.6211550903958136,516,487,352,645,0.06574924290180206,0.1772826462984085
clean_random_baseline,anchor,40,4000,0.6677992525100708,0.6045,0.639900759106832,646,357,434,563,0.05620906502008438,0.2005099654197693
clean_random_baseline,anchor,45,4512,0.638882646560669,0.6475,0.7032683294149648,593,410,295,702,0.10764752328395844,0.2337171584367752
clean_random_baseline,anchor,50,5024,0.6272100038528442,0.659,0.7369376324386919,486,517,165,832,0.15792757272720337,0.2677132487297058
clean_random_baseline,anchor,55,5504,0.5935268864631653,0.7035,0.7622633603702433,721,282,311,686,0.21452704071998596,0.23349323868751526
clean_random_baseline,anchor,60,6016,0.5917484803199768,0.683,0.756940812467312,867,136,498,499,0.24165038764476776,0.19849379360675812
clean_random_baseline,anchor,65,6528,0.5788510956764221,0.712,0.7743149688347194,760,243,333,664,0.2731953263282776,0.1952148973941803
clean_random_baseline,anchor,70,7008,0.5731475596427917,0.727,0.797222174999575,671,332,214,783,0.2731310725212097,0.19429275393486023
clean_random_baseline,anchor,75,7520,0.5948610830307007,0.697,0.7706059354534192,844,159,447,550,0.2828291952610016,0.1809079498052597
clean_random_baseline,counterexample_tail,80,8000,0.5595606656074524,0.7255,0.8035032315290838,601,402,147,850,0.4095132350921631,0.1795533150434494
clean_random_baseline,anchor,85,8512,0.5784295496940612,0.724,0.7899691097219874,857,146,406,591,0.44233500957489014,0.15926438570022583
clean_random_baseline,anchor,90,9024,0.5757736320495606,0.7085,0.7938681448133035,866,137,446,551,0.3498438000679016,0.13913972675800323
clean_random_baseline,anchor,95,9504,0.5750374326705933,0.7125,0.7841820576385187,724,279,296,701,0.37985214591026306,0.15036465227603912
clean_random_baseline,anchor,100,10000,0.5437182302474975,0.735,0.8054762492862436,717,286,244,753,0.4492110013961792,0.15391933917999268
anchor_then_counterexample_tail,anchor,5,512,0.6919150471687316,0.521,0.5311952807575269,437,566,392,605,-0.035349514335393906,0.37001362442970276
