condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.6949011397361755,0.505,0.5118916070244632,515,488,502,495,0.052833735942840576,0.3104371428489685
clean_random_baseline,counterexample_tail,10,1024,0.7049029140472413,0.518,0.5377138394245549,885,118,846,151,0.021839842200279236,-0.13517552614212036
clean_random_baseline,anchor,15,1504,0.719943564414978,0.5245,0.5685631170680536,116,887,64,933,0.5353071093559265,0.4308570921421051
clean_random_baseline,anchor,20,2016,0.6837905955314636,0.552,0.5790692116229046,596,407,489,508,-0.2646857798099518,-0.12275786697864532
clean_random_baseline,anchor,25,2528,0.689921582698822,0.556,0.5747021723195509,462,541,347,650,-0.019333861768245697,-0.1702544093132019
clean_random_baseline,anchor,30,3008,0.6970438232421875,0.546,0.5754351789166102,726,277,631,366,-0.33928948640823364,-0.519776463508606
clean_random_baseline,anchor,35,3520,0.6880322542190552,0.54,0.5769651926867342,279,724,196,801,0.19844520092010498,0.09167405217885971
clean_random_baseline,anchor,40,4000,0.693475341796875,0.528,0.5614550530954778,793,210,734,263,-0.15402889251708984,-0.03422652930021286
clean_random_baseline,anchor,45,4512,0.6854079871177673,0.5585,0.5980993828944461,353,650,233,764,0.3594615161418915,0.4958668351173401
clean_random_baseline,anchor,50,5024,0.673298508644104,0.5825,0.6192895736061625,498,505,330,667,0.21126744151115417,0.48388099670410156
clean_random_baseline,anchor,55,5504,0.6636513633728027,0.5915,0.6408407675669081,706,297,520,477,0.07356806844472885,0.27786362171173096
clean_random_baseline,anchor,60,6016,0.668524453163147,0.594,0.6307486767380905,557,446,366,631,0.19549569487571716,0.20696133375167847
clean_random_baseline,anchor,65,6528,0.6743663291931152,0.579,0.6183905655150896,521,482,360,637,0.23048201203346252,-0.1931351274251938
clean_random_baseline,anchor,70,7008,0.6815431671142578,0.5625,0.6116375047375426,373,630,245,752,0.03373291343450546,-0.44760459661483765
clean_random_baseline,anchor,75,7520,0.6612835330963135,0.6125,0.6444257998321985,680,323,452,545,-0.43372225761413574,-0.5558327436447144
clean_random_baseline,counterexample_tail,80,8000,0.6952720999717712,0.5765,0.6683060147541329,294,709,138,859,0.3986329138278961,-0.20301838219165802
clean_random_baseline,anchor,85,8512,0.7381814799308777,0.533,0.63012367111304,976,27,907,90,-0.15147259831428528,-0.9040828943252563
clean_random_baseline,anchor,90,9024,0.6643553266525268,0.604,0.6455348098132883,756,247,545,452,0.5400155782699585,0.04986744001507759
clean_random_baseline,anchor,95,9504,0.6519960746765137,0.6245,0.6725240527164745,555,448,303,694,0.8771559000015259,0.5621594190597534
clean_random_baseline,anchor,100,10000,0.6452694873809814,0.621,0.6726010534094807,670,333,425,572,0.39972984790802,0.2893061935901642
anchor_then_counterexample_tail,anchor,5,512,0.6970264015197754,0.5105,0.5251587264285378,819,184,795,202,-0.3259032666683197,0.22401729226112366
anchor_then_counterexample_tail,anchor,10,1024,0.7161169862747192,0.521,0.5647930831377482,133,870,88,909,0.2699635624885559,0.8262534141540527
anchor_then_counterexample_tail,anchor,15,1504,0.6905172662734985,0.5595,0.5863112768014912,701,302,579,418,0.07333465665578842,0.052184686064720154
anchor_then_counterexample_tail,anchor,20,2016,0.6871399393081665,0.5525,0.5864642781785036,719,284,611,386,-0.056914374232292175,-0.36771920323371887
anchor_then_counterexample_tail,anchor,25,2528,0.7057305879592896,0.5405,0.5904343139088252,204,799,120,877,0.17518681287765503,-0.014448001980781555
anchor_then_counterexample_tail,anchor,30,3008,0.6916465501785278,0.55,0.5923843314589832,825,178,722,275,-0.22940382361412048,-0.3494570851325989
anchor_then_counterexample_tail,anchor,35,3520,0.677258427619934,0.582,0.6116005044045396,525,478,358,639,0.11819380521774292,0.30429455637931824
anchor_then_counterexample_tail,anchor,40,4000,0.6913918313980103,0.5585,0.6082364741282671,311,692,191,806,0.4224283695220947,0.4814375340938568
anchor_then_counterexample_tail,anchor,45,4512,0.6942955904006958,0.5415,0.5978248804239239,913,90,827,170,-0.060863688588142395,-0.21596819162368774
anchor_then_counterexample_tail,anchor,50,5024,0.6770663752555847,0.585,0.6363517271655444,388,615,215,782,0.5476236343383789,0.5950683355331421
anchor_then_counterexample_tail,anchor,55,5504,0.6656836614608764,0.6085,0.6479053311479803,683,320,463,534,-0.02015475556254387,0.21026673913002014
anchor_then_counterexample_tail,anchor,60,6016,0.6592091579437256,0.5975,0.6452768074912674,580,423,382,615,0.23378221690654755,0.16216138005256653
anchor_then_counterexample_tail,anchor,65,6528,0.6682998523712158,0.6105,0.6681230131071181,470,533,246,751,0.8532572984695435,0.5587571263313293
anchor_then_counterexample_tail,anchor,70,7008,0.6435808000564576,0.669,0.7167544507900572,682,321,341,656,0.739978551864624,0.44132912158966064
anchor_then_counterexample_tail,anchor,75,7520,0.7610234689712524,0.4995,0.5399368594317349,67,936,65,932,0.24937739968299866,0.7064566016197205
anchor_then_counterexample_tail,anchor,80,8000,0.6836222095489501,0.583,0.6207995871962848,748,255,579,418,0.6767655611038208,0.4440650939941406
anchor_then_counterexample_tail,anchor,85,8512,0.6710439305305481,0.596,0.6532078788709098,789,214,594,403,0.6711887717247009,0.34700584411621094
anchor_then_counterexample_tail,counterexample_tail,90,9024,0.6595487599372863,0.6325,0.6902672124049116,577,426,309,688,0.7633875608444214,0.07684080302715302
anchor_then_counterexample_tail,counterexample_tail,95,9504,0.946238844871521,0.414,0.37091433822904407,267,736,436,561,-1.0910344123840332,-0.6282534599304199
anchor_then_counterexample_tail,counterexample_tail,100,10000,1.2091336660385132,0.442,0.36081024729222555,751,252,864,133,-2.8128440380096436,-2.3346989154815674
