condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.7221902594566345,0.498,0.5137836240526165,232,771,233,764,0.05268436670303345,-0.09520470350980759
clean_random_baseline,counterexample_tail,10,1024,0.7015307641029358,0.5345,0.5452329070961639,856,147,784,213,-0.24224525690078735,-0.43307235836982727
clean_random_baseline,anchor,15,1504,0.7000685949325561,0.5065,0.5712151409362685,134,869,118,879,0.5021021962165833,-0.10841041803359985
clean_random_baseline,anchor,20,2016,0.6788299851417542,0.5595,0.5917803260229342,598,405,476,521,0.4813666343688965,-0.4758211076259613
clean_random_baseline,anchor,25,2528,0.6757960667610169,0.568,0.6006584059256533,604,399,465,532,0.7045757174491882,-0.498138427734375
clean_random_baseline,anchor,30,3008,0.6742194509506225,0.5845,0.6129745167706508,757,246,585,412,0.7324438691139221,-0.7399677038192749
clean_random_baseline,anchor,35,3520,0.6617160940170288,0.5855,0.6353472181249631,596,407,422,575,1.3091278076171875,-0.67093825340271
clean_random_baseline,anchor,40,4000,0.642396752357483,0.608,0.6673850064650583,645,358,426,571,1.6494314670562744,-0.7545952796936035
clean_random_baseline,anchor,45,4512,0.6253869504928589,0.6305,0.7195974763772874,498,505,234,763,2.1812021732330322,-0.4641023874282837
clean_random_baseline,anchor,50,5024,0.6416244726181031,0.611,0.742654183887655,298,705,73,924,2.444188117980957,-0.7052183747291565
clean_random_baseline,anchor,55,5504,0.6031730661392212,0.6635,0.7544557901021108,871,132,541,456,2.270799160003662,-1.2639129161834717
clean_random_baseline,anchor,60,6016,0.580413164138794,0.6895,0.7711704405339648,776,227,394,603,2.488006591796875,-1.6986820697784424
clean_random_baseline,anchor,65,6528,0.5601787919998169,0.7045,0.7950171551543964,843,160,431,566,2.706587791442871,-2.2080206871032715
clean_random_baseline,anchor,70,7008,0.5462268061637878,0.7125,0.8009592086328777,822,181,394,603,3.2566332817077637,-2.9847774505615234
clean_random_baseline,anchor,75,7520,0.5249857578277588,0.734,0.8156213405920654,764,239,293,704,3.3454833030700684,-2.8120675086975098
clean_random_baseline,counterexample_tail,80,8000,0.6870360260009766,0.605,0.8165703491331422,243,760,30,967,3.5534684658050537,-2.234602451324463
clean_random_baseline,anchor,85,8512,0.5459020776748658,0.7415,0.830333473001257,901,102,415,582,2.3121917247772217,-2.194601535797119
clean_random_baseline,anchor,90,9024,0.5255942966938019,0.744,0.8385305467749211,909,94,418,579,2.729444980621338,-3.0286052227020264
clean_random_baseline,anchor,95,9504,0.5128040060997009,0.7515,0.8468446216015945,906,97,400,597,2.823807954788208,-3.172518253326416
clean_random_baseline,anchor,100,10000,0.4829507551193237,0.7715,0.8503626532638795,751,252,205,792,3.460202693939209,-2.9333224296569824
anchor_then_counterexample_tail,anchor,5,512,0.7090257358551025,0.519,0.5310557795020154,395,608,354,643,0.24628561735153198,-0.18917670845985413
anchor_then_counterexample_tail,anchor,10,1024,0.7103411631584168,0.522,0.5639370754336789,188,815,141,856,0.641420841217041,0.03674856945872307
anchor_then_counterexample_tail,anchor,15,1504,0.6827059664726257,0.5605,0.5806732260590345,589,414,465,532,0.5098975896835327,-0.3052937388420105
anchor_then_counterexample_tail,anchor,20,2016,0.6786133003234863,0.574,0.5997503977535799,741,262,590,407,0.6506986618041992,-0.36259230971336365
anchor_then_counterexample_tail,anchor,25,2528,0.6698088126182556,0.578,0.6246256216305947,502,501,343,654,1.4991300106048584,0.010867923498153687
anchor_then_counterexample_tail,anchor,30,3008,0.6602303023338318,0.587,0.6622294600651406,356,647,179,818,1.804414987564087,-0.2065044492483139
anchor_then_counterexample_tail,anchor,35,3520,0.6195251641273498,0.646,0.7050333453001077,765,238,470,527,2.299755096435547,-1.06322181224823
anchor_then_counterexample_tail,anchor,40,4000,0.6801871514320373,0.5735,0.7292370631335682,205,798,55,942,2.690225124359131,-0.423946738243103
anchor_then_counterexample_tail,anchor,45,4512,0.6081576075553894,0.6635,0.7347996131965188,645,358,315,682,2.562276840209961,-0.6622841358184814
anchor_then_counterexample_tail,anchor,50,5024,0.6013703861236572,0.6875,0.7507577568198114,792,211,414,583,3.102731227874756,-1.3253440856933594
anchor_then_counterexample_tail,anchor,55,5504,0.5807560489177704,0.692,0.7644358799229193,791,212,404,593,2.9185311794281006,-1.6101469993591309
anchor_then_counterexample_tail,anchor,60,6016,0.5654085409641266,0.692,0.7790930118371066,656,347,269,728,3.2641515731811523,-1.8202694654464722
anchor_then_counterexample_tail,anchor,65,6528,0.5382986373901367,0.718,0.8035027315245837,724,279,285,712,3.5844428539276123,-2.1322429180145264
anchor_then_counterexample_tail,anchor,70,7008,0.5171701173782348,0.7375,0.8241744175697581,708,295,230,767,3.7861080169677734,-2.861896276473999
anchor_then_counterexample_tail,anchor,75,7520,0.5251996085643769,0.7445,0.8331554983994857,876,127,384,613,3.872753381729126,-3.598633289337158
anchor_then_counterexample_tail,anchor,80,8000,0.5053373928070068,0.752,0.8365825292427631,700,303,193,804,3.9356489181518555,-3.0436837673187256
anchor_then_counterexample_tail,anchor,85,8512,0.49450755977630617,0.7605,0.8434225908033173,737,266,213,784,4.03641939163208,-2.673050880432129
anchor_then_counterexample_tail,counterexample_tail,90,9024,0.48165680408477785,0.7755,0.8522276700490303,867,136,313,684,4.172008037567139,-3.349830150604248
anchor_then_counterexample_tail,counterexample_tail,95,9504,0.6508223624229431,0.5575,0.78555506999563,150,853,32,965,1.8701629638671875,-0.7115845084190369
anchor_then_counterexample_tail,counterexample_tail,100,10000,0.6936539793014527,0.5105,0.5940848467636208,1001,2,977,20,0.4941982328891754,-0.5156221389770508
