condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.72218452835083,0.498,0.5137781240031161,232,771,233,764,0.05273246765136719,-0.09515533596277237
clean_random_baseline,counterexample_tail,10,1024,0.7015431432723999,0.5345,0.5452279070511634,856,147,784,213,-0.24214041233062744,-0.4332609176635742
clean_random_baseline,anchor,15,1504,0.7000873017311097,0.506,0.571197140774267,134,869,119,878,0.5012539625167847,-0.10612323880195618
clean_random_baseline,anchor,20,2016,0.6788583421707153,0.558,0.5917383256449309,596,407,477,520,0.4806089401245117,-0.46931886672973633
clean_random_baseline,anchor,25,2528,0.6758203082084656,0.5675,0.6007744069696627,604,399,466,531,0.7145617604255676,-0.49512386322021484
clean_random_baseline,anchor,30,3008,0.6740482921600341,0.5825,0.6131095179856618,752,251,584,413,0.7485612034797668,-0.7465028762817383
clean_random_baseline,anchor,35,3520,0.6617323341369629,0.582,0.6350507154564391,593,410,426,571,1.3046269416809082,-0.6786096692085266
clean_random_baseline,anchor,40,4000,0.6428088612556457,0.607,0.666804001236011,649,354,432,565,1.620365858078003,-0.7731226682662964
clean_random_baseline,anchor,45,4512,0.6254845561981202,0.6315,0.7196869771827946,497,506,231,766,2.1592156887054443,-0.4837672710418701
clean_random_baseline,anchor,50,5024,0.6416662149429321,0.6055,0.7424691822226399,288,715,74,923,2.416508674621582,-0.7383807897567749
clean_random_baseline,anchor,55,5504,0.6032019271850586,0.662,0.7544867903811134,871,132,544,453,2.258504867553711,-1.272498607635498
clean_random_baseline,anchor,60,6016,0.5802504844665527,0.6915,0.7714969434724912,777,226,391,606,2.481782913208008,-1.7052533626556396
clean_random_baseline,anchor,65,6528,0.5600381770133972,0.7065,0.7952051568464117,848,155,432,565,2.7147693634033203,-2.209594249725342
clean_random_baseline,anchor,70,7008,0.5465337123870849,0.712,0.8009772087948792,823,180,396,601,3.252763509750366,-2.964679718017578
clean_random_baseline,anchor,75,7520,0.5249630014896393,0.734,0.8155593400340604,768,235,297,700,3.3385009765625,-2.813455104827881
clean_random_baseline,counterexample_tail,80,8000,0.6853569869995118,0.604,0.8170983538851849,244,759,33,964,3.545567512512207,-2.266937017440796
clean_random_baseline,anchor,85,8512,0.5451754484176635,0.7425,0.8303234729112562,902,101,414,583,2.3376753330230713,-2.214094638824463
clean_random_baseline,anchor,90,9024,0.5249186947345733,0.7445,0.8385605470449233,907,96,415,582,2.7420730590820312,-3.0277762413024902
clean_random_baseline,anchor,95,9504,0.5136641473770142,0.7505,0.8469866228796059,907,96,403,594,2.8230934143066406,-3.1683990955352783
