condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,1.0804566106796265,0.4835,0.5116266046394418,46,957,76,921,2.127045154571533,1.5338647365570068
clean_random_baseline,counterexample_tail,10,1024,0.8233740587234497,0.5105,0.5177516597649379,632,371,608,389,0.5939908027648926,-0.4065331518650055
clean_random_baseline,anchor,15,1504,1.0399622211456299,0.501,0.4919214272928456,1002,1,997,0,-1.48764967918396,-2.096221446990967
clean_random_baseline,anchor,20,2016,0.6966347022056579,0.5125,0.5594230348073133,829,174,801,196,-0.1232655942440033,-0.21304810047149658
clean_random_baseline,anchor,25,2528,0.7071314854621887,0.5015,0.5130066170595535,1003,0,997,0,-0.3083614110946655,-0.3990614414215088
clean_random_baseline,anchor,30,3008,0.690842887878418,0.51,0.5730631575684181,90,913,67,930,0.05664867162704468,0.072101891040802
clean_random_baseline,anchor,35,3520,0.7135454649925232,0.4985,0.5883997955981604,0,1003,0,997,0.49158114194869995,0.5247696042060852
clean_random_baseline,anchor,40,4000,0.6868854575157165,0.5395,0.5938758448826039,887,116,805,192,-0.10657002031803131,-0.08341851830482483
clean_random_baseline,anchor,45,4512,0.7441174268722535,0.4985,0.5995668961020649,0,1003,0,997,0.8163855671882629,0.7847706079483032
clean_random_baseline,anchor,50,5024,0.6936881399154663,0.5025,0.5828337455037096,27,976,19,978,0.5655863285064697,0.390335351228714
clean_random_baseline,anchor,55,5504,0.684387987613678,0.5015,0.5924488320394883,39,964,33,964,0.39093849062919617,0.33404719829559326
clean_random_baseline,anchor,60,6016,0.7455640850067139,0.4985,0.6173865564790084,0,1003,0,997,0.984747052192688,0.8743040561676025
clean_random_baseline,anchor,65,6528,0.6977722759246826,0.4985,0.624838623547612,0,1003,0,997,0.6732558012008667,0.532581090927124
clean_random_baseline,anchor,70,7008,0.6730748510360718,0.5905,0.6357677219094972,628,375,444,553,0.5354907512664795,0.3990861773490906
clean_random_baseline,anchor,75,7520,0.6661949548721313,0.6045,0.6534543810894298,733,270,521,476,1.4497997760772705,1.3858661651611328
clean_random_baseline,counterexample_tail,80,8000,0.7020666422843933,0.4985,0.6648689838208545,0,1003,0,997,0.6502326726913452,0.5900604128837585
clean_random_baseline,anchor,85,8512,0.7104064316749573,0.5015,0.5314262828365455,1003,0,997,0,-0.4148615896701813,-0.38527241349220276
clean_random_baseline,anchor,90,9024,0.7442911190986633,0.5015,0.6788361095249856,1003,0,997,0,-0.7247140407562256,-0.824154257774353
clean_random_baseline,anchor,95,9504,0.650258397102356,0.64,0.6843971595744363,837,166,554,443,0.10744564235210419,-0.4195142984390259
clean_random_baseline,anchor,100,10000,0.667031894683838,0.5945,0.68839469555226,316,687,124,873,0.8779128789901733,0.28971946239471436
anchor_then_counterexample_tail,anchor,5,512,2.1853924255371093,0.497,0.46849221642994787,0,1003,3,994,2.934671640396118,4.128003120422363
anchor_then_counterexample_tail,anchor,10,1024,1.0564409313201903,0.515,0.5661570954138587,186,817,153,844,2.5604004859924316,0.6098588705062866
anchor_then_counterexample_tail,anchor,15,1504,0.9237158489227295,0.4985,0.5245597210374894,0,1003,0,997,1.5574190616607666,1.510798454284668
anchor_then_counterexample_tail,anchor,20,2016,0.8422716722488404,0.5015,0.5485229367064304,1003,0,997,0,-1.125154972076416,-1.1580657958984375
anchor_then_counterexample_tail,anchor,25,2528,0.6972455520629883,0.4985,0.48320134881213933,0,1003,0,997,0.16316422820091248,0.16260625422000885
anchor_then_counterexample_tail,anchor,30,3008,0.7601875114440918,0.4985,0.4867673809064281,0,1003,0,997,0.7319608926773071,0.7269694805145264
anchor_then_counterexample_tail,anchor,35,3520,0.6929553799629211,0.502,0.5348133133198198,1003,0,996,1,-0.021613024175167084,-0.016987640410661697
anchor_then_counterexample_tail,anchor,40,4000,0.7840654535293579,0.4985,0.5650040850367652,0,1003,0,997,0.8562661409378052,0.8543363809585571
anchor_then_counterexample_tail,anchor,45,4512,0.7072511444091797,0.4985,0.5693611242501183,0,1003,0,997,0.32995378971099854,0.3281705379486084
anchor_then_counterexample_tail,anchor,50,5024,0.6944856643676758,0.5015,0.5751416762750865,1003,0,997,0,-0.12831124663352966,-0.13563290238380432
anchor_then_counterexample_tail,anchor,55,5504,0.6988631381988525,0.4985,0.579764217877961,0,1003,0,997,0.22198200225830078,0.21204638481140137
anchor_then_counterexample_tail,anchor,60,6016,0.7013346238136291,0.4985,0.5782452042068379,0,1003,0,997,0.2773684859275818,0.2675926685333252
anchor_then_counterexample_tail,anchor,65,6528,0.6983649930953979,0.4985,0.5818472366251297,0,1003,0,997,0.25031375885009766,0.23693695664405823
