condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.7135856666564941,0.5145,0.5080550724956525,615,388,583,414,-0.0034775733947753906,0.18529421091079712
clean_random_baseline,counterexample_tail,10,1024,0.7324025211334229,0.5295,0.5576280186521678,911,92,849,148,0.1955852508544922,-0.4057731628417969
clean_random_baseline,anchor,15,1504,0.6942771415710449,0.5445,0.5604360439243954,654,349,562,435,-0.10819587111473083,-0.5094953775405884
clean_random_baseline,anchor,20,2016,0.689820969581604,0.551,0.5726041534373809,637,366,532,465,0.08885061740875244,-0.2898375988006592
clean_random_baseline,anchor,25,2528,0.6949070997238159,0.535,0.551591964327679,541,462,468,529,0.22681257128715515,-0.08988076448440552
clean_random_baseline,anchor,30,3008,0.6945228424072266,0.5475,0.5626860641745777,647,356,549,448,-0.13561397790908813,-0.32831472158432007
clean_random_baseline,anchor,35,3520,0.695471088886261,0.5465,0.5577590198311785,529,474,433,564,-0.3841841220855713,-0.4425569474697113
clean_random_baseline,anchor,40,4000,0.6928510026931762,0.541,0.5679851118660069,541,462,456,541,-0.699448823928833,-0.2317127287387848
clean_random_baseline,anchor,45,4512,0.7124791135787963,0.5085,0.5470449234043107,194,809,174,823,-0.018904447555541992,0.13658717274665833
clean_random_baseline,anchor,50,5024,0.7088014755249024,0.516,0.5452929076361688,222,781,187,810,0.5571181774139404,0.1139289140701294
clean_random_baseline,anchor,55,5504,0.690084716796875,0.535,0.5711061399552596,582,421,509,488,0.31453391909599304,-0.01805347204208374
clean_random_baseline,anchor,60,6016,0.7040556526184082,0.518,0.5517549657946921,258,745,219,778,-0.1468794047832489,-0.0862112045288086
clean_random_baseline,anchor,65,6528,0.7039199228286743,0.5385,0.5518519666677,760,243,680,317,0.05744704604148865,-0.6117992401123047
clean_random_baseline,anchor,70,7008,0.6986507759094238,0.547,0.5654990894918054,666,337,569,428,0.2206578552722931,-0.3669320046901703
clean_random_baseline,anchor,75,7520,0.7102592697143555,0.53,0.5616325546929922,316,687,253,744,0.6727338433265686,0.3983868658542633
clean_random_baseline,counterexample_tail,80,8000,0.7002908997535705,0.548,0.5768841919577276,370,633,271,726,0.5038459300994873,0.09636026620864868
clean_random_baseline,anchor,85,8512,0.6998322620391846,0.553,0.5896593069337625,743,260,634,363,0.5558406710624695,-0.3875218629837036
clean_random_baseline,anchor,90,9024,0.6878785161972046,0.558,0.5757081813736324,592,411,473,524,0.3486855924129486,-0.23981884121894836
clean_random_baseline,anchor,95,9504,0.6952491502761841,0.554,0.5786857081713735,766,237,655,342,0.48089709877967834,-0.0856131911277771
clean_random_baseline,anchor,100,10000,0.6912436494827271,0.554,0.5752281770535934,588,415,477,520,-0.03383006155490875,0.5108233690261841
anchor_then_counterexample_tail,anchor,5,512,0.7239469885826111,0.507,0.5057085513769624,326,677,309,688,-0.050156205892562866,0.1679246723651886
anchor_then_counterexample_tail,anchor,10,1024,0.7074395289421082,0.53,0.5574420169781528,411,592,348,649,0.121773362159729,0.3995444178581238
anchor_then_counterexample_tail,anchor,15,1504,0.6945541172027588,0.542,0.5694741252671274,700,303,613,384,-0.11499594151973724,-0.2988983690738678
anchor_then_counterexample_tail,anchor,20,2016,0.6965938682556152,0.553,0.57493917445257,649,354,540,457,0.2268887162208557,-0.17846545577049255
anchor_then_counterexample_tail,anchor,25,2528,0.6906786870956421,0.5455,0.5720321482893346,635,368,541,456,0.13155707716941833,-0.48100829124450684
anchor_then_counterexample_tail,anchor,30,3008,0.7039999575614929,0.5355,0.5520189681707135,407,596,333,664,0.30324244499206543,-0.37312519550323486
anchor_then_counterexample_tail,anchor,35,3520,0.7111146907806396,0.526,0.5599090391813526,253,750,198,799,0.3374527096748352,-0.23379361629486084
anchor_then_counterexample_tail,anchor,40,4000,0.7045264430046082,0.5305,0.5547704929344364,313,690,249,748,0.10905949771404266,0.1914459466934204
anchor_then_counterexample_tail,anchor,45,4512,0.7003592453002929,0.546,0.5729411564704083,692,311,597,400,0.1680201292037964,-0.5025057792663574
anchor_then_counterexample_tail,anchor,50,5024,0.6902827987670899,0.547,0.5740081660734948,587,416,490,507,-0.3597320318222046,0.500165581703186
anchor_then_counterexample_tail,anchor,55,5504,0.6940783696174622,0.5435,0.5562610063490572,555,448,465,532,0.04493929445743561,-0.05345296859741211
anchor_then_counterexample_tail,anchor,60,6016,0.688433632850647,0.555,0.5791932127389147,595,408,482,515,0.1438402682542801,-0.059139370918273926
anchor_then_counterexample_tail,anchor,65,6528,0.7191683845520019,0.529,0.5727231545083906,227,776,166,831,0.756863534450531,0.5107123851776123
anchor_then_counterexample_tail,anchor,70,7008,0.7119588079452515,0.5655,0.5948213533921805,845,158,711,286,0.14139513671398163,0.004738748073577881
anchor_then_counterexample_tail,anchor,75,7520,0.6934054269790649,0.5545,0.5941013469121222,748,255,636,361,0.438072144985199,0.09153634309768677
anchor_then_counterexample_tail,anchor,80,8000,0.7065123662948608,0.538,0.5785387068483616,269,734,190,807,0.8088392019271851,0.06300002336502075
