condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.7091207799911499,0.4985,0.6160145441308971,0,1003,0,997,0.4624277651309967,0.41876691579818726
clean_random_baseline,counterexample_tail,10,1024,0.6972323036193848,0.5015,0.6330701976317787,1003,0,997,0,-0.13508090376853943,-0.25053054094314575
clean_random_baseline,anchor,15,1504,0.6976848254203797,0.4985,0.641815276337487,0,1003,0,997,0.4574340283870697,0.2705049514770508
clean_random_baseline,anchor,20,2016,0.6798615922927856,0.591,0.6465463189168703,433,570,248,749,0.4671558439731598,-0.00601959228515625
clean_random_baseline,anchor,25,2528,0.6491539025306702,0.6245,0.6882761944857503,702,301,450,547,0.7144212126731873,-0.34247785806655884
clean_random_baseline,anchor,30,3008,0.6366422576904297,0.6495,0.7214524930724375,860,143,558,439,0.9769614934921265,-1.308382511138916
clean_random_baseline,anchor,35,3520,0.6159959082603454,0.685,0.74555520999689,629,374,256,741,1.603398084640503,-0.8830289840698242
clean_random_baseline,anchor,40,4000,0.648193000793457,0.578,0.7641208770878938,202,801,43,954,1.9560513496398926,-0.6697797179222107
clean_random_baseline,anchor,45,4512,0.5961264200210571,0.662,0.7947131524183717,447,556,120,877,2.5831451416015625,-1.2335951328277588
clean_random_baseline,anchor,50,5024,0.519113481760025,0.734,0.824037416336747,722,281,251,746,2.8324718475341797,-1.7242878675460815
clean_random_baseline,anchor,55,5504,0.5046397278308868,0.762,0.8397245575210178,889,114,362,635,3.070394992828369,-1.9493831396102905
clean_random_baseline,anchor,60,6016,0.5514012248516083,0.7085,0.847763629872669,522,481,102,895,3.682408571243286,-1.5655567646026611
clean_random_baseline,anchor,65,6528,0.49779915714263917,0.78,0.851617664558981,824,179,261,736,3.1412229537963867,-1.7903740406036377
clean_random_baseline,anchor,70,7008,0.4771290321350098,0.786,0.8563127068143613,824,179,249,748,3.2918999195098877,-2.144317865371704
clean_random_baseline,anchor,75,7520,0.4608654029369354,0.7855,0.8679258113323021,887,116,313,684,3.82519268989563,-2.644727945327759
clean_random_baseline,counterexample_tail,80,8000,0.5207370417118072,0.7355,0.8674398069582626,560,443,86,911,3.6150612831115723,-2.404484510421753
clean_random_baseline,anchor,85,8512,0.4516174209117889,0.79,0.8757158814429329,763,240,180,817,2.8854503631591797,-2.803011417388916
clean_random_baseline,anchor,90,9024,0.4411418603658676,0.792,0.8782989046901422,771,232,184,813,3.260708808898926,-3.3944571018218994
clean_random_baseline,anchor,95,9504,0.43567993116378784,0.806,0.8820549384944464,852,151,237,760,3.1692616939544678,-3.530316114425659
clean_random_baseline,anchor,100,10000,0.4351759090423584,0.7975,0.885937973441761,753,250,155,842,3.727454900741577,-2.8938279151916504
anchor_then_counterexample_tail,anchor,5,512,0.7146586003303528,0.4985,0.6109834988514896,0,1003,0,997,0.46708595752716064,0.44853663444519043
anchor_then_counterexample_tail,anchor,10,1024,0.6980512208938598,0.4985,0.6334947014523131,0,1003,0,997,0.3623131513595581,0.2588821053504944
anchor_then_counterexample_tail,anchor,15,1504,0.6858353242874146,0.556,0.6481578334205007,983,20,868,129,0.0818820595741272,-0.09604787826538086
anchor_then_counterexample_tail,anchor,20,2016,0.6621114048957825,0.6225,0.686937182434642,863,140,615,382,0.31163400411605835,-0.18640923500061035
anchor_then_counterexample_tail,anchor,25,2528,0.6349358806610107,0.6405,0.7154034386309477,581,422,297,700,1.7191718816757202,-0.6643653512001038
