condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.7091202101707459,0.4985,0.6160170441533974,0,1003,0,997,0.46251410245895386,0.4187092185020447
clean_random_baseline,counterexample_tail,10,1024,0.6972494325637817,0.5015,0.6329901969117722,1003,0,997,0,-0.13547945022583008,-0.25070464611053467
clean_random_baseline,anchor,15,1504,0.6977271404266358,0.4985,0.6415107735969623,0,1003,0,997,0.4570983648300171,0.27038460969924927
clean_random_baseline,anchor,20,2016,0.6799750232696533,0.589,0.6464468180213623,424,579,243,754,0.47199195623397827,-0.005386054515838623
clean_random_baseline,anchor,25,2528,0.6495599985122681,0.623,0.6878951910567195,705,298,456,541,0.7142308354377747,-0.33867764472961426
clean_random_baseline,anchor,30,3008,0.637177020072937,0.648,0.7209904889144003,860,143,561,436,0.975165843963623,-1.3112255334854126
clean_random_baseline,anchor,35,3520,0.6159512989521027,0.685,0.7451847066623599,633,370,260,737,1.5822312831878662,-0.8631319403648376
clean_random_baseline,anchor,40,4000,0.6467064523696899,0.582,0.7630058670528035,212,791,45,952,1.9503682851791382,-0.6586539149284363
clean_random_baseline,anchor,45,4512,0.5973162384033203,0.661,0.7942411481703336,441,562,116,881,2.592015266418457,-1.2363141775131226
clean_random_baseline,anchor,50,5024,0.5206201059818267,0.731,0.8233014097126874,715,288,250,747,2.796222686767578,-1.708359718322754
clean_random_baseline,anchor,55,5504,0.5057731654644012,0.762,0.8391325521929698,892,111,365,632,3.031379461288452,-1.9244427680969238
clean_random_baseline,anchor,60,6016,0.5405588972568512,0.7165,0.8482036338327045,550,453,114,883,3.6262567043304443,-1.6039965152740479
clean_random_baseline,anchor,65,6528,0.49607965517044067,0.781,0.85234567111104,833,170,268,729,3.1106419563293457,-1.8570852279663086
clean_random_baseline,anchor,70,7008,0.47702366733551027,0.7855,0.8566227096043864,836,167,262,735,3.2172861099243164,-2.1797304153442383
clean_random_baseline,anchor,75,7520,0.4612237305641174,0.782,0.86814781333032,885,118,318,679,3.7020792961120605,-2.6477057933807373
clean_random_baseline,counterexample_tail,80,8000,0.5236048827171326,0.735,0.8672988056892512,557,446,84,913,3.5134801864624023,-2.4351890087127686
clean_random_baseline,anchor,85,8512,0.45337777423858644,0.789,0.8749448745038705,756,247,175,822,2.837878704071045,-2.8413193225860596
clean_random_baseline,anchor,90,9024,0.4437918961048126,0.789,0.8775218976970793,757,246,176,821,3.238368034362793,-3.4156250953674316
clean_random_baseline,anchor,95,9504,0.43510180234909057,0.8045,0.8817239355154196,843,160,231,766,3.2398433685302734,-3.5408520698547363
clean_random_baseline,anchor,100,10000,0.4289254674911499,0.8005,0.885937973441761,785,218,181,816,3.8215479850769043,-2.8677613735198975
anchor_then_counterexample_tail,anchor,5,512,0.7146634945869446,0.4985,0.6110559995039956,0,1003,0,997,0.4670347571372986,0.44853293895721436
anchor_then_counterexample_tail,anchor,10,1024,0.698142454624176,0.4985,0.6335502019518175,0,1003,0,997,0.3634911775588989,0.2603382468223572
anchor_then_counterexample_tail,anchor,15,1504,0.6859041948318482,0.556,0.6478433305899753,983,20,868,129,0.08260267972946167,-0.09751331806182861
anchor_then_counterexample_tail,anchor,20,2016,0.6623822221755982,0.621,0.6875171876546889,867,136,622,375,0.3101603388786316,-0.19406139850616455
anchor_then_counterexample_tail,anchor,25,2528,0.6342914938926697,0.6415,0.7152034368309315,586,417,300,697,1.7003337144851685,-0.6740421652793884
