condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.8765774898529053,0.5015,0.5990448914040226,1003,0,997,0,-1.101157546043396,-1.1119540929794312
clean_random_baseline,counterexample_tail,10,1024,0.7586189594268798,0.5015,0.6008694078246704,1003,0,997,0,-0.6378731727600098,-0.7071357369422913
clean_random_baseline,anchor,15,1504,0.8293915615081787,0.5015,0.6124910124191119,1003,0,997,0,-0.8731804490089417,-0.9647659063339233
clean_random_baseline,anchor,20,2016,0.6863921642303467,0.5675,0.6055864502780526,794,209,656,341,0.17366629838943481,-0.14930039644241333
clean_random_baseline,anchor,25,2528,0.6862848653793335,0.572,0.6074574671172039,634,369,487,510,0.2203679382801056,-0.09143954515457153
clean_random_baseline,anchor,30,3008,0.686745614528656,0.557,0.6122605103445931,943,60,826,171,0.16436974704265594,-0.17927026748657227
clean_random_baseline,anchor,35,3520,0.688885066986084,0.4985,0.6111084999764999,0,1003,0,997,0.5516011714935303,0.29271984100341797
clean_random_baseline,anchor,40,4000,0.6904747686386108,0.5565,0.6093179838618548,949,54,833,164,0.13444370031356812,-0.1789863109588623
clean_random_baseline,anchor,45,4512,0.6956185216903686,0.4985,0.6206205855852703,0,1003,0,997,0.8575782775878906,0.31429609656333923
clean_random_baseline,anchor,50,5024,0.7353065276145935,0.4985,0.6258466326196936,0,1003,0,997,1.1367161273956299,0.5130268335342407
clean_random_baseline,anchor,55,5504,0.67677019739151,0.5765,0.6250326252936277,787,216,631,366,0.5164066553115845,-0.06519293785095215
clean_random_baseline,anchor,60,6016,0.6960488758087158,0.4985,0.6284266558399025,0,1003,0,997,0.816532552242279,0.23069173097610474
clean_random_baseline,anchor,65,6528,0.6916061611175537,0.5205,0.6318126863141769,992,11,948,49,0.24229717254638672,-0.4898870885372162
clean_random_baseline,anchor,70,7008,0.6802506337165832,0.574,0.6386282476542289,614,389,463,534,0.4503473937511444,-0.22874963283538818
clean_random_baseline,anchor,75,7520,0.6819422845840454,0.5375,0.631136680230122,111,892,33,964,0.834500789642334,0.011849164962768555
clean_random_baseline,counterexample_tail,80,8000,0.6814276814460755,0.5605,0.6291031619284574,217,786,93,904,1.1641371250152588,0.09674739837646484
clean_random_baseline,anchor,85,8512,0.6746175904273987,0.5755,0.6316996852971677,803,200,649,348,0.8126928210258484,-0.36262640357017517
clean_random_baseline,anchor,90,9024,0.6717266387939453,0.578,0.6371412342711084,636,367,477,520,0.8200888633728027,-0.34102681279182434
clean_random_baseline,anchor,95,9504,0.6823004865646363,0.5815,0.6404347639128752,927,76,761,236,0.7107772827148438,-0.6243650913238525
clean_random_baseline,anchor,100,10000,0.6713210554122925,0.5735,0.6433827904451139,582,421,432,565,0.8405797481536865,-0.35399842262268066
anchor_then_counterexample_tail,anchor,5,512,0.7145670113563538,0.5015,0.5827862450762058,1003,0,997,0,-0.37876230478286743,-0.4389604926109314
anchor_then_counterexample_tail,anchor,10,1024,0.7598399629592896,0.5015,0.6033964305678752,1003,0,997,0,-0.5604775547981262,-0.6007357239723206
anchor_then_counterexample_tail,anchor,15,1504,0.7267060189247131,0.4985,0.603765933893405,0,1003,0,997,0.5027861595153809,0.48021137714385986
anchor_then_counterexample_tail,anchor,20,2016,0.7071165528297424,0.4985,0.5963038667348006,0,1003,0,997,0.2973911762237549,0.26841872930526733
anchor_then_counterexample_tail,anchor,25,2528,0.6852261595726014,0.5685,0.6092694834253508,889,114,749,248,0.06276212632656097,-0.2712251543998718
anchor_then_counterexample_tail,anchor,30,3008,0.7012726316452026,0.4985,0.6131995187956691,0,1003,0,997,0.7268688678741455,0.1360979676246643
anchor_then_counterexample_tail,anchor,35,3520,0.7203034687042237,0.4985,0.6195610760496845,0,1003,0,997,0.9037653207778931,0.34309571981430054
anchor_then_counterexample_tail,anchor,40,4000,0.6836942739486694,0.57,0.6173535561820056,824,179,681,316,0.19976535439491272,-0.16742420196533203
anchor_then_counterexample_tail,anchor,45,4512,0.679441032409668,0.5725,0.6197385776471988,794,209,646,351,0.4905952215194702,-0.30725523829460144
anchor_then_counterexample_tail,anchor,50,5024,0.679814832687378,0.5795,0.6218325964933684,379,624,217,780,0.9082072973251343,-0.04572772979736328
anchor_then_counterexample_tail,anchor,55,5504,0.6779793076515198,0.58,0.6299226693040237,514,489,351,646,0.7491614818572998,-0.2252926528453827
anchor_then_counterexample_tail,anchor,60,6016,0.6771037960052491,0.578,0.6302116719050471,781,222,622,375,0.5259000062942505,-0.22549471259117126
anchor_then_counterexample_tail,anchor,65,6528,0.6983989953994751,0.499,0.6321866896802071,1,1002,0,997,1.1986353397369385,0.1678185760974884
anchor_then_counterexample_tail,anchor,70,7008,0.7167729749679566,0.546,0.6300166701500314,979,24,884,113,0.6123359203338623,-0.8804916143417358
anchor_then_counterexample_tail,anchor,75,7520,0.6839339265823364,0.575,0.6330626975642781,909,94,756,241,0.7754709720611572,-0.5431939959526062
anchor_then_counterexample_tail,anchor,80,8000,0.6901133737564087,0.504,0.6374217367956312,11,992,0,997,1.4278693199157715,0.014566123485565186
anchor_then_counterexample_tail,anchor,85,8512,0.6803820018768311,0.5765,0.6386437477937301,872,131,716,281,0.9382121562957764,-0.6740214824676514
anchor_then_counterexample_tail,counterexample_tail,90,9024,0.6990706758499146,0.5685,0.6423627812650314,947,56,807,190,0.8818870782852173,-0.8750934600830078
anchor_then_counterexample_tail,counterexample_tail,95,9504,0.6842200803756714,0.5925,0.6692200229802068,364,639,176,821,0.4846821427345276,-0.19427752494812012
anchor_then_counterexample_tail,counterexample_tail,100,10000,0.7104295382499695,0.4465,0.408222173999566,119,884,223,774,-0.012152919545769691,-0.20871007442474365
