condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.6967712802886963,0.521,0.6031774285968574,990,13,945,52,-0.04328777641057968,-0.24844714999198914
clean_random_baseline,counterexample_tail,10,1024,0.6896889219284058,0.5125,0.6415817742359682,998,5,970,27,-0.10941693186759949,-0.43640151619911194
clean_random_baseline,anchor,15,1504,0.6845313405990601,0.499,0.6667070003630032,1,1002,0,997,0.6588609218597412,0.16195251047611237
clean_random_baseline,anchor,20,2016,0.6365708651542663,0.6285,0.6965192686734181,687,316,427,570,0.7321383953094482,-0.3072519898414612
clean_random_baseline,anchor,25,2528,0.6166239619255066,0.662,0.7357996221965999,827,176,500,497,0.5484371185302734,-0.7149173021316528
clean_random_baseline,anchor,30,3008,0.6185622777938843,0.662,0.7543857894721051,911,92,584,413,0.3163585662841797,-1.1720354557037354
clean_random_baseline,anchor,35,3520,0.5832712624073029,0.689,0.7680369123322109,719,284,338,659,1.162545919418335,-1.195073127746582
clean_random_baseline,anchor,40,4000,0.6095705223083496,0.654,0.7843820594385349,401,602,90,907,1.7024794816970825,-0.810465931892395
clean_random_baseline,anchor,45,4512,0.5664713771343232,0.691,0.8190838717548458,495,508,110,887,1.7708406448364258,-1.3517112731933594
clean_random_baseline,anchor,50,5024,0.5195290784835815,0.736,0.8356390207511868,898,105,423,574,1.8132481575012207,-2.077899932861328
clean_random_baseline,anchor,55,5504,0.518363821029663,0.7325,0.8423195808762278,903,100,435,562,2.0683112144470215,-2.3439431190490723
clean_random_baseline,anchor,60,6016,0.5191027636528015,0.7385,0.8544726902542124,587,416,107,890,2.7932684421539307,-2.5232601165771484
clean_random_baseline,anchor,65,6528,0.4816724672317505,0.7745,0.8544026896242066,817,186,265,732,2.4851651191711426,-3.0517921447753906
clean_random_baseline,anchor,70,7008,0.4802075138092041,0.767,0.8593677343096089,834,169,297,700,2.524263620376587,-2.853372097015381
clean_random_baseline,anchor,75,7520,0.4592673420906067,0.785,0.8681478133303201,775,228,202,795,3.8037188053131104,-2.745648145675659
clean_random_baseline,counterexample_tail,80,8000,0.5905281014442444,0.6885,0.877170894538051,415,588,35,962,4.358001232147217,-2.5171241760253906
clean_random_baseline,anchor,85,8512,0.4668130869865417,0.7755,0.8784519060671545,695,308,141,856,3.327329158782959,-2.62374210357666
clean_random_baseline,anchor,90,9024,0.43639432764053343,0.789,0.8784149057341517,835,168,254,743,3.467175006866455,-3.3981714248657227
clean_random_baseline,anchor,95,9504,0.4477229845523834,0.7885,0.8822999406994665,909,94,329,668,3.4966964721679688,-3.7841954231262207
clean_random_baseline,anchor,100,10000,0.4248806183338165,0.803,0.8859779738017641,797,206,188,809,3.9696452617645264,-3.4068446159362793
anchor_then_counterexample_tail,anchor,5,512,0.6855359697341918,0.5535,0.6122500102500923,930,73,820,177,0.32432809472084045,0.07803711295127869
anchor_then_counterexample_tail,anchor,10,1024,0.6669094519615173,0.572,0.6391717525457729,629,374,482,515,0.9755718111991882,0.42166903614997864
anchor_then_counterexample_tail,anchor,15,1504,0.6527155680656433,0.6135,0.6797511177600599,825,178,595,402,0.944274365901947,-0.030492708086967468
anchor_then_counterexample_tail,anchor,20,2016,0.6508586468696594,0.6365,0.7353506181555634,913,90,637,360,1.0933057069778442,-0.704638659954071
anchor_then_counterexample_tail,anchor,25,2528,0.5885395226478577,0.686,0.7616208545876912,667,336,292,705,1.824730634689331,-0.3694431781768799
anchor_then_counterexample_tail,anchor,30,3008,0.5848224103450775,0.6975,0.7811940307462767,609,394,211,786,1.4672839641571045,-1.2824304103851318
anchor_then_counterexample_tail,anchor,35,3520,0.5682599968910217,0.703,0.7918911270201432,612,391,203,794,2.6543707847595215,-1.4961230754852295
anchor_then_counterexample_tail,anchor,40,4000,0.7258295516967773,0.525,0.8179328613957525,58,945,5,992,2.2739951610565186,-0.0592779815196991
anchor_then_counterexample_tail,anchor,45,4512,0.5377805616855621,0.7475,0.818568367115304,721,282,223,774,2.1570844650268555,-0.5772739052772522
anchor_then_counterexample_tail,anchor,50,5024,0.5292966430187225,0.745,0.8235594120347083,817,186,324,673,3.128523349761963,-1.4241576194763184
anchor_then_counterexample_tail,anchor,55,5504,0.5007777910232544,0.756,0.8430305872752855,713,290,198,799,3.355591297149658,-1.6657624244689941
anchor_then_counterexample_tail,anchor,60,6016,0.4917393441200256,0.7535,0.8538096842871585,676,327,166,831,3.747054100036621,-1.4361634254455566
