condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,1.6572264862060546,0.4985,0.422246800221202,0,1003,0,997,2.6754684448242188,2.968740940093994
clean_random_baseline,counterexample_tail,10,1024,0.898362373828888,0.5015,0.595198356785211,1003,0,997,0,-1.189715027809143,-1.224668264389038
clean_random_baseline,anchor,15,1504,0.8710378227233887,0.4985,0.5815997343976096,0,1003,0,997,1.2627569437026978,1.2403196096420288
clean_random_baseline,anchor,20,2016,0.7469070043563842,0.5015,0.5618795569160122,1003,0,997,0,-0.6678897142410278,-0.6551475524902344
clean_random_baseline,anchor,25,2528,0.7430901460647583,0.5015,0.5956128605157447,1003,0,997,0,-0.6210060119628906,-0.6216847896575928
clean_random_baseline,anchor,30,3008,0.7216595587730408,0.5015,0.5947398526586739,1003,0,997,0,-0.45901060104370117,-0.46328651905059814
clean_random_baseline,anchor,35,3520,0.6894529638290405,0.565,0.5997593978345805,722,281,589,408,0.043078698217868805,0.02561282552778721
clean_random_baseline,anchor,40,4000,0.6900224628448486,0.4985,0.602701924317319,0,1003,0,997,0.3650810122489929,0.31699374318122864
clean_random_baseline,anchor,45,4512,0.7000356383323669,0.4985,0.6070404633641703,0,1003,0,997,0.7439289689064026,0.6593214273452759
clean_random_baseline,anchor,50,5024,0.6910789451599121,0.4985,0.6137130234172108,0,1003,0,997,0.2508578300476074,0.2166634202003479
clean_random_baseline,anchor,55,5504,0.7052256326675415,0.5015,0.61123400110601,1003,0,997,0,-0.29253292083740234,-0.3034811019897461
clean_random_baseline,anchor,60,6016,0.6833556604385376,0.5605,0.6178225604030436,834,169,710,287,0.11162431538105011,0.04085938632488251
clean_random_baseline,anchor,65,6528,0.6882310304641723,0.5585,0.6226616039544356,868,135,748,249,0.15557406842708588,-0.027310296893119812
clean_random_baseline,anchor,70,7008,0.6844889931678771,0.563,0.6319526875741882,883,120,754,243,0.032461561262607574,-0.046975888311862946
clean_random_baseline,anchor,75,7520,0.6935734844207764,0.4985,0.6392192529732768,0,1003,0,997,0.4796794652938843,0.3898297846317291
clean_random_baseline,counterexample_tail,80,8000,0.752938190460205,0.4985,0.6410667696009265,0,1003,0,997,1.0104719400405884,0.8922250270843506
clean_random_baseline,anchor,85,8512,0.6974134397506714,0.4985,0.6423097807880271,0,1003,0,997,0.5700159072875977,0.4879106879234314
clean_random_baseline,anchor,90,9024,0.6642937297821045,0.5765,0.6481518333665003,602,401,446,551,0.8838635087013245,0.6097052693367004
clean_random_baseline,anchor,95,9504,0.6575484571456909,0.6105,0.6649569846128616,763,240,539,458,0.42987000942230225,0.19332879781723022
clean_random_baseline,anchor,100,10000,0.6841556072235108,0.5595,0.6944082496742471,183,820,61,936,1.0086489915847778,0.7784165143966675
anchor_then_counterexample_tail,anchor,5,512,2.381353862762451,0.4985,0.4762517862660764,0,1003,0,997,4.2423624992370605,4.0541863441467285
anchor_then_counterexample_tail,anchor,10,1024,0.7490842380523681,0.4985,0.5658780929028362,0,1003,0,997,0.8211702704429626,0.7721672058105469
anchor_then_counterexample_tail,anchor,15,1504,0.6935715360641479,0.5015,0.6083754753792784,1003,0,997,0,-0.11640520393848419,-0.13792452216148376
anchor_then_counterexample_tail,anchor,20,2016,0.6938574619293213,0.4985,0.5293742643683793,0,1003,0,997,0.05728142708539963,0.06732609868049622
anchor_then_counterexample_tail,anchor,25,2528,0.6915708742141724,0.4985,0.6125380128421156,0,1003,0,997,0.21800652146339417,0.17049387097358704
anchor_then_counterexample_tail,anchor,30,3008,0.7286474480628967,0.4985,0.6146510318592867,0,1003,0,997,0.7301757335662842,0.6455416083335876
anchor_then_counterexample_tail,anchor,35,3520,0.6825705862045288,0.5635,0.6172455552099968,834,169,704,293,0.11264915764331818,-0.03155181556940079
anchor_then_counterexample_tail,anchor,40,4000,0.7493564023971557,0.4985,0.6198705788352096,0,1003,0,997,1.1239715814590454,0.9302634000778198
anchor_then_counterexample_tail,anchor,45,4512,0.6736059617996216,0.57,0.6249046241416173,631,372,488,509,0.5965311527252197,0.25769907236099243
anchor_then_counterexample_tail,anchor,50,5024,0.682372507572174,0.5775,0.6335537019833178,902,101,744,253,0.14295142889022827,-0.04750065132975578
anchor_then_counterexample_tail,anchor,55,5504,0.6796659970283508,0.5425,0.6416207745869713,106,897,18,979,0.7622790336608887,0.44847095012664795
anchor_then_counterexample_tail,anchor,60,6016,0.6676430521011353,0.6005,0.6563029067261605,490,513,286,711,0.7906599044799805,0.3585450351238251
anchor_then_counterexample_tail,anchor,65,6528,0.6314866781234741,0.6395,0.7127479147312326,868,135,586,411,0.17915263772010803,-0.3950851857662201
anchor_then_counterexample_tail,anchor,70,7008,0.6322761301994324,0.651,0.728112053008477,881,122,576,421,-0.30062612891197205,-1.0464166402816772
anchor_then_counterexample_tail,anchor,75,7520,0.6543706278800965,0.6585,0.7549257943321489,921,82,601,396,0.0035567432641983032,-1.5443284511566162
anchor_then_counterexample_tail,anchor,80,8000,0.583096182346344,0.697,0.7662168959520637,779,224,382,615,0.7923221588134766,-0.36171281337738037
anchor_then_counterexample_tail,anchor,85,8512,0.5956358165740967,0.682,0.75481579334214,851,152,484,513,0.7701089382171631,-0.18924742937088013
anchor_then_counterexample_tail,counterexample_tail,90,9024,0.6090093865394592,0.6615,0.7295575660180942,762,241,436,561,2.706300735473633,0.16536401212215424
anchor_then_counterexample_tail,counterexample_tail,95,9504,0.6955980215072631,0.4985,0.40201311811806306,0,1003,0,997,0.10082706809043884,0.11256115138530731
anchor_then_counterexample_tail,counterexample_tail,100,10000,0.6961797032356262,0.5015,0.31259681337132034,1003,0,997,0,-0.15985828638076782,-0.15479575097560883
