condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.7068287944793701,0.4985,0.5809437284935565,0,1003,0,997,0.22037580609321594,0.4359365701675415
clean_random_baseline,counterexample_tail,10,1024,1.2347847156524658,0.5015,0.6031604284438561,1003,0,997,0,-2.013795852661133,-2.1654019355773926
clean_random_baseline,anchor,15,1504,1.1615716438293457,0.5015,0.6112585013265119,1003,0,997,0,-1.646790623664856,-2.005274772644043
clean_random_baseline,anchor,20,2016,0.7726763381958007,0.5015,0.6038954350589155,1003,0,997,0,-0.5374650955200195,-0.8770935535430908
clean_random_baseline,anchor,25,2528,0.7479127335548401,0.4985,0.6014974134767213,0,1003,0,997,0.8201571702957153,0.6871843934059143
clean_random_baseline,anchor,30,3008,0.6861790590286255,0.554,0.611581004229038,904,99,793,204,0.037606269121170044,-0.25996172428131104
clean_random_baseline,anchor,35,3520,0.6788770904541016,0.567,0.6110514994634952,589,414,452,545,0.33697208762168884,0.12601850926876068
clean_random_baseline,anchor,40,4000,0.8252513246536255,0.5015,0.6079454715092436,1003,0,997,0,-0.5328521728515625,-0.8681654334068298
clean_random_baseline,anchor,45,4512,0.6832283401489258,0.52,0.6240936168425516,69,934,26,971,0.4807835817337036,0.16894212365150452
clean_random_baseline,anchor,50,5024,1.0337447400093078,0.4985,0.6266391397522578,0,1003,0,997,1.8006885051727295,1.5982069969177246
clean_random_baseline,anchor,55,5504,0.6761501588821411,0.5685,0.6155975403778634,718,285,578,419,0.2519950866699219,0.05690925568342209
clean_random_baseline,anchor,60,6016,0.8593343696594238,0.4985,0.6246606219455975,0,1003,0,997,0.9630672931671143,0.8475110530853271
clean_random_baseline,anchor,65,6528,0.6805588293075562,0.5865,0.6429412864715783,766,237,590,407,0.05452173948287964,-0.24680960178375244
clean_random_baseline,anchor,70,7008,0.6900940461158752,0.5425,0.6238836149525345,977,26,889,108,-0.16557273268699646,-0.4237358570098877
clean_random_baseline,anchor,75,7520,0.6799171233177185,0.575,0.6227236045124407,724,279,571,426,0.43283510208129883,-0.12025214731693268
clean_random_baseline,counterexample_tail,80,8000,0.6723352975845337,0.566,0.6313556822011399,576,427,441,556,0.6022973656654358,-0.045623779296875
clean_random_baseline,anchor,85,8512,0.6686135873794555,0.5755,0.6329991969927729,622,381,468,529,0.5718272924423218,-0.33920595049858093
clean_random_baseline,anchor,90,9024,0.7265312795639038,0.4985,0.6248601237411138,0,1003,0,997,0.6694880723953247,0.16289734840393066
clean_random_baseline,anchor,95,9504,0.6750421986579895,0.5905,0.6391172520552685,778,225,594,403,0.1348353922367096,-0.47714489698410034
clean_random_baseline,anchor,100,10000,0.6715722994804383,0.5785,0.642061778556007,676,327,516,481,0.05725443363189697,-0.3799774646759033
anchor_then_counterexample_tail,anchor,5,512,0.7597487030029297,0.5015,0.594518350665156,1003,0,997,0,-0.6336791515350342,-0.6968040466308594
anchor_then_counterexample_tail,anchor,10,1024,0.8403449902534484,0.5015,0.5938273444461001,1003,0,997,0,-0.7057545781135559,-0.8473296165466309
anchor_then_counterexample_tail,anchor,15,1504,0.7711274824142456,0.4985,0.6085734771612945,0,1003,0,997,0.8597124814987183,0.7980049848556519
anchor_then_counterexample_tail,anchor,20,2016,0.6929272804260254,0.5025,0.6100424903824134,8,995,0,997,0.5198982954025269,0.26147228479385376
anchor_then_counterexample_tail,anchor,25,2528,0.6838679957389832,0.5585,0.6098954890594015,369,634,249,748,0.5799235105514526,0.12636259198188782
anchor_then_counterexample_tail,anchor,30,3008,0.7649401369094848,0.4985,0.6158545426908842,0,1003,0,997,1.0400903224945068,0.5288395881652832
anchor_then_counterexample_tail,anchor,35,3520,0.7055497484207154,0.4985,0.6234386109474985,0,1003,0,997,0.5635933876037598,0.15594187378883362
anchor_then_counterexample_tail,anchor,40,4000,0.700835855960846,0.5025,0.6213420920788287,1002,1,994,3,-0.22744709253311157,-0.5057039856910706
anchor_then_counterexample_tail,anchor,45,4512,0.712797339439392,0.5565,0.6202225820032381,938,65,822,175,-0.06482361257076263,-0.6733897924423218
anchor_then_counterexample_tail,anchor,50,5024,0.7318300409317017,0.4985,0.6335377018393166,0,1003,0,997,0.9516677856445312,0.2946893870830536
anchor_then_counterexample_tail,anchor,55,5504,0.7244709877967834,0.4985,0.6496023464211177,0,1003,0,997,0.7266366481781006,0.18606199324131012
anchor_then_counterexample_tail,anchor,60,6016,0.671672996044159,0.5725,0.630518674668072,660,343,512,485,0.38299643993377686,-0.1530296802520752
anchor_then_counterexample_tail,anchor,65,6528,0.741535258769989,0.4985,0.645937813440321,0,1003,0,997,0.7910993099212646,0.1503555178642273
anchor_then_counterexample_tail,anchor,70,7008,0.8201515383720398,0.5135,0.6346707120364083,999,4,969,28,-0.23321077227592468,-1.2519993782043457
anchor_then_counterexample_tail,anchor,75,7520,0.6667323408126831,0.577,0.6381047429426865,660,343,503,494,0.4783141613006592,-0.31432294845581055
anchor_then_counterexample_tail,anchor,80,8000,0.7343904938697815,0.4985,0.6500548504936544,0,1003,0,997,0.8956337571144104,0.2957788109779358
anchor_then_counterexample_tail,anchor,85,8512,0.7151253089904785,0.5605,0.6458458126123134,972,31,848,149,0.027479052543640137,-0.9132367372512817
anchor_then_counterexample_tail,counterexample_tail,90,9024,0.682253170967102,0.5635,0.6685810172291551,958,45,828,169,0.1672484576702118,-0.9301923513412476
anchor_then_counterexample_tail,counterexample_tail,95,9504,0.7262051973342896,0.446,0.4262058358525227,432,571,537,460,-0.16684946417808533,-0.5226122140884399
anchor_then_counterexample_tail,counterexample_tail,100,10000,0.8596039633750916,0.445,0.38917550257952316,130,873,237,760,-0.11588239669799805,0.04574771970510483
