model,optimizer,status,random_auc,anchor_tail_auc,delta_auc,run_series
cnn,sgd,complete,0.8518556667,0.6201330812,-0.2317225855,legacy-six-model-sweep
cnn,momentum-sgd,diverged,,,,legacy-six-model-sweep
cnn,adam,complete,0.8965030685,0.8415685741,-0.0549344944,legacy-six-model-sweep
cnn,adamw,complete,0.8959410635,0.8367055303,-0.0592355331,legacy-six-model-sweep
lstm,sgd,complete,0.5896003064,0.5862692764,-0.0033310300,legacy-six-model-sweep
lstm,momentum-sgd,complete,0.6726010534,0.3608102473,-0.3117908061,legacy-six-model-sweep
lstm,adam,complete,0.7860520745,0.6672870056,-0.1187650689,legacy-six-model-sweep
lstm,adamw,complete,0.8054762493,0.5917013253,-0.2137749240,legacy-six-model-sweep
gnn,sgd,complete,0.6647894831,0.6675975084,+0.0028080253,legacy-six-model-sweep
gnn,momentum-sgd,complete,0.8041372372,0.2415181737,-0.5626190636,legacy-six-model-sweep
gnn,adam,complete,0.8828849460,0.8632782695,-0.0196066765,legacy-six-model-sweep
gnn,adamw,complete,0.8829909469,0.8634227708,-0.0195681761,legacy-six-model-sweep
transformer-encoder,sgd,complete,0.6420617786,0.3891755026,-0.2528862760,legacy-six-model-sweep
transformer-encoder,momentum-sgd,complete,0.6944082497,0.3125968134,-0.3818114363,legacy-six-model-sweep
transformer-encoder,adam,complete,0.8865689791,0.6601489413,-0.2264200378,legacy-six-model-sweep
transformer-encoder,adamw,complete,0.8859779738,0.6688500197,-0.2171279542,legacy-six-model-sweep
transformer-decoder,sgd,complete,0.5752281771,0.4645521810,-0.1106759961,legacy-six-model-sweep
transformer-decoder,momentum-sgd,complete,0.6883946956,0.4392229530,-0.2491717425,legacy-six-model-sweep
transformer-decoder,adam,complete,0.8503626533,0.5940848468,-0.2562778065,legacy-six-model-sweep
transformer-decoder,adamw,complete,0.8506256556,0.5886362977,-0.2619893579,legacy-six-model-sweep
transformer-encoder-decoder,sgd,complete,0.6433827904,0.4082221740,-0.2351606164,legacy-six-model-sweep
transformer-encoder-decoder,momentum-sgd,complete,0.4395904563,0.5772001948,+0.1376097385,legacy-six-model-sweep
transformer-encoder-decoder,adam,complete,0.8859379734,0.2757839821,-0.6101539914,legacy-six-model-sweep
transformer-encoder-decoder,adamw,complete,0.8859379734,0.3161868457,-0.5697511278,legacy-six-model-sweep
linear-fixed-features,sgd,complete,0.7905775905,0.7912826538,+0.0007050633,added-four-model-sweep
linear-fixed-features,momentum-sgd,complete,0.8030767441,0.7964426279,-0.0066341162,added-four-model-sweep
linear-fixed-features,adam,complete,0.8896585107,0.8866999745,-0.0029585361,added-four-model-sweep
linear-fixed-features,adamw,complete,0.8896640539,0.8867219687,-0.0029420853,added-four-model-sweep
mean-pool-mlp,sgd,complete,0.7211394906,0.7258695364,+0.0047300458,added-four-model-sweep
mean-pool-mlp,momentum-sgd,complete,0.8047822714,0.1955007613,-0.6092815101,added-four-model-sweep
mean-pool-mlp,adam,complete,0.8824799061,0.8705858588,-0.0118940473,added-four-model-sweep
mean-pool-mlp,adamw,complete,0.8825919628,0.8708428741,-0.0117490888,added-four-model-sweep
gru,sgd,complete,0.5857082605,0.5470839143,-0.0386243463,added-four-model-sweep
gru,momentum-sgd,complete,0.6851451397,0.2766984701,-0.4084466696,added-four-model-sweep
gru,adam,complete,0.8429296017,0.3141988218,-0.5287307799,added-four-model-sweep
gru,adamw,complete,0.8416525722,0.4293998480,-0.4122527242,added-four-model-sweep
tcn,sgd,complete,0.5396888256,0.5375368595,-0.0021519661,added-four-model-sweep
tcn,momentum-sgd,complete,0.5130141377,0.4842593670,-0.0287547708,added-four-model-sweep
tcn,adam,complete,0.6414347887,0.5610440373,-0.0803907514,added-four-model-sweep
tcn,adamw,complete,0.6412147880,0.5340727568,-0.1071420312,added-four-model-sweep
rnn,sgd,complete,0.5770342350,0.5032120347,-0.0738222003,vanilla-rnn-sweep
rnn,momentum-sgd,complete,0.5142266154,0.5029500127,-0.0112766027,vanilla-rnn-sweep
rnn,adam,complete,0.6995767951,0.5677856207,-0.1317911744,vanilla-rnn-sweep
rnn,adamw,complete,0.5994908810,0.4091907144,-0.1903001666,vanilla-rnn-sweep
