condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.6972905588150025,0.5264999866485596,0.5393244028091431,514,489,458,539,0.6065182685852051,0.4437905550003052
clean_random_baseline,counterexample_tail,10,1024,0.6936693763732911,0.5264999866485596,0.5487658977508545,546,457,490,507,0.6386374235153198,0.36614352464675903
clean_random_baseline,anchor,15,1504,0.6896221122741699,0.5385000109672546,0.559950053691864,534,469,454,543,0.6135011911392212,0.294342964887619
clean_random_baseline,anchor,20,2016,0.6880557150840759,0.5394999980926514,0.5711711645126343,373,630,291,706,0.5755399465560913,0.31689754128456116
clean_random_baseline,anchor,25,2528,0.6870989217758179,0.5550000071525574,0.5740981698036194,394,609,281,716,0.528613805770874,0.23082050681114197
clean_random_baseline,anchor,30,3008,0.6847571105957031,0.5619999766349792,0.5769522190093994,501,502,374,623,0.42624831199645996,0.0208682119846344
clean_random_baseline,anchor,35,3520,0.68319810962677,0.5659999847412109,0.5808292031288147,545,458,410,587,0.3995243310928345,0.014413535594940186
clean_random_baseline,anchor,40,4000,0.681940242767334,0.5684999823570251,0.5850692987442017,579,424,439,558,0.32708269357681274,0.148586243391037
clean_random_baseline,anchor,45,4512,0.6818755474090576,0.5669999718666077,0.5870802998542786,500,503,363,634,0.2565397620201111,0.24383661150932312
clean_random_baseline,anchor,50,5024,0.6784074130058289,0.5630000233650208,0.6027514338493347,421,582,292,705,0.21981707215309143,0.34069788455963135
clean_random_baseline,anchor,55,5504,0.6692934594154358,0.5845000147819519,0.6245155930519104,498,505,326,671,0.30349820852279663,0.35479360818862915
clean_random_baseline,anchor,60,6016,0.6398145322799682,0.6430000066757202,0.6936657428741455,601,402,312,685,0.3663484752178192,0.4017671048641205
clean_random_baseline,anchor,65,6528,0.6604783129692078,0.5950000286102295,0.6454517841339111,556,447,363,634,0.48443442583084106,0.3176216185092926
clean_random_baseline,anchor,70,7008,0.6482251057624817,0.6309999823570251,0.6771321296691895,576,427,311,686,0.4681798815727234,0.24151408672332764
clean_random_baseline,anchor,75,7520,0.6720790042877197,0.6019999980926514,0.6452717781066895,339,664,132,865,0.35237541794776917,0.13668964803218842
clean_random_baseline,counterexample_tail,80,8000,0.6836009435653686,0.5615000128746033,0.5807161927223206,495,508,369,628,0.2732979953289032,0.00330410897731781
clean_random_baseline,anchor,85,8512,0.6551379480361939,0.6140000224113464,0.6571089029312134,597,406,366,631,0.40358543395996094,-0.24750003218650818
clean_random_baseline,anchor,90,9024,0.6414598774909973,0.6449999809265137,0.6958262324333191,824,179,531,466,0.4784602224826813,-0.33868148922920227
clean_random_baseline,anchor,95,9504,0.6326834764480591,0.6434999704360962,0.7047213315963745,509,494,219,778,0.5319310426712036,-0.28309640288352966
clean_random_baseline,anchor,100,10000,0.6369039692878723,0.6520000100135803,0.6995767951011658,778,225,471,526,0.4717739224433899,-0.20299012959003448
anchor_then_counterexample_tail,anchor,5,512,0.6994423179626464,0.5235000252723694,0.5321862697601318,525,478,475,522,0.5272089242935181,0.511515736579895
anchor_then_counterexample_tail,anchor,10,1024,0.6950841250419617,0.534500002861023,0.5433423519134521,472,531,400,597,0.5219953656196594,0.4522571563720703
anchor_then_counterexample_tail,anchor,15,1504,0.6913155846595764,0.5385000109672546,0.5577650666236877,468,535,388,609,0.646898090839386,0.363836407661438
anchor_then_counterexample_tail,anchor,20,2016,0.6876386423110962,0.5485000014305115,0.569590151309967,557,446,457,540,0.5869879722595215,0.24650156497955322
anchor_then_counterexample_tail,anchor,25,2528,0.6865823421478271,0.5600000023841858,0.576164186000824,530,473,407,590,0.559593915939331,0.14885473251342773
anchor_then_counterexample_tail,anchor,30,3008,0.6856392526626587,0.5490000247955322,0.5797592401504517,569,434,468,529,0.5610794425010681,0.24048155546188354
anchor_then_counterexample_tail,anchor,35,3520,0.6837694902420044,0.5559999942779541,0.5890812873840332,494,509,379,618,0.5895593762397766,0.36845484375953674
anchor_then_counterexample_tail,anchor,40,4000,0.6791326661109924,0.5805000066757202,0.6016014218330383,571,432,407,590,0.6026571989059448,0.36686432361602783
anchor_then_counterexample_tail,anchor,45,4512,0.6686483392715454,0.5995000004768372,0.6332626938819885,513,490,311,686,0.6506276726722717,0.34491848945617676
anchor_then_counterexample_tail,anchor,50,5024,0.8230674800872803,0.5879999995231628,0.6313596963882446,752,251,573,424,0.7116122245788574,0.3689682185649872
anchor_then_counterexample_tail,anchor,55,5504,0.6962377018928528,0.5105000138282776,0.5271177291870117,266,737,242,755,0.48631611466407776,0.37979504466056824
anchor_then_counterexample_tail,anchor,60,6016,0.6768148107528686,0.5730000138282776,0.6006283760070801,774,229,625,372,0.5413789749145508,0.3382068872451782
anchor_then_counterexample_tail,anchor,65,6528,0.6939942402839661,0.5115000009536743,0.540000855922699,258,745,232,765,0.5607661008834839,0.3856438398361206
anchor_then_counterexample_tail,anchor,70,7008,0.6741007642745972,0.578000009059906,0.6087310314178467,794,209,635,362,0.6343897581100464,0.3836309015750885
anchor_then_counterexample_tail,anchor,75,7520,0.6719691510200501,0.5795000195503235,0.6175325512886047,889,114,727,270,0.6592203974723816,0.3751242160797119
anchor_then_counterexample_tail,anchor,80,8000,0.6711042227745057,0.5824999809265137,0.6204835176467896,878,125,710,287,0.699466347694397,0.3760276436805725
anchor_then_counterexample_tail,anchor,85,8512,0.6893263311386109,0.527999997138977,0.5686061382293701,262,741,203,794,0.7418532371520996,0.4569050073623657
anchor_then_counterexample_tail,counterexample_tail,90,9024,0.6764151644706726,0.5764999985694885,0.6296936869621277,911,92,755,242,0.9063577055931091,0.3707824945449829
