condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.6972876267433167,0.5264999866485596,0.5393038392066956,514,489,458,539,0.6063104271888733,0.4436691403388977
clean_random_baseline,counterexample_tail,10,1024,0.6936605014801025,0.5270000100135803,0.5487539768218994,546,457,489,508,0.6382783055305481,0.36590588092803955
clean_random_baseline,anchor,15,1504,0.6896146974563598,0.5385000109672546,0.5599310398101807,534,469,454,543,0.6130169630050659,0.2940562963485718
clean_random_baseline,anchor,20,2016,0.6880477375984192,0.5400000214576721,0.5711750984191895,374,629,291,706,0.5750042200088501,0.3165397047996521
clean_random_baseline,anchor,25,2528,0.6870888242721558,0.5554999709129333,0.5741297006607056,395,608,281,716,0.5280247330665588,0.2304592728614807
clean_random_baseline,anchor,30,3008,0.6847459034919738,0.5615000128746033,0.5769891738891602,501,502,375,622,0.4256865680217743,0.020710811018943787
clean_random_baseline,anchor,35,3520,0.6831832928657532,0.5665000081062317,0.5808717012405396,545,458,409,588,0.39901983737945557,0.01425907015800476
clean_random_baseline,anchor,40,4000,0.6819230389595031,0.5684999823570251,0.5851012468338013,579,424,439,558,0.3266649842262268,0.14816084504127502
clean_random_baseline,anchor,45,4512,0.6818625946044922,0.5674999952316284,0.5871127843856812,501,502,363,634,0.2563447654247284,0.24318303167819977
clean_random_baseline,anchor,50,5024,0.6783794794082642,0.5644999742507935,0.6028473973274231,422,581,290,707,0.2197759449481964,0.33979731798171997
clean_random_baseline,anchor,55,5504,0.6691736440658569,0.5855000019073486,0.6248066425323486,498,505,324,673,0.303214430809021,0.3536786437034607
clean_random_baseline,anchor,60,6016,0.6662830367088318,0.621999979019165,0.6815171241760254,802,201,555,442,0.3588058054447174,0.39136064052581787
clean_random_baseline,anchor,65,6528,0.6653188281059265,0.5914999842643738,0.6482528448104858,415,588,229,768,0.43868714570999146,0.32644253969192505
clean_random_baseline,anchor,70,7008,0.6500696878433228,0.6349999904632568,0.6721960306167603,647,356,374,623,0.4248082637786865,0.20817387104034424
clean_random_baseline,anchor,75,7520,0.7003198328018189,0.5895000100135803,0.6341617107391357,910,93,728,269,0.3987400233745575,0.12957707047462463
clean_random_baseline,counterexample_tail,80,8000,0.6931798563003541,0.5134999752044678,0.5309007167816162,353,650,323,674,0.316096693277359,0.14731037616729736
clean_random_baseline,anchor,85,8512,0.6901376614570618,0.5509999990463257,0.5865122675895691,946,57,841,156,0.4401717782020569,0.012352243065834045
clean_random_baseline,anchor,90,9024,0.6822400360107422,0.5674999952316284,0.5923762917518616,905,98,767,230,0.4598647654056549,0.011140570044517517
clean_random_baseline,anchor,95,9504,0.6797008619308472,0.5709999799728394,0.6001793742179871,901,102,756,241,0.4888104796409607,0.04399058222770691
clean_random_baseline,anchor,100,10000,0.6793883724212646,0.5870000123977661,0.5994908809661865,786,217,609,388,0.5147205591201782,0.08383272588253021
anchor_then_counterexample_tail,anchor,5,512,0.6994391965866089,0.5235000252723694,0.5321613550186157,525,478,475,522,0.5270325541496277,0.5113048553466797
anchor_then_counterexample_tail,anchor,10,1024,0.695071141242981,0.5350000262260437,0.543367862701416,473,530,400,597,0.5217173099517822,0.45191025733947754
anchor_then_counterexample_tail,anchor,15,1504,0.6913000736236572,0.5385000109672546,0.5577550530433655,468,535,388,609,0.6464675068855286,0.3634335994720459
anchor_then_counterexample_tail,anchor,20,2016,0.687622166633606,0.5485000014305115,0.5695891380310059,557,446,457,540,0.5865082144737244,0.24610337615013123
anchor_then_counterexample_tail,anchor,25,2528,0.6865577440261841,0.5600000023841858,0.5761806964874268,530,473,407,590,0.5590474009513855,0.14857783913612366
anchor_then_counterexample_tail,anchor,30,3008,0.6856105365753173,0.5490000247955322,0.5797857046127319,569,434,468,529,0.560470461845398,0.24002668261528015
anchor_then_counterexample_tail,anchor,35,3520,0.6837430801391602,0.5559999942779541,0.5890967845916748,494,509,379,618,0.5889307856559753,0.36781424283981323
anchor_then_counterexample_tail,anchor,40,4000,0.6790973196029663,0.5805000066757202,0.6016324162483215,571,432,407,590,0.6019208431243896,0.366115927696228
anchor_then_counterexample_tail,anchor,45,4512,0.6685216813087463,0.6000000238418579,0.6336027383804321,513,490,310,687,0.6499308943748474,0.34421810507774353
anchor_then_counterexample_tail,anchor,50,5024,0.6489047656059265,0.6215000152587891,0.6748130321502686,569,434,323,674,0.7009774446487427,0.4605666995048523
anchor_then_counterexample_tail,anchor,55,5504,0.652857036113739,0.621999979019165,0.66640305519104,723,280,476,521,0.5559636354446411,0.335058331489563
anchor_then_counterexample_tail,anchor,60,6016,0.6385267829895019,0.6349999904632568,0.6863301992416382,625,378,352,645,0.522203266620636,0.2824711799621582
anchor_then_counterexample_tail,anchor,65,6528,0.633961935043335,0.6439999938011169,0.7180964350700378,475,528,184,813,0.6330141425132751,0.3016740083694458
anchor_then_counterexample_tail,anchor,70,7008,0.6735120453834533,0.5895000100135803,0.6453468203544617,863,140,681,316,0.5649198293685913,0.15461933612823486
anchor_then_counterexample_tail,anchor,75,7520,0.6686959028244018,0.5795000195503235,0.6247836351394653,688,315,526,471,0.5656173825263977,0.1478213667869568
