condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.7987115354537964,0.4970000088214874,0.510994553565979,430,573,433,564,0.5584646463394165,0.5821110010147095
clean_random_baseline,counterexample_tail,10,1024,0.7970489759445191,0.5099999904632568,0.5239726901054382,600,403,577,420,-0.025185227394104004,-0.9054819345474243
clean_random_baseline,anchor,15,1504,0.8282415862083435,0.5120000243186951,0.5151216387748718,454,549,427,570,1.4371097087860107,1.6251320838928223
clean_random_baseline,anchor,20,2016,1.007846573829651,0.49399998784065247,0.5107385516166687,657,346,666,331,-0.46960416436195374,-2.718151569366455
clean_random_baseline,anchor,25,2528,1.0050937194824219,0.5145000219345093,0.5039735436439514,515,488,483,514,-1.034165859222412,2.1418068408966064
clean_random_baseline,anchor,30,3008,1.4986372213363648,0.5,0.5113545656204224,40,963,37,960,0.3793158531188965,-3.0948081016540527
clean_random_baseline,anchor,35,3520,1.2517287740707397,0.49549999833106995,0.5126941204071045,13,990,19,978,0.05458700656890869,2.1023921966552734
clean_random_baseline,anchor,40,4000,1.1195249443054198,0.49549999833106995,0.5383318066596985,5,998,11,986,-2.4021172523498535,2.7772507667541504
clean_random_baseline,anchor,45,4512,0.7546894521713257,0.4970000088214874,0.49255943298339844,530,473,533,464,-1.1617248058319092,2.438453435897827
clean_random_baseline,anchor,50,5024,0.8151512875556945,0.4894999861717224,0.490854412317276,715,288,733,264,-2.517852306365967,2.9606127738952637
clean_random_baseline,anchor,55,5504,0.7273355937004089,0.5335000157356262,0.5278447866439819,399,604,329,668,-1.3382976055145264,1.3394434452056885
clean_random_baseline,anchor,60,6016,1.3728464622497558,0.5015000104904175,0.5054730176925659,1003,0,997,0,-1.3451120853424072,0.20305369794368744
clean_random_baseline,anchor,65,6528,0.9076402959823608,0.5055000185966492,0.5370603203773499,97,906,83,914,-0.6906947493553162,-0.18761706352233887
clean_random_baseline,anchor,70,7008,0.766974666595459,0.5139999985694885,0.5405658483505249,221,782,190,807,-1.6126377582550049,1.347806453704834
clean_random_baseline,anchor,75,7520,0.8048322377204895,0.4959999918937683,0.5396208763122559,55,948,60,937,-1.5802668333053589,2.3186752796173096
clean_random_baseline,counterexample_tail,80,8000,0.7273207807540893,0.5195000171661377,0.5181626081466675,662,341,620,377,-0.8986009359359741,1.4329462051391602
clean_random_baseline,anchor,85,8512,1.5249410648345947,0.49900001287460327,0.5295697450637817,2,1001,1,996,-1.7976903915405273,1.4545667171478271
clean_random_baseline,anchor,90,9024,2.554766845703125,0.5015000104904175,0.48044830560684204,1003,0,997,0,0.8048437237739563,-0.6366280913352966
clean_random_baseline,anchor,95,9504,6.706118953704834,0.5009999871253967,0.5178301334381104,1002,1,997,0,4.108824253082275,-4.744059085845947
clean_random_baseline,anchor,100,10000,2.6677308349609374,0.5019999742507935,0.5142266154289246,1002,1,995,2,5.42232608795166,-0.9930209517478943
anchor_then_counterexample_tail,anchor,5,512,0.7553765730857849,0.49950000643730164,0.4939584732055664,452,551,450,547,-0.5889705419540405,0.9892852902412415
anchor_then_counterexample_tail,anchor,10,1024,0.7756653146743775,0.5329999923706055,0.538831353187561,480,523,411,586,0.844753623008728,-1.495354413986206
anchor_then_counterexample_tail,anchor,15,1504,0.8713185262680053,0.5444999933242798,0.5528199672698975,571,432,479,518,2.068589210510254,0.35187745094299316
anchor_then_counterexample_tail,anchor,20,2016,0.9758366394042969,0.5199999809265137,0.5215836763381958,658,345,615,382,-0.06754861027002335,-0.7244769334793091
anchor_then_counterexample_tail,anchor,25,2528,0.8612176308631897,0.5235000252723694,0.5329468250274658,543,460,493,504,-0.8856565952301025,-0.8397752046585083
anchor_then_counterexample_tail,anchor,30,3008,1.0859368877410889,0.5105000138282776,0.5181006193161011,853,150,829,168,0.9965276718139648,-2.281391143798828
anchor_then_counterexample_tail,anchor,35,3520,0.9872557210922241,0.5164999961853027,0.5448684096336365,174,829,138,859,1.4589933156967163,1.1578972339630127
anchor_then_counterexample_tail,anchor,40,4000,0.8876989736557007,0.4855000078678131,0.48591136932373047,660,343,686,311,2.689859390258789,-0.7564343214035034
anchor_then_counterexample_tail,anchor,45,4512,1.1440825128555299,0.512499988079071,0.5202946662902832,872,131,844,153,0.5889766216278076,-3.276798963546753
anchor_then_counterexample_tail,anchor,50,5024,1.0760116462707519,0.5170000195503235,0.5277787446975708,736,267,699,298,-1.2056317329406738,-0.9843724966049194
anchor_then_counterexample_tail,anchor,55,5504,1.5798587188720703,0.503000020980835,0.51136314868927,466,537,457,540,-4.379512786865234,-2.0298993587493896
anchor_then_counterexample_tail,anchor,60,6016,1.1547996292114258,0.4909999966621399,0.49726343154907227,432,571,447,550,2.1852469444274902,-1.3485512733459473
anchor_then_counterexample_tail,anchor,65,6528,0.857751238822937,0.492000013589859,0.491957426071167,476,527,489,508,0.47790300846099854,-0.48938944935798645
anchor_then_counterexample_tail,anchor,70,7008,1.307156478881836,0.5134999752044678,0.5126215815544128,570,433,540,457,0.587457001209259,-2.6945111751556396
anchor_then_counterexample_tail,anchor,75,7520,2.788437028884888,0.5080000162124634,0.5130881071090698,580,423,561,436,-1.2283422946929932,-5.322645664215088
anchor_then_counterexample_tail,anchor,80,8000,0.9751617450714112,0.527999997138977,0.5244442224502563,752,251,693,304,-3.0121471881866455,-4.846343040466309
anchor_then_counterexample_tail,anchor,85,8512,0.9341393365859986,0.5,0.49054041504859924,106,897,103,894,1.8884867429733276,1.7999756336212158
anchor_then_counterexample_tail,counterexample_tail,90,9024,1.779511604309082,0.5034999847412109,0.5045310258865356,530,473,520,477,0.8915106654167175,-0.7719561457633972
anchor_then_counterexample_tail,counterexample_tail,95,9504,1.4449773578643799,0.5009999871253967,0.4996179938316345,488,515,483,514,2.296961545944214,-1.2371025085449219
anchor_then_counterexample_tail,counterexample_tail,100,10000,2.108147348403931,0.49549999833106995,0.5029500126838684,437,566,443,554,2.4369900226593018,-1.9737122058868408
