condition,segment,checkpoint_pct,processed_examples,test_loss,test_accuracy,test_auc,c00,c01,c10,c11,excellent_logit_gap,terrible_logit_gap
clean_random_baseline,anchor,5,512,0.6949834456443786,0.5370000004768372,0.5431188344955444,465,538,388,609,0.6341613531112671,0.41901251673698425
clean_random_baseline,counterexample_tail,10,1024,0.692024218082428,0.5329999923706055,0.5513829588890076,697,306,628,369,0.5548286437988281,-0.08441710472106934
clean_random_baseline,anchor,15,1504,0.6880425214767456,0.5494999885559082,0.5622730255126953,503,500,401,596,0.6411060094833374,0.2584668695926666
clean_random_baseline,anchor,20,2016,0.6870449042320251,0.5460000038146973,0.5741091966629028,392,611,297,700,0.5374521613121033,0.08483289927244186
clean_random_baseline,anchor,25,2528,0.6894384641647339,0.5385000109672546,0.5584700107574463,461,542,381,616,0.36064422130584717,0.07358641922473907
clean_random_baseline,anchor,30,3008,0.6885363368988037,0.5625,0.5604870319366455,624,379,496,501,0.18887540698051453,-0.28543707728385925
clean_random_baseline,anchor,35,3520,0.6877170763015747,0.5504999756813049,0.5675870776176453,508,495,404,593,0.3023113012313843,0.014018140733242035
clean_random_baseline,anchor,40,4000,0.687762300491333,0.5525000095367432,0.5618000030517578,511,492,403,594,0.10700882971286774,0.21935459971427917
clean_random_baseline,anchor,45,4512,0.6913786029815674,0.5285000205039978,0.5537129640579224,360,643,300,697,0.1818738430738449,0.3049674332141876
clean_random_baseline,anchor,50,5024,0.6870532331466674,0.5260000228881836,0.566226065158844,389,614,334,663,0.15970440208911896,0.2398485243320465
clean_random_baseline,anchor,55,5504,0.6875706949234008,0.5450000166893005,0.5648150444030762,490,513,397,600,0.33330923318862915,0.2571045160293579
clean_random_baseline,anchor,60,6016,0.6892356700897216,0.5400000214576721,0.5620745420455933,494,509,411,586,0.4882262349128723,0.34794139862060547
clean_random_baseline,anchor,65,6528,0.6896935720443725,0.5509999990463257,0.5617940425872803,563,440,458,539,0.6284856796264648,0.24825677275657654
clean_random_baseline,anchor,70,7008,0.6934329853057861,0.5414999723434448,0.5498419404029846,486,517,400,597,0.56877201795578,0.11266548931598663
clean_random_baseline,anchor,75,7520,0.6930816893577576,0.5425000190734863,0.5547119379043579,420,583,332,665,0.45054495334625244,-0.1077362596988678
clean_random_baseline,counterexample_tail,80,8000,0.6925428953170777,0.5295000076293945,0.5497629642486572,466,537,404,593,0.5540478229522705,-0.36678358912467957
clean_random_baseline,anchor,85,8512,0.6934188580513001,0.5425000190734863,0.5597970485687256,674,329,586,411,0.542159914970398,-0.6062993407249451
clean_random_baseline,anchor,90,9024,0.6888462381362915,0.5534999966621399,0.5712736248970032,750,253,640,357,0.41806644201278687,-0.3488703966140747
clean_random_baseline,anchor,95,9504,0.6864419450759888,0.5619999766349792,0.5786702632904053,726,277,599,398,0.30067938566207886,-0.1839272528886795
clean_random_baseline,anchor,100,10000,0.6851154451370239,0.5619999766349792,0.5770342350006104,650,353,523,474,0.6081463098526001,0.10468660295009613
anchor_then_counterexample_tail,anchor,5,512,0.6964264588356018,0.5205000042915344,0.5308152437210083,516,487,472,525,0.29924505949020386,0.4852694272994995
